"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","maennlich","14.7","6.5","627","12.79","16.61"
"1985","Laendlicher Raum","weiblich","9.8","3.5","404","8.48","11.12"
"1985","Staedtischer Raum","maennlich","13.44","8.5","2615","12.77","14.11"
"1985","Staedtischer Raum","weiblich","9.16","5.5","1673","8.7","9.62"
"1986","Laendlicher Raum","maennlich","","","","",""
"1986","Laendlicher Raum","weiblich","","","","",""
"1986","Staedtischer Raum","maennlich","","","","",""
"1986","Staedtischer Raum","weiblich","","","","",""
"1987","Laendlicher Raum","maennlich","","","","",""
"1987","Laendlicher Raum","weiblich","","","","",""
"1987","Staedtischer Raum","maennlich","","","","",""
"1987","Staedtischer Raum","weiblich","","","","",""
"1988","Laendlicher Raum","maennlich","","","","",""
"1988","Laendlicher Raum","weiblich","","","","",""
"1988","Staedtischer Raum","maennlich","","","","",""
"1988","Staedtischer Raum","weiblich","","","","",""
"1989","Laendlicher Raum","maennlich","","","","",""
"1989","Laendlicher Raum","weiblich","","","","",""
"1989","Staedtischer Raum","maennlich","","","","",""
"1989","Staedtischer Raum","weiblich","","","","",""
"1990","Laendlicher Raum","maennlich","19.05","11.5","552","16.85","21.25"
"1990","Laendlicher Raum","weiblich","11.3","6.5","385","9.53","13.07"
"1990","Staedtischer Raum","maennlich","14.78","9.5","2279","14","15.56"
"1990","Staedtischer Raum","weiblich","10.07","5.5","1545","9.34","10.8"
"1991","Laendlicher Raum","maennlich","52.04","11.5","415","39.87","64.21"
"1991","Laendlicher Raum","weiblich","15.8","9.5","234","12.3","19.3"
"1991","Staedtischer Raum","maennlich","62.46","11.5","124","36","88.92"
"1991","Staedtischer Raum","weiblich","19.48","7.5","65","8.75","30.21"
"1992","Laendlicher Raum","maennlich","55.38","14.5","356","42.8","67.96"
"1992","Laendlicher Raum","weiblich","18.14","9.5","225","11.26","25.02"
"1992","Staedtischer Raum","maennlich","31.97","11.5","108","13.26","50.68"
"1992","Staedtischer Raum","weiblich","24.57","11.5","66","6.69","42.45"
"1993","Laendlicher Raum","maennlich","13.48","5.5","1212","12.54","14.42"
"1993","Laendlicher Raum","weiblich","8.79","3.5","1068","8.02","9.56"
"1993","Staedtischer Raum","maennlich","13.17","8.5","2643","12.64","13.7"
"1993","Staedtischer Raum","weiblich","9.2","4.5","2045","8.76","9.64"
"1994","Laendlicher Raum","maennlich","","","","",""
"1994","Laendlicher Raum","weiblich","","","","",""
"1994","Staedtischer Raum","maennlich","","","","",""
"1994","Staedtischer Raum","weiblich","","","","",""
"1995","Laendlicher Raum","maennlich","17.96","7.5","1343","15.46","20.46"
"1995","Laendlicher Raum","weiblich","10.04","4.5","1133","8.93","11.15"
"1995","Staedtischer Raum","maennlich","15.01","9.5","2610","14.24","15.78"
"1995","Staedtischer Raum","weiblich","10.72","5.5","2064","10.07","11.37"
"1996","Laendlicher Raum","maennlich","","","","",""
"1996","Laendlicher Raum","weiblich","","","","",""
"1996","Staedtischer Raum","maennlich","","","","",""
"1996","Staedtischer Raum","weiblich","","","","",""
