"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","(Fach-)Abitur","Ländlicher Raum","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Städtischer Raum","17.08","13.5","114","4","8","20","30","90","14.19","19.97","1","90","11","16"
"1986","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Städtischer Raum","20.2","13","71","2","5","30","48","98","14.97","25.43","2","99","12","20"
"1986","AkademikerIn","Ländlicher Raum","20.48","15.5","41","2","5","30","50","65","14.98","25.98","1","65","6","21"
"1986","AkademikerIn","Städtischer Raum","22.47","16.5","198","5","10","25","50","90","19.57","25.37","0","99","15","20"
"1986","Hauptschule","Ländlicher Raum","20.74","14.5","213","4","8","25","48","90","18.19","23.29","1","90","12","18"
"1986","Hauptschule","Städtischer Raum","18.08","11.5","773","5","8","20","40","80","16.96","19.2","0","99","12","15"
"1986","Realschule","Ländlicher Raum","18.92","11.5","89","3","6","20","48","80","14.79","23.05","1","99","10","16"
"1986","Realschule","Städtischer Raum","17.62","11.5","293","4","7","24","40","62","15.86","19.38","0","90","10","15"
"1987","(Fach-)Abitur","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Städtischer Raum","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Städtischer Raum","","","","","","","","","","","","","",""
"1987","AkademikerIn","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","AkademikerIn","Städtischer Raum","","","","","","","","","","","","","",""
"1987","Hauptschule","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","Hauptschule","Städtischer Raum","","","","","","","","","","","","","",""
"1987","Realschule","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","Realschule","Städtischer Raum","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","Ländlicher Raum","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","Städtischer Raum","18.42","14.5","138","3","7","22","42","80","15.51","21.33","1","99","10","18"
"1988","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"1988","(noch) kein Abschluss","Städtischer Raum","17.69","9.5","65","7","8","20","40","60","13.52","21.86","1","90","10","20"
"1988","AkademikerIn","Ländlicher Raum","","","","","","","","","","","","","",""
"1988","AkademikerIn","Städtischer Raum","22.09","19","209","4","8","30","50","80","19.47","24.71","1","99","12","20"
"1988","Hauptschule","Ländlicher Raum","21.86","11.5","222","4","8","24","60","99","18.97","24.75","1","99","10","16"
"1988","Hauptschule","Städtischer Raum","18","11.5","740","4","8","20","40","81","16.87","19.13","1","99","12","15"
"1988","Realschule","Ländlicher Raum","16.65","9.5","86","3","5","20","40","70","13.24","20.06","1","80","8","15"
"1988","Realschule","Städtischer Raum","18.16","11","289","5","8","24","40","80","16.22","20.1","1","99","10","15"
"1989","(Fach-)Abitur","Ländlicher Raum","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","Städtischer Raum","19.65","11.5","138","2","8","25","46","80","16.63","22.67","0","99","10","16"
"1989","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"1989","(noch) kein Abschluss","Städtischer Raum","13.94","9.5","76","4","7","20","30","40","11.13","16.75","0","80","9","16"
"1989","AkademikerIn","Ländlicher Raum","25.71","17.5","33","6","10","35","45","80","18.95","32.47","2","80","14","25"
"1989","AkademikerIn","Städtischer Raum","22.78","17.5","212","6","10","30","50","90","20.27","25.29","1","99","15","20"
"1989","Hauptschule","Ländlicher Raum","21.14","14","232","4","8","30","45","99","18.46","23.82","1","99","10","18"
"1989","Hauptschule","Städtischer Raum","19.95","14.5","745","5","8","23","40","99","18.7","21.2","0","99","14","16"
"1989","Realschule","Ländlicher Raum","17.32","11","88","3","6","20","35","99","13.23","21.41","1","99","9","15"
"1989","Realschule","Städtischer Raum","16.94","9.5","331","3","6","22","38","80","15.25","18.63","1","99","10","12"
"1990","(Fach-)Abitur","Ländlicher Raum","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","Städtischer Raum","19.27","11.5","159","3","5","25","40","99","16.41","22.13","1","99","11","20"
"1990","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Städtischer Raum","16.08","11","60","4","8","20","30","71","11.85","20.31","2","78","8","17"
"1990","AkademikerIn","Ländlicher Raum","19.18","14.5","230","4","8","25","40","81","16.91","21.45","2","99","12","16"
"1990","AkademikerIn","Städtischer Raum","19.77","14.5","372","5","8","25","40","80","18.07","21.47","0","90","12","18"
"1990","Hauptschule","Ländlicher Raum","20.15","14.5","413","4","8","25","45","80","18.57","21.73","1","90","15","16"
"1990","Hauptschule","Städtischer Raum","19.41","14.5","879","5","8","24","40","80","18.35","20.47","0","99","12","15"
"1990","Realschule","Ländlicher Raum","18.78","14","370","4","8","25","40","72","17.19","20.37","0","92","11","16"
"1990","Realschule","Städtischer Raum","16.64","11.5","457","4","6","20","35","80","15.15","18.13","0","99","10","15"
"1991","(Fach-)Abitur","Ländlicher Raum","20.4","13.5","31","3","5","20","50","99","11.27","29.53","2","99","6","20"
"1991","(Fach-)Abitur","Städtischer Raum","17.87","9.5","162","4","6","20","40","80","15.52","20.22","1","80","10","12"
