"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1986","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1986","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1986","Staedtischer Raum","weiblich","15.04","9.5","388","3","6","20","30","80","13.49","16.59","0","99","10","12"
"1987","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1987","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1987","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1987","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1988","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1988","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1988","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1988","Staedtischer Raum","weiblich","15.32","9.5","454","3","5","20","32","62","14.08","16.56","1","99","10","12"
"1989","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1989","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1989","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1989","Staedtischer Raum","weiblich","15.26","9.5","497","2","5","20","35","99","13.78","16.74","0","99","10","10"
"1990","Laendlicher Raum","maennlich","22.33","17.5","663","5","10","30","50","80","21","23.66","1","99","16","20"
"1990","Laendlicher Raum","weiblich","14.39","9.5","399","3","5","20","30","60","13.16","15.62","0","80","10","12"
"1990","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1990","Staedtischer Raum","weiblich","14.49","9.5","654","4","6","20","30","80","13.48","15.5","0","99","10","12"
"1991","Laendlicher Raum","maennlich","22.67","15.5","588","5","9","30","50","99","21.03","24.31","0","99","15","20"
"1991","Laendlicher Raum","weiblich","15.74","9.5","344","4","6","20","33","72","14.15","17.33","1","99","10","12"
"1991","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1991","Staedtischer Raum","weiblich","14.98","9.5","639","3","6","20","30","80","13.81","16.15","0","99","10","10"
"1992","Laendlicher Raum","maennlich","21.49","14.5","624","5","8","30","45","99","19.9","23.08","0","99","14","16"
"1992","Laendlicher Raum","weiblich","14.66","9.5","372","3","6","20","32","60","13.25","16.07","0","90","10","11"
"1992","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1992","Staedtischer Raum","weiblich","15.25","9.5","687","4","6","20","32","61","14.2","16.3","0","99","10","10"
"1993","Laendlicher Raum","maennlich","20.75","14.5","614","5","8","25","41","90","19.25","22.25","0","99","15","18"
"1993","Laendlicher Raum","weiblich","13.38","9.5","375","3","5","19","25","80","11.96","14.8","0","99","10","10"
"1993","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1993","Staedtischer Raum","weiblich","15.18","9.5","666","3","6","20","30","70","14.1","16.26","0","99","10","11"
"1994","Laendlicher Raum","maennlich","20.28","14.5","626","5","10","25","40","99","18.78","21.78","0","99","15","19"
"1994","Laendlicher Raum","weiblich","15.06","9.5","390","3","5","20","30","90","13.47","16.65","0","99","9","10"
"1994","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1994","Staedtischer Raum","weiblich","14.6","9.5","681","3","6","18","30","75","13.58","15.62","0","99","10","10"
"1995","Laendlicher Raum","maennlich","21.41","14.5","661","4","8","30","46","99","19.85","22.97","0","99","15","18"
"1995","Laendlicher Raum","weiblich","14.55","9.5","417","3","5","20","32","73","13.09","16.01","0","99","9","10"
"1995","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1995","Staedtischer Raum","weiblich","14.35","9.5","759","3","5","20","30","55","13.44","15.26","1","99","10","10"
"1996","Laendlicher Raum","maennlich","20.46","14.5","659","5","8","25","45","85","19.03","21.89","1","99","14","16"
"1996","Laendlicher Raum","weiblich","15.19","9.5","404","3","6","20","34","80","13.71","16.67","1","99","10","12"
"1996","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1996","Staedtischer Raum","weiblich","14.69","9.5","767","4","6","20","30","79","13.72","15.66","1","99","10","10"
"1997","Laendlicher Raum","maennlich","22.44","15.5","649","5","10","30","50","99","20.93","23.95","1","99","15","20"
"1997","Laendlicher Raum","weiblich","15.6","9.5","436","3","6","20","32","80","14.14","17.06","1","99","10","12"
"1997","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1997","Staedtischer Raum","weiblich","14.64","9.5","777","4","6","20","30","65","13.72","15.56","1","95","10","10"
"1998","Laendlicher Raum","maennlich","21.23","15.5","737","5","10","28","40","90","19.89","22.57","1","99","15","20"
"1998","Laendlicher Raum","weiblich","15.77","9.5","482","4","6","20","33","85","14.5","17.04","1","99","10","11"
"1998","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1998","Staedtischer Raum","weiblich","15.66","11.5","869","4","6","20","30","80","14.68","16.64","1","99","10","12"
"1999","Laendlicher Raum","maennlich","21.85","16.5","737","5","10","30","46","90","20.46","23.24","1","99","15","20"
"1999","Laendlicher Raum","weiblich","14.71","9.5","478","4","6","20","30","60","13.55","15.87","1","90","10","12"
"1999","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1999","Staedtischer Raum","weiblich","14.98","9.5","888","4","6","20","30","70","14.09","15.87","1","96","10","12"
"2000","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2000","Laendlicher Raum","weiblich","14.27","9.5","733","4","6","20","30","72","13.37","15.17","1","98","10","10"
"2000","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2000","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2001","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2001","Laendlicher Raum","weiblich","13.88","9.5","735","4","6","18","30","50","13.03","14.73","1","80","10","10"
"2001","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2001","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2002","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2002","Laendlicher Raum","weiblich","15.28","9.5","765","4","6","19","30","92","14.19","16.37","1","99","10","10"
"2002","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2002","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2003","Laendlicher Raum","maennlich","20.45","14.5","969","5","10","25","42","90","19.31","21.59","1","99","15","18"
"2003","Laendlicher Raum","weiblich","13.42","9.5","736","4","5","16","28","60","12.47","14.37","1","99","10","10"
"2003","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2004","Laendlicher Raum","maennlich","20.05","14.5","964","5","10","25","40","98","18.9","21.2","1","99","15","15"
"2004","Laendlicher Raum","weiblich","13.83","9.5","718","3","5","18","28","60","12.86","14.8","1","99","10","10"
"2004","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2004","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2005","Laendlicher Raum","maennlich","20.56","14.5","844","5","8","25","45","90","19.25","21.87","1","99","12","15"
"2005","Laendlicher Raum","weiblich","13.17","9.5","667","4","6","15","26","80","12.2","14.14","1","99","10","10"
"2005","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2005","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","maennlich","21.25","14.5","965","5","10","30","45","99","20.05","22.45","1","99","15","16"
"2006","Laendlicher Raum","weiblich","14.68","9.5","771","3","6","20","30","80","13.71","15.65","1","99","10","10"
"2006","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","maennlich","21.47","14.5","947","5","10","29","50","99","20.2","22.74","1","99","15","16"
"2007","Laendlicher Raum","weiblich","15.51","9.5","744","4","6","20","32","90","14.48","16.54","1","99","10","10"
"2007","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","maennlich","20.82","14.5","903","5","9","25","40","99","19.58","22.06","1","99","15","16"
"2008","Laendlicher Raum","weiblich","14.46","9.5","731","4","7","17","30","80","13.39","15.53","1","99","10","10"
"2008","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","maennlich","20.63","14.5","785","5","9","25","45","90","19.3","21.96","2","99","15","16"
"2009","Laendlicher Raum","weiblich","15.11","9.5","666","4","6","20","30","80","13.99","16.23","1","99","10","10"
"2009","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","weiblich","14.74","9.5","866","4","5","20","30","99","13.81","15.67","1","99","10","10"
"2010","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2010","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2015","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2015","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2016","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2016","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2016","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2016","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2017","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2017","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2017","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2017","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2018","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2018","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2018","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2018","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2019","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2019","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"2020","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"2020","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"2020","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"2020","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
