year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,West,4913,34.85963,34.55527,35.16399,30.00000,40.00000,40.00000,15.00000,55.00000,40.0,40.00000,40.00000
1985,Rural regions,West,1297,35.69128,35.07645,36.30610,30.00000,40.00000,40.00000,15.00000,55.00000,40.0,40.00000,40.00000
1986,Urban regions,West,4843,34.81102,34.52722,35.09483,30.00000,40.00000,40.00000,15.00000,55.00000,40.0,38.00000,40.00000
1986,Rural regions,West,1267,35.94493,35.33216,36.55770,30.00000,40.00000,40.00000,15.00000,55.00000,40.0,40.00000,40.00000
1987,Urban regions,West,4687,35.66004,35.37832,35.94175,35.00000,39.00000,40.00000,27.50000,47.50000,39.0,39.00000,40.00000
1987,Rural regions,West,1265,36.18598,35.58727,36.78470,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,39.00000,40.00000
1988,Urban regions,West,4596,35.21520,34.93099,35.49941,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.00000
1988,Rural regions,West,1186,35.62310,35.02973,36.21648,32.00000,40.00000,40.00000,20.00000,52.00000,40.0,38.00000,40.00000
1989,Urban regions,West,4292,34.92965,34.64193,35.21738,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.00000
1989,Rural regions,West,1090,35.96812,35.32402,36.61222,32.00000,39.00000,40.00000,20.00000,52.00000,39.0,38.00000,40.00000
1990,Urban regions,West,5047,34.31837,34.05828,34.57847,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,37.00000,37.00000
1990,Urban regions,East,,,,,,,,,,,,
1990,Rural regions,West,1288,34.73755,34.23487,35.24024,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.00000,38.00000
1990,Rural regions,East,,,,,,,,,,,,
1991,Urban regions,West,4494,34.19414,33.90585,34.48243,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,37.00000,37.00000
1991,Urban regions,East,914,38.48973,37.93084,39.04862,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
1991,Rural regions,West,1203,34.69051,34.08061,35.30041,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.00000,38.00000
1991,Rural regions,East,1770,38.56970,38.16910,38.97030,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
1992,Urban regions,West,4333,34.23508,33.94308,34.52708,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,37.00000,38.00000
