year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,3001,38.69554704861215,38.545200079355254,38.84589401786904,36.0,40.0,40.0,30.0,46.0,40.0,40.0,40.0
1985,Urban regions,female,1871,29.08842677958124,28.839416466883712,29.33743709227877,20.0,30.0,40.0,0.0,70.0,30.0,30.0,30.0
1985,Rural regions,male,781,39.40784911778271,39.07386932358134,39.74182891198408,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,Rural regions,female,495,29.88721253159643,29.411150799625844,30.363274263567014,20.0,30.0,40.0,0.0,70.0,30.0,25.0,30.0
1986,Urban regions,male,2963,38.18471645530425,38.04395364718617,38.325479263422324,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1986,Urban regions,female,1839,29.621288549968302,29.385357236835578,29.857219863101026,20.0,30.0,40.0,0.0,70.0,30.0,30.0,30.0
1986,Rural regions,male,757,39.75251648102512,39.447701912265465,40.05733104978477,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1986,Rural regions,female,495,30.28744536195422,29.78468302977555,30.79020769413289,20.0,30.0,40.0,0.0,70.0,30.0,25.0,30.0
1987,Urban regions,male,2863,39.00206689902762,38.864003172817675,39.14013062523756,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1987,Urban regions,female,1786,30.537145529320956,30.301629868257518,30.772661190384394,20.0,35.0,40.0,0.0,70.0,35.0,35.0,38.0
1987,Rural regions,male,749,39.8920135329078,39.59792623543346,40.18610083038213,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1987,Rural regions,female,495,30.765380202971965,30.267108178858255,31.263652227085675,20.0,35.0,40.0,0.0,70.0,35.0,35.0,40.0
1988,Urban regions,male,2781,38.68491858397224,38.54675035262825,38.82308681531623,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1988,Urban regions,female,1767,29.96629809661119,29.73123361543392,30.201362577788462,20.0,32.0,40.0,0.0,70.0,32.0,29.0,34.0
1988,Rural regions,male,703,39.398771937022396,39.116545268408316,39.680998605636475,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1988,Rural regions,female,467,29.97198191657302,29.476870657228247,30.467093175917796,20.0,30.0,40.0,0.0,70.0,30.0,25.0,30.0
1989,Urban regions,male,2606,38.33945321654647,38.20329705179796,38.47560938129497,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1989,Urban regions,female,1668,29.900682928595828,29.65960614580969,30.141759711381965,20.0,30.0,39.0,0.0,67.5,30.0,25.0,30.0
1989,Rural regions,male,655,39.316817965792126,39.00634381200924,39.62729211957501,37.0,40.0,40.0,32.5,44.5,40.0,40.0,40.0
1989,Rural regions,female,426,30.610602662959106,30.050604659018113,31.1706006669001,20.0,30.0,40.0,0.0,70.0,30.0,25.0,30.0
1990,Urban regions,male,2840,38.1061450263605,37.98266504814007,38.22962500458093,35.0,39.0,40.0,27.5,47.5,39.0,39.0,40.0
1990,Urban regions,female,2117,29.194628334947407,28.988162642931968,29.401094026962845,20.0,30.0,38.0,0.0,65.0,30.0,27.0,30.0
1990,Rural regions,male,719,38.232868057824234,37.98757097629486,38.47816513935361,35.0,39.0,40.0,27.5,47.5,39.0,38.0,40.0
1990,Rural regions,female,542,29.84371499428456,29.441500799660428,30.245929188908693,20.0,30.638456611821884,38.0,2.0,60.0,30.0,25.0,30.0
1991,Urban regions,male,3114,38.07710018702999,37.946459874648255,38.20774049941173,35.0,39.0,40.0,27.5,47.5,39.0,39.0,40.0
1991,Urban regions,female,2261,30.031821468640402,29.822138708376436,30.24150422890437,20.0,34.0,38.0,0.0,65.0,34.0,33.0,38.0
1991,Rural regions,male,1669,39.50389874987924,39.31049254617408,39.6973049535844,37.0,40.0,40.0,32.5,44.5,40.0,40.0,40.0
1991,Rural regions,female,1277,31.965276059900127,31.68002344413738,32.25052867566288,25.0,35.0,40.0,2.5,62.5,35.0,35.0,35.0
1992,Urban regions,male,2558,37.8086726638591,37.66754933642676,37.94979599129144,35.0,38.0,40.0,27.5,47.5,38.0,37.0,38.0
1992,Urban regions,female,1750,29.09453462690937,28.85749403269397,29.331575221124766,20.0,30.0,38.0,0.0,60.0,30.0,30.0,30.0
1992,Rural regions,male,692,38.498785711513946,38.19867241011741,38.79889901291048,35.0,40.0,40.0,27.5,47.5,40.0,40.0,41.0
1992,Rural regions,female,478,29.254732104191458,28.799140499978897,29.71032370840402,20.0,30.0,38.0,0.0,60.0,30.0,28.0,30.0
1993,Urban regions,male,2870,38.338550796064986,38.20887209872627,38.468229493403705,36.0,40.0,40.0,30.0,46.0,40.0,40.0,41.0
1993,Urban regions,female,2095,29.564397823390028,29.344735010204527,29.78406063657553,20.0,30.0,38.0,0.0,65.0,30.0,25.0,30.0
1993,Rural regions,male,1444,38.923009439376266,38.727029728754594,39.11898914999794,37.0,40.0,40.0,32.5,44.5,40.0,40.0,40.0
1993,Rural regions,female,1095,30.940717966302735,30.63709487659701,31.24434105600846,25.0,35.0,40.0,2.5,60.0,35.0,35.0,38.0
1994,Urban regions,male,2701,38.51515025811177,38.384074669035286,38.64622584718825,36.0,40.0,40.0,30.0,46.0,40.0,40.0,40.0
1994,Urban regions,female,2018,30.063385117753302,29.854422474599964,30.27234776090664,20.0,32.0,38.0,0.0,65.0,32.0,29.0,34.0
1994,Rural regions,male,1367,38.71185094482118,38.507740003369356,38.915961886273,37.0,40.0,40.0,32.5,44.5,40.0,40.0,40.0
1994,Rural regions,female,1064,31.134307863537664,30.83326839611973,31.435347330955597,25.0,35.0,40.0,2.5,60.0,35.0,35.0,40.0
1995,Urban regions,male,2868,37.655206816384826,37.48674308881006,37.823670543959594,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1995,Urban regions,female,2115,28.436163702680084,28.19477894054953,28.677548464810638,20.0,30.0,38.0,0.0,65.0,30.0,30.0,30.0
1995,Rural regions,male,1472,37.92193253611374,37.63816657301735,38.20569849921012,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1995,Rural regions,female,1150,30.408697807772285,30.08941854233179,30.72797707321278,24.0,35.0,40.0,0.0,64.0,35.0,35.0,38.05
1996,Urban regions,male,,,,,,,,,,,,
1996,Urban regions,female,,,,,,,,,,,,
1996,Rural regions,male,,,,,,,,,,,,
1996,Rural regions,female,,,,,,,,,,,,
1997,Urban regions,male,2656,38.77063665541817,38.61708105103701,38.924192259799334,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1997,Urban regions,female,2014,29.86748403244702,29.649025351049296,30.085942713844744,20.0,30.0,38.0,0.0,65.0,30.0,28.0,30.0
1997,Rural regions,male,1400,39.21647859620717,38.98820002010296,39.44475717231138,36.0,40.0,40.0,30.0,46.0,40.0,40.0,40.0
1997,Rural regions,female,1078,31.8801168224182,31.57441678326631,32.18581686157009,25.97736809895335,35.0,40.0,4.943420247383372,60.0,35.0,35.0,36.0
1998,Urban regions,male,2919,37.68387020974165,37.53190366869704,37.83583675078626,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1998,Urban regions,female,2189,29.84766316969744,29.631100428763855,30.064225910631027,20.0,30.0,38.0,0.0,65.0,30.0,28.0,30.0
1998,Rural regions,male,1539,38.225964894129085,37.99711900773378,38.45481078052439,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1998,Rural regions,female,1182,31.347744940682375,31.041917428008922,31.653572453355828,25.0,35.0,40.0,2.5,62.5,35.0,35.0,38.0
1999,Urban regions,male,2875,37.97394119986288,37.80181466713982,38.146067732585934,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1999,Urban regions,female,2224,29.523897689031173,29.31094461625714,29.736850761805208,20.0,30.0,38.0,0.0,65.0,30.0,28.0,30.0
1999,Rural regions,male,1521,39.27494339929285,39.03959586581372,39.51029093277198,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1999,Rural regions,female,1225,31.213585279353207,30.923514388568584,31.50365617013783,25.0,35.0,40.0,2.5,62.5,35.0,35.0,37.0
