year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,,,,,,,,,,,,
1991,East,,,,,,,,,,,,
1992,West,,,,,,,,,,,,
1992,East,,,,,,,,,,,,
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,,,,,,,,,,,,
1996,East,,,,,,,,,,,,
1997,West,,,,,,,,,,,,
1997,East,,,,,,,,,,,,
1998,West,,,,,,,,,,,,
1998,East,,,,,,,,,,,,
1999,West,,,,,,,,,,,,
1999,East,,,,,,,,,,,,
2000,West,,,,,,,,,,,,
2000,East,,,,,,,,,,,,
2001,West,,,,,,,,,,,,
2001,East,,,,,,,,,,,,
2002,West,,,,,,,,,,,,
2002,East,,,,,,,,,,,,
2003,West,16323,4.46102,4.39948,4.52255,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,3.00000,4.00000
2003,East,5118,4.43120,4.31802,4.54438,2.00000,4.00000,6.00000,0.00000,12.00000,4.00000,3.00000,4.00000
2004,West,,,,,,,,,,,,
2004,East,,,,,,,,,,,,
2005,West,,,,,,,,,,,,
2005,East,,,,,,,,,,,,
2006,West,,,,,,,,,,,,
2006,East,,,,,,,,,,,,
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,14145,4.06053,4.00198,4.11908,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.00000
2008,East,4550,4.28849,4.18165,4.39532,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,4.00000
2009,West,,,,,,,,,,,,
2009,East,,,,,,,,,,,,
2010,West,,,,,,,,,,,,
2010,East,,,,,,,,,,,,
2011,West,15477,4.53673,4.45736,4.61610,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,3.00000,4.00000
2011,East,4785,4.45482,4.28094,4.62869,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,3.00000,4.00000
2012,West,,,,,,,,,,,,
2012,East,,,,,,,,,,,,
2013,West,19551,4.27252,4.22162,4.32343,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,4.00000
2013,East,5581,4.08048,3.98807,4.17288,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.00000
2014,West,,,,,,,,,,,,
2014,East,,,,,,,,,,,,
2015,West,21204,4.13050,4.08015,4.18085,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.00000
2015,East,5326,3.88859,3.79249,3.98469,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.00000
2016,West,,,,,,,,,,,,
2016,East,,,,,,,,,,,,
2017,West,20826,4.07312,4.02509,4.12115,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.00000
2017,East,5542,3.94923,3.84224,4.05622,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.00000
2018,West,22557,4.27364,4.21842,4.32887,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,4.00000
2018,East,5927,4.17758,4.08263,4.27253,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,4.00000
2019,West,,,,,,,,,,,,
2019,East,,,,,,,,,,,,
2020,West,20184,4.11574,4.06558,4.16591,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,4.00000
2020,East,5274,4.10696,3.97280,4.24111,2.00000,3.00000,5.00000,0.00000,9.50000,3.00000,3.00000,3.02500
2021,West,13492,4.50726,4.44668,4.56783,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,4.00000,4.00000
2021,East,3590,4.46595,4.32761,4.60429,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,3.00000,4.00000
