"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"2002","(Fach-)Abitur","direkter Migrationshintergrund","72.09","70.5","439","70.73","73.45"
"2002","(Fach-)Abitur","indirekter Migrationshintergrund","69.17","66.5","129","66.61","71.73"
"2002","(Fach-)Abitur","kein Migrationshintergrund","73.12","70.5","1869","72.41","73.83"
"2002","(noch) kein Abschluss","direkter Migrationshintergrund","72.23","69.5","256","70.64","73.82"
"2002","(noch) kein Abschluss","indirekter Migrationshintergrund","64.54","62.5","87","62.02","67.06"
"2002","(noch) kein Abschluss","kein Migrationshintergrund","67.79","64.5","554","66.78","68.8"
"2002","AkademikerIn","direkter Migrationshintergrund","73.23","72.5","392","71.84","74.62"
"2002","AkademikerIn","indirekter Migrationshintergrund","75.9","79.5","66","72.75","79.05"
"2002","AkademikerIn","kein Migrationshintergrund","76.17","74.5","4077","75.73","76.61"
"2002","Hauptschule","direkter Migrationshintergrund","74.66","74.5","1433","73.93","75.39"
"2002","Hauptschule","indirekter Migrationshintergrund","69.95","69.5","259","68.27","71.63"
"2002","Hauptschule","kein Migrationshintergrund","75.92","74.5","7146","75.58","76.26"
"2002","Realschule","direkter Migrationshintergrund","70.79","68.5","227","68.94","72.64"
"2002","Realschule","indirekter Migrationshintergrund","70.79","69.5","205","68.51","73.07"
"2002","Realschule","kein Migrationshintergrund","74.17","72.5","5502","73.76","74.58"
"2003","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2003","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2003","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2003","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2003","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2003","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2003","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2003","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2003","AkademikerIn","kein Migrationshintergrund","","","","",""
"2003","Hauptschule","direkter Migrationshintergrund","","","","",""
"2003","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2003","Hauptschule","kein Migrationshintergrund","","","","",""
"2003","Realschule","direkter Migrationshintergrund","","","","",""
"2003","Realschule","indirekter Migrationshintergrund","","","","",""
"2003","Realschule","kein Migrationshintergrund","","","","",""
"2004","(Fach-)Abitur","direkter Migrationshintergrund","73.87","71.5","391","72.33","75.41"
"2004","(Fach-)Abitur","indirekter Migrationshintergrund","69.55","66.5","140","67.43","71.67"
"2004","(Fach-)Abitur","kein Migrationshintergrund","73.56","71.5","1842","72.86","74.26"
"2004","(noch) kein Abschluss","direkter Migrationshintergrund","71.27","71.5","237","69.69","72.85"
"2004","(noch) kein Abschluss","indirekter Migrationshintergrund","66.28","64.5","88","63.63","68.93"
"2004","(noch) kein Abschluss","kein Migrationshintergrund","68.21","65.5","573","67.1","69.32"
"2004","AkademikerIn","direkter Migrationshintergrund","73.35","71.5","353","71.85","74.85"
"2004","AkademikerIn","indirekter Migrationshintergrund","75.68","79","61","72.61","78.75"
"2004","AkademikerIn","kein Migrationshintergrund","76.52","74.5","3853","76.05","76.99"
"2004","Hauptschule","direkter Migrationshintergrund","75.48","74.5","1282","74.7","76.26"
"2004","Hauptschule","indirekter Migrationshintergrund","73.17","73.5","254","71.46","74.88"
"2004","Hauptschule","kein Migrationshintergrund","76.53","74.5","6435","76.15","76.91"
"2004","Realschule","direkter Migrationshintergrund","72.03","69","204","70","74.06"
"2004","Realschule","indirekter Migrationshintergrund","72.04","69.5","194","70","74.08"
"2004","Realschule","kein Migrationshintergrund","75.32","73.5","5161","74.89","75.75"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2005","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2005","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2005","AkademikerIn","kein Migrationshintergrund","","","","",""
"2005","Hauptschule","direkter Migrationshintergrund","","","","",""
"2005","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2005","Hauptschule","kein Migrationshintergrund","","","","",""
"2005","Realschule","direkter Migrationshintergrund","","","","",""
"2005","Realschule","indirekter Migrationshintergrund","","","","",""
"2005","Realschule","kein Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","direkter Migrationshintergrund","72.31","69.5","401","70.89","73.73"
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","69.49","67.5","150","67.25","71.73"
"2006","(Fach-)Abitur","kein Migrationshintergrund","73.87","71.5","1885","73.16","74.58"
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","72.55","72.5","182","70.42","74.68"
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","75.15","69.5","66","70.39","79.91"
"2006","(noch) kein Abschluss","kein Migrationshintergrund","70.88","68.5","397","69.56","72.2"
"2006","AkademikerIn","direkter Migrationshintergrund","73.87","72.5","366","72.37","75.37"
"2006","AkademikerIn","indirekter Migrationshintergrund","74.39","74.5","76","71.7","77.08"
"2006","AkademikerIn","kein Migrationshintergrund","76.83","75.5","4112","76.37","77.29"
"2006","Hauptschule","direkter Migrationshintergrund","76.62","75.5","1164","75.77","77.47"
"2006","Hauptschule","indirekter Migrationshintergrund","73.48","73.5","254","71.67","75.29"
"2006","Hauptschule","kein Migrationshintergrund","77.47","75.5","6597","77.08","77.86"
"2006","Realschule","direkter Migrationshintergrund","72.44","69.5","198","70.23","74.65"
"2006","Realschule","indirekter Migrationshintergrund","75.09","71","198","72.47","77.71"
"2006","Realschule","kein Migrationshintergrund","76.28","74.5","5293","75.84","76.72"
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2007","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2007","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2007","AkademikerIn","kein Migrationshintergrund","","","","",""
"2007","Hauptschule","direkter Migrationshintergrund","","","","",""
"2007","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2007","Hauptschule","kein Migrationshintergrund","","","","",""
"2007","Realschule","direkter Migrationshintergrund","","","","",""
"2007","Realschule","indirekter Migrationshintergrund","","","","",""
"2007","Realschule","kein Migrationshintergrund","","","","",""
"2008","(Fach-)Abitur","direkter Migrationshintergrund","73.48","71.5","339","71.81","75.15"
"2008","(Fach-)Abitur","indirekter Migrationshintergrund","73.01","70.5","123","70.51","75.51"
"2008","(Fach-)Abitur","kein Migrationshintergrund","75.1","72.5","1681","74.33","75.87"
"2008","(noch) kein Abschluss","direkter Migrationshintergrund","74.34","72.5","118","71.8","76.88"
"2008","(noch) kein Abschluss","indirekter Migrationshintergrund","67.9","64.5","60","64.43","71.37"
"2008","(noch) kein Abschluss","kein Migrationshintergrund","71.4","69.5","362","69.94","72.86"
"2008","AkademikerIn","direkter Migrationshintergrund","74.1","73.5","310","72.47","75.73"
"2008","AkademikerIn","indirekter Migrationshintergrund","71.73","71.5","85","69.04","74.42"
"2008","AkademikerIn","kein Migrationshintergrund","77.49","75.5","3773","77","77.98"
"2008","Hauptschule","direkter Migrationshintergrund","77.46","74.5","912","76.47","78.45"
"2008","Hauptschule","indirekter Migrationshintergrund","75.23","75.5","230","73.17","77.29"
"2008","Hauptschule","kein Migrationshintergrund","78.26","76.5","5604","77.84","78.68"
"2008","Realschule","direkter Migrationshintergrund","72.54","69.5","163","70.11","74.97"
"2008","Realschule","indirekter Migrationshintergrund","74.32","71.5","185","71.91","76.73"
"2008","Realschule","kein Migrationshintergrund","77.15","74.5","4695","76.68","77.62"
"2009","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2009","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2009","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2009","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2009","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2009","AkademikerIn","kein Migrationshintergrund","","","","",""
"2009","Hauptschule","direkter Migrationshintergrund","","","","",""
"2009","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2009","Hauptschule","kein Migrationshintergrund","","","","",""
"2009","Realschule","direkter Migrationshintergrund","","","","",""
"2009","Realschule","indirekter Migrationshintergrund","","","","",""
"2009","Realschule","kein Migrationshintergrund","","","","",""
"2010","(Fach-)Abitur","direkter Migrationshintergrund","75.05","74.5","248","72.96","77.14"
"2010","(Fach-)Abitur","indirekter Migrationshintergrund","73.68","69.5","108","70.89","76.47"
"2010","(Fach-)Abitur","kein Migrationshintergrund","76.67","73.5","1520","75.81","77.53"
"2010","(noch) kein Abschluss","direkter Migrationshintergrund","74.09","71","85","71.06","77.12"
"2010","(noch) kein Abschluss","indirekter Migrationshintergrund","68.28","64.5","51","64.8","71.76"
"2010","(noch) kein Abschluss","kein Migrationshintergrund","72.77","69.5","278","70.94","74.6"
"2010","AkademikerIn","direkter Migrationshintergrund","71.56","72.5","271","69.85","73.27"
"2010","AkademikerIn","indirekter Migrationshintergrund","76.36","74.5","83","73.28","79.44"
"2010","AkademikerIn","kein Migrationshintergrund","77.95","76.5","3460","77.44","78.46"
"2010","Hauptschule","direkter Migrationshintergrund","78.2","77.5","693","77.06","79.34"
