year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,unter 18 J.,maennlich,,,,,,,,,,,,
1984,unter 18 J.,weiblich,,,,,,,,,,,,
1984,18-29 J.,maennlich,112,1.4420014426263894,1.2965311980170386,1.5874716872357402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,18-29 J.,weiblich,205,1.2499265516291456,1.1983362276976022,1.301516875560689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,30-45 J.,maennlich,148,1.4208515509631525,1.3305329590037154,1.5111701429225897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,30-45 J.,weiblich,248,1.2861048143601073,1.2254447060100602,1.3467649227101544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,46-65 J.,maennlich,211,1.3657099353195123,1.3052637300063858,1.4261561406326388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,46-65 J.,weiblich,174,1.421090768801072,1.3160707978983448,1.5261107397037994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,66 und älter,maennlich,66,1.4114384601864873,1.2593616214673895,1.5635152989055852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1984,66 und älter,weiblich,105,1.3187896304300397,1.244031807071777,1.3935474537883024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,unter 18 J.,maennlich,,,,,,,,,,,,
1985,unter 18 J.,weiblich,,,,,,,,,,,,
1985,18-29 J.,maennlich,99,1.4803192312913636,1.3040482310226582,1.656590231560069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,18-29 J.,weiblich,203,1.3417588329310055,1.2580313396930078,1.4254863261690032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,30-45 J.,maennlich,120,2.033790847249354,1.8035952529930495,2.2639864415056588,1.0,1.0,1.7910732939603835,1.0,2.977683234900959,1.0,1.0,1.0
1985,30-45 J.,weiblich,221,1.539608371060872,1.4125390117870678,1.666677730334676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,46-65 J.,maennlich,172,1.4160885537274248,1.308074891478247,1.5241022159766027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,46-65 J.,weiblich,170,1.455352203832712,1.3257050145614435,1.5849993931039805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,66 und älter,maennlich,62,1.3138763843176102,1.230035534475232,1.3977172341599884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1985,66 und älter,weiblich,101,1.311948618399634,1.2402820949505236,1.3836151418487446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,unter 18 J.,maennlich,,,,,,,,,,,,
1986,unter 18 J.,weiblich,,,,,,,,,,,,
1986,18-29 J.,maennlich,122,1.3694039871193806,1.2627955377666227,1.4760124364721385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,18-29 J.,weiblich,192,1.4860222453575131,1.4025476105559815,1.5694968801590448,1.0,1.0,1.7358561766286464,0.0,2.839640441571616,1.0,1.0,1.0
1986,30-45 J.,maennlich,119,2.867663028288845,2.140798329781087,3.5945277267966027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,30-45 J.,weiblich,208,1.501771024147639,1.3748170609494268,1.6287249873458511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,46-65 J.,maennlich,196,1.7776454028375044,1.5476342212095138,2.007656584465495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,46-65 J.,weiblich,164,1.331693944608975,1.2787163825205639,1.3846715066973863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,66 und älter,maennlich,80,1.3262926214508455,1.2592923347874905,1.3932929081142005,1.0,1.0,1.2416263333613407,1.0,1.6040658334033515,1.0,1.0,1.0
1986,66 und älter,weiblich,86,1.600773807071906,1.1685251431936208,2.033022470950191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1987,unter 18 J.,maennlich,,,,,,,,,,,,
1987,unter 18 J.,weiblich,,,,,,,,,,,,
1987,18-29 J.,maennlich,107,1.764887272341251,1.3908447918904052,2.1389297527920967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1987,18-29 J.,weiblich,209,1.4814312311159663,1.3567625700382417,1.6060998921936909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
