year,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Urban regions,1.4275767972595126,1.3794671231374618,1.4756864713815634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,900.0
1985,Rural regions,1.5226817690427723,1.4160575165107878,1.6293060215747568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,268.0
1986,Urban regions,1.5546865857318088,1.47453005068024,1.6348431207833778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,953.0
1986,Rural regions,1.7443311064042881,1.4430136119389942,2.045648600869582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238.0
1987,Urban regions,1.4191327456669782,1.3716316746441406,1.4666338166898159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,904.0
1987,Rural regions,1.924135108219232,1.702720359950502,2.145549856487962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.0
1988,Urban regions,1.523374178887188,1.451546891864782,1.5952014659095939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,898.0
1988,Rural regions,1.7717725615781705,1.584785598634164,1.9587595245221772,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,218.0
1989,Urban regions,1.5316105587041036,1.4378827120605733,1.6253384053476339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,816.0
1989,Rural regions,1.7823530510935204,1.5328692874623464,2.031836814724694,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,229.0
1990,Urban regions,,,,,,,,,,,,
1990,Rural regions,,,,,,,,,,,,
1991,Urban regions,1.526196313783353,1.4624218986207655,1.5899707289459404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,845.0
1991,Rural regions,1.7804854563699877,1.6151521013876633,1.945818811352312,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,234.0
1992,Urban regions,1.4636362900982334,1.4096384120528043,1.5176341681436625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,918.0
1992,Rural regions,1.5262279297832875,1.4283910303907281,1.6240648291758468,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,431.0
1993,Urban regions,,,,,,,,,,,,
1993,Rural regions,,,,,,,,,,,,
1994,Urban regions,1.4519954314702925,1.3946204253005086,1.5093704376400765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937.0
1994,Rural regions,1.5536145091921865,1.4672358388988929,1.63999317948548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,459.0
1995,Urban regions,1.4959782270751327,1.447003913260355,1.5449525408899105,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0,934.0
1995,Rural regions,1.5188189246962989,1.449141247248012,1.5884966021445857,1.0,1.0,1.055979602351915,0.9160305964721275,1.1399490058797874,1.0,1.0,1.0,531.0
1996,Urban regions,1.4904667816565311,1.4313686773977778,1.5495648859152844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,966.0
1996,Rural regions,1.8564209709134887,1.7318355092101485,1.9810064326168288,1.0,1.0,1.5184344974595856,1.0,2.296086243648964,1.0,1.0,1.0,531.0
1997,Urban regions,1.5720457631734284,1.4989095155768954,1.6451820107699613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,955.0
1997,Rural regions,1.629486259562373,1.529886814025881,1.7290857050988648,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,517.0
1998,Urban regions,1.5783577469065804,1.4900083437430647,1.666707150070096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1031.0
1998,Rural regions,1.3843337091998842,1.3484046490518473,1.420262769347921,1.0,1.0,1.9286835513817855,1.0,3.321708878454464,1.0,1.0,1.0,620.0
1999,Urban regions,1.4795930013564955,1.4372162223911469,1.5219697803218442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1023.0
1999,Rural regions,1.5829542806156836,1.5199291193466198,1.6459794418847473,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,584.0
2000,Urban regions,1.6404781723587893,1.5962692419736257,1.684687102743953,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1753.0
2000,Rural regions,1.5515785256356611,1.4941642659801868,1.6089927852911354,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1032.0
2001,Urban regions,1.385231797819675,1.3632383569908608,1.4072252386484894,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1629.0
2001,Rural regions,1.371819542946974,1.3446751774445203,1.3989639084494276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,956.0
2002,Urban regions,1.363632426865233,1.341499788459221,1.3857650652712448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1717.0
2002,Rural regions,1.377169333245252,1.334031343705238,1.4203073227852658,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,947.0
2003,Urban regions,1.433228283706855,1.4081975131523048,1.4582590542614053,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1677.0
2003,Rural regions,1.3879756058816222,1.3582551798792248,1.4176960318840195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,897.0
2004,Urban regions,1.4177486675103428,1.3922437695361762,1.4432535654845093,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1652.0
2004,Rural regions,1.4025515092208443,1.3737388763444978,1.4313641420971908,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,882.0
2005,Urban regions,1.4056852471003016,1.3818134164201676,1.4295570777804356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1428.0
2005,Rural regions,1.4124887846838587,1.379559343289543,1.4454182260781745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,807.0
2006,Urban regions,1.3993063755756363,1.3691993492728025,1.42941340187847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1606.0
2006,Rural regions,1.415590483968387,1.3829435304632274,1.4482374374735467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,904.0
2007,Urban regions,1.4403469534533027,1.4135485113264914,1.467145395580114,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1534.0
2007,Rural regions,1.4721299478832617,1.4311935279463313,1.513066367820192,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,871.0
2008,Urban regions,1.407964747364383,1.3846800444350293,1.4312494502937367,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1366.0
2008,Rural regions,1.4050748807881281,1.3746798102308864,1.43546995134537,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,830.0
2009,Urban regions,1.4341872379580187,1.4105767665676847,1.4577977093483527,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1399.0
2009,Rural regions,1.5311101133397027,1.4668055502057897,1.5954146764736157,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,844.0
2010,Urban regions,1.443123892246441,1.4155066384212796,1.4707411460716027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2084.0
2010,Rural regions,1.4224693055705124,1.3959958322364698,1.448942778904555,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1137.0
2011,Urban regions,1.4277851065111953,1.4031357485244138,1.4524344644979768,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,2397.0
2011,Rural regions,1.3849066441735083,1.3638908344759544,1.4059224538710622,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1427.0
2012,Urban regions,1.4316805608368268,1.4097159979916039,1.4536451236820498,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,2234.0
2012,Rural regions,1.4653161357145195,1.4339930452553016,1.4966392261737373,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1425.0
2013,Urban regions,1.4142907007824237,1.3936429236257408,1.4349384779391066,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,2080.0
