year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,,,,,,,,,,,,
1984,2nd Quintile,,,,,,,,,,,,
1984,3rd Quintile,,,,,,,,,,,,
1984,4th Quintile,,,,,,,,,,,,
1984,5th Quintile,,,,,,,,,,,,
1985,1st Quintile,,,,,,,,,,,,
1985,2nd Quintile,,,,,,,,,,,,
1985,3rd Quintile,,,,,,,,,,,,
1985,4th Quintile,,,,,,,,,,,,
1985,5th Quintile,,,,,,,,,,,,
1986,1st Quintile,,,,,,,,,,,,
1986,2nd Quintile,,,,,,,,,,,,
1986,3rd Quintile,,,,,,,,,,,,
1986,4th Quintile,,,,,,,,,,,,
1986,5th Quintile,,,,,,,,,,,,
1987,1st Quintile,,,,,,,,,,,,
1987,2nd Quintile,,,,,,,,,,,,
1987,3rd Quintile,,,,,,,,,,,,
1987,4th Quintile,,,,,,,,,,,,
1987,5th Quintile,,,,,,,,,,,,
1988,1st Quintile,,,,,,,,,,,,
1988,2nd Quintile,,,,,,,,,,,,
1988,3rd Quintile,,,,,,,,,,,,
1988,4th Quintile,,,,,,,,,,,,
1988,5th Quintile,,,,,,,,,,,,
1989,1st Quintile,,,,,,,,,,,,
1989,2nd Quintile,,,,,,,,,,,,
1989,3rd Quintile,,,,,,,,,,,,
1989,4th Quintile,,,,,,,,,,,,
1989,5th Quintile,,,,,,,,,,,,
1990,1st Quintile,,,,,,,,,,,,
1990,2nd Quintile,,,,,,,,,,,,
1990,3rd Quintile,,,,,,,,,,,,
1990,4th Quintile,,,,,,,,,,,,
1990,5th Quintile,,,,,,,,,,,,
1991,1st Quintile,,,,,,,,,,,,
1991,2nd Quintile,,,,,,,,,,,,
1991,3rd Quintile,,,,,,,,,,,,
1991,4th Quintile,,,,,,,,,,,,
1991,5th Quintile,,,,,,,,,,,,
1992,1st Quintile,,,,,,,,,,,,
1992,2nd Quintile,,,,,,,,,,,,
1992,3rd Quintile,,,,,,,,,,,,
1992,4th Quintile,,,,,,,,,,,,
1992,5th Quintile,,,,,,,,,,,,
1993,1st Quintile,,,,,,,,,,,,
1993,2nd Quintile,,,,,,,,,,,,
1993,3rd Quintile,,,,,,,,,,,,
1993,4th Quintile,,,,,,,,,,,,
1993,5th Quintile,,,,,,,,,,,,
1994,1st Quintile,,,,,,,,,,,,
1994,2nd Quintile,,,,,,,,,,,,
1994,3rd Quintile,,,,,,,,,,,,
1994,4th Quintile,,,,,,,,,,,,
1994,5th Quintile,,,,,,,,,,,,
1995,1st Quintile,,,,,,,,,,,,
1995,2nd Quintile,,,,,,,,,,,,
1995,3rd Quintile,,,,,,,,,,,,
1995,4th Quintile,,,,,,,,,,,,
1995,5th Quintile,,,,,,,,,,,,
1996,1st Quintile,,,,,,,,,,,,
1996,2nd Quintile,,,,,,,,,,,,
1996,3rd Quintile,,,,,,,,,,,,
1996,4th Quintile,,,,,,,,,,,,
1996,5th Quintile,,,,,,,,,,,,
1997,1st Quintile,,,,,,,,,,,,
1997,2nd Quintile,,,,,,,,,,,,
1997,3rd Quintile,,,,,,,,,,,,
1997,4th Quintile,,,,,,,,,,,,
1997,5th Quintile,,,,,,,,,,,,
1998,1st Quintile,,,,,,,,,,,,
1998,2nd Quintile,,,,,,,,,,,,
1998,3rd Quintile,,,,,,,,,,,,
1998,4th Quintile,,,,,,,,,,,,
1998,5th Quintile,,,,,,,,,,,,
1999,1st Quintile,61,57.04011,35.16898,76.03556,17.04945,31.00000,77.00000,1.00000,166.92583,31.00000,10.95000,37.00000
1999,2nd Quintile,82,46.11525,23.57678,60.94805,13.00000,26.00000,61.00000,4.00000,133.00000,26.00000,13.95000,32.00000
1999,3rd Quintile,140,38.81669,33.13208,44.48137,11.00000,26.94379,54.72166,1.00000,120.30416,27.00000,19.00000,34.00000
1999,4th Quintile,193,36.88480,31.36061,41.38963,13.00000,27.00000,51.00000,1.00000,108.00000,27.00000,21.00000,34.00000
1999,5th Quintile,305,66.70151,56.41861,74.98547,26.00000,56.00000,77.00000,1.00000,153.50000,56.00000,51.00000,61.00000
2000,1st Quintile,55,47.64605,34.28562,59.42320,15.00000,32.48978,79.53534,1.00000,153.00000,33.00000,15.00000,50.00000
2000,2nd Quintile,88,60.48886,34.81300,86.11993,14.00000,27.43180,73.20064,1.00000,162.00159,27.00000,16.00000,36.00000
2000,3rd Quintile,146,38.45765,28.89808,46.91493,10.00000,26.00000,46.00000,1.00000,100.00000,26.00000,21.00000,37.00000
2000,4th Quintile,170,40.14343,33.08832,47.40555,13.00000,30.34074,59.71702,1.00000,129.79255,31.00000,24.00000,42.00000
2000,5th Quintile,321,64.60603,54.96277,72.82043,30.00000,52.47025,77.00000,1.00000,147.50000,53.00000,45.00000,58.02500
2001,1st Quintile,69,31.71421,19.82318,41.14834,7.00000,18.00000,36.21533,1.00000,80.03832,18.00000,9.95000,22.00000
2001,2nd Quintile,149,39.53363,26.77836,51.05733,12.04759,20.00000,42.19764,1.00000,87.42270,20.00000,14.00000,25.00000
2001,3rd Quintile,282,35.87386,31.20163,40.72364,13.00000,26.00000,51.00000,1.00000,108.00000,26.00000,21.00000,31.00000
2001,4th Quintile,382,50.81019,42.99859,57.95730,14.00000,36.00000,66.00000,1.00000,144.00000,36.00000,31.00000,41.00000
2001,5th Quintile,534,58.04015,53.69011,61.84386,26.00000,51.00000,77.00000,1.00000,153.50000,51.00000,49.00000,56.00000
