year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,,,,,,,,,,,,
1985,Urban regions,female,,,,,,,,,,,,
1985,Rural regions,male,,,,,,,,,,,,
1985,Rural regions,female,,,,,,,,,,,,
1986,Urban regions,male,,,,,,,,,,,,
1986,Urban regions,female,,,,,,,,,,,,
1986,Rural regions,male,,,,,,,,,,,,
1986,Rural regions,female,,,,,,,,,,,,
1987,Urban regions,male,,,,,,,,,,,,
1987,Urban regions,female,,,,,,,,,,,,
1987,Rural regions,male,,,,,,,,,,,,
1987,Rural regions,female,,,,,,,,,,,,
1988,Urban regions,male,,,,,,,,,,,,
1988,Urban regions,female,,,,,,,,,,,,
1988,Rural regions,male,,,,,,,,,,,,
1988,Rural regions,female,,,,,,,,,,,,
1989,Urban regions,male,,,,,,,,,,,,
1989,Urban regions,female,,,,,,,,,,,,
1989,Rural regions,male,,,,,,,,,,,,
1989,Rural regions,female,,,,,,,,,,,,
1990,Urban regions,male,,,,,,,,,,,,
1990,Urban regions,female,,,,,,,,,,,,
1990,Rural regions,male,,,,,,,,,,,,
1990,Rural regions,female,,,,,,,,,,,,
1991,Urban regions,male,,,,,,,,,,,,
1991,Urban regions,female,,,,,,,,,,,,
1991,Rural regions,male,,,,,,,,,,,,
1991,Rural regions,female,,,,,,,,,,,,
1992,Urban regions,male,,,,,,,,,,,,
1992,Urban regions,female,,,,,,,,,,,,
1992,Rural regions,male,,,,,,,,,,,,
1992,Rural regions,female,,,,,,,,,,,,
1993,Urban regions,male,,,,,,,,,,,,
1993,Urban regions,female,,,,,,,,,,,,
1993,Rural regions,male,,,,,,,,,,,,
1993,Rural regions,female,,,,,,,,,,,,
1994,Urban regions,male,,,,,,,,,,,,
1994,Urban regions,female,,,,,,,,,,,,
1994,Rural regions,male,,,,,,,,,,,,
1994,Rural regions,female,,,,,,,,,,,,
1995,Urban regions,male,,,,,,,,,,,,
1995,Urban regions,female,,,,,,,,,,,,
1995,Rural regions,male,,,,,,,,,,,,
1995,Rural regions,female,,,,,,,,,,,,
1996,Urban regions,male,,,,,,,,,,,,
1996,Urban regions,female,,,,,,,,,,,,
1996,Rural regions,male,,,,,,,,,,,,
1996,Rural regions,female,,,,,,,,,,,,
1997,Urban regions,male,,,,,,,,,,,,
1997,Urban regions,female,,,,,,,,,,,,
1997,Rural regions,male,,,,,,,,,,,,
1997,Rural regions,female,,,,,,,,,,,,
1998,Urban regions,male,,,,,,,,,,,,
1998,Urban regions,female,,,,,,,,,,,,
1998,Rural regions,male,,,,,,,,,,,,
1998,Rural regions,female,,,,,,,,,,,,
1999,Urban regions,male,243,60.67632,50.92418,70.42846,15.00000,33.00000,77.00000,1.00000,170.00000,33.00000,26.00000,56.00000
1999,Urban regions,female,309,47.36272,43.15844,51.56701,20.00000,40.00000,64.00000,1.00000,130.00000,40.00000,35.97500,43.05000
1999,Rural regions,male,113,52.86155,40.84865,64.87446,12.27518,30.73339,66.40416,1.00000,147.59762,31.00000,19.92500,43.07500
1999,Rural regions,female,116,44.42292,37.14122,51.70462,13.00000,36.00000,55.92124,1.00000,120.30309,36.00000,20.97500,51.00000
2000,Urban regions,male,510,62.01808,55.88465,68.15151,15.00000,36.00000,82.00000,1.00000,182.50000,36.00000,31.00000,42.02500
2000,Urban regions,female,643,51.41657,48.04006,54.79309,19.00000,41.00000,69.00000,1.00000,144.00000,41.00000,39.95000,46.00000
2000,Rural regions,male,172,48.05459,39.10420,57.00498,10.00000,28.60750,66.00000,1.00000,150.00000,29.00000,22.00000,36.00000
2000,Rural regions,female,188,45.54363,39.76738,51.31988,13.58128,36.00000,67.32692,1.00000,147.94538,36.00000,26.00000,43.02500
2001,Urban regions,male,443,55.07663,50.04003,60.11323,16.00000,41.00000,74.00000,1.00000,161.00000,41.00000,31.00000,46.00000
2001,Urban regions,female,603,49.00376,45.45173,52.55578,15.00000,41.00000,66.00000,1.00000,142.50000,41.00000,36.00000,46.00000
2001,Rural regions,male,180,39.88193,32.69037,47.07349,13.00000,26.00000,51.00000,1.00000,108.00000,26.00000,20.00000,31.02500
2001,Rural regions,female,190,38.79776,32.69610,44.89941,11.00000,26.66690,51.27044,1.00000,111.67610,27.00000,18.00000,36.00000
2002,Urban regions,male,582,59.65156,54.42754,64.87559,17.00000,40.00000,76.58082,1.00000,165.95206,40.00000,30.00000,50.00000
2002,Urban regions,female,748,51.26001,47.92728,54.59274,17.00000,40.29294,70.00000,1.00000,149.50000,40.00000,35.00000,50.00000
2002,Rural regions,male,208,43.49139,37.43799,49.54479,15.00000,30.00000,60.00000,1.00000,127.50000,30.00000,20.00000,35.00000
2002,Rural regions,female,236,36.49592,31.91499,41.07684,11.00000,23.02483,50.00000,1.00000,108.50000,23.00000,15.00000,30.05000
2003,Urban regions,male,554,54.89633,49.96275,59.82991,14.35566,35.00000,74.52297,1.00000,164.77394,35.00000,27.97500,42.02500
2003,Urban regions,female,732,56.78787,51.66339,61.91235,19.00000,42.00000,73.00000,1.00000,154.00000,42.00000,40.00000,50.00000
2003,Rural regions,male,197,42.98401,36.31386,49.65417,12.00000,30.00000,53.00000,1.00000,114.50000,30.00000,20.00000,34.00000
2003,Rural regions,female,242,34.79106,30.35768,39.22443,11.00000,20.33642,50.00000,1.00000,108.50000,20.00000,19.00000,30.00000
2004,Urban regions,male,593,54.17741,48.90102,59.45379,13.53290,34.00000,70.00000,1.00000,154.70065,34.00000,26.00000,40.00000
2004,Urban regions,female,745,51.71996,48.07283,55.36708,18.00000,40.00000,72.06301,1.00000,153.15751,40.00000,35.00000,49.02500
2004,Rural regions,male,207,41.11548,34.74786,47.48311,10.20890,29.00000,48.84992,1.00000,106.81146,29.00000,20.00000,30.00000
2004,Rural regions,female,261,38.64469,34.05303,43.23635,12.00000,25.00000,57.12390,1.00000,124.80975,25.00000,18.97500,34.02500
2005,Urban regions,male,594,53.00149,47.22983,58.77314,12.86077,30.00000,60.00000,1.00000,130.70885,30.00000,25.00000,35.00000
2005,Urban regions,female,802,49.62327,46.05730,53.18924,17.00000,35.00000,65.00000,1.00000,137.00000,35.00000,30.00000,40.00000
2005,Rural regions,male,228,34.68412,29.35121,40.01703,10.00000,20.00000,45.98805,1.00000,99.97013,20.00000,15.00000,25.00000
2005,Rural regions,female,308,36.97131,31.16117,42.78145,12.00000,20.00000,48.00000,1.00000,102.00000,20.00000,19.00000,25.00000
2006,Urban regions,male,734,49.35931,44.67769,54.04092,14.00000,30.00000,60.00000,1.00000,129.00000,30.00000,25.00000,31.00000
2006,Urban regions,female,1003,44.55610,41.81872,47.29349,15.00000,30.00000,60.89610,1.00000,129.74026,30.00000,28.00000,34.02500
2006,Rural regions,male,294,36.84013,31.49000,42.19025,11.00000,20.00000,49.56601,1.00000,107.41504,20.00000,15.00000,25.00000
2006,Rural regions,female,398,31.63993,28.21125,35.06861,10.00000,18.00000,40.00000,1.00000,85.00000,18.00000,15.00000,20.00000
