year,age_gr,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,unter 18 J.,,,,,,,,,,,,
1984,18-29 J.,,,,,,,,,,,,
1984,30-45 J.,,,,,,,,,,,,
1984,46-65 J.,,,,,,,,,,,,
1984,66 und älter,,,,,,,,,,,,
1985,unter 18 J.,,,,,,,,,,,,
1985,18-29 J.,,,,,,,,,,,,
1985,30-45 J.,,,,,,,,,,,,
1985,46-65 J.,,,,,,,,,,,,
1985,66 und älter,,,,,,,,,,,,
1986,unter 18 J.,,,,,,,,,,,,
1986,18-29 J.,,,,,,,,,,,,
1986,30-45 J.,,,,,,,,,,,,
1986,46-65 J.,,,,,,,,,,,,
1986,66 und älter,,,,,,,,,,,,
1987,unter 18 J.,,,,,,,,,,,,
1987,18-29 J.,,,,,,,,,,,,
1987,30-45 J.,,,,,,,,,,,,
1987,46-65 J.,,,,,,,,,,,,
1987,66 und älter,,,,,,,,,,,,
1988,unter 18 J.,,,,,,,,,,,,
1988,18-29 J.,,,,,,,,,,,,
1988,30-45 J.,,,,,,,,,,,,
1988,46-65 J.,,,,,,,,,,,,
1988,66 und älter,,,,,,,,,,,,
1989,unter 18 J.,,,,,,,,,,,,
1989,18-29 J.,7.228049662137491,7.187183127121109,7.268916197153873,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2469.0
1989,30-45 J.,6.971343908410675,6.930799381600081,7.011888435221269,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,2584.0
1989,46-65 J.,6.679511344091573,6.637020284480924,6.722002403702222,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2561.0
1989,66 und älter,7.175256543617686,7.102152911660426,7.2483601755749465,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,821.0
1990,unter 18 J.,,,,,,,,,,,,
1990,18-29 J.,,,,,,,,,,,,
1990,30-45 J.,,,,,,,,,,,,
1990,46-65 J.,,,,,,,,,,,,
1990,66 und älter,,,,,,,,,,,,
1991,unter 18 J.,,,,,,,,,,,,
