year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,West,,,,,,,,,,,,
1984,2nd Quintile,West,,,,,,,,,,,,
1984,3rd Quintile,West,,,,,,,,,,,,
1984,4th Quintile,West,,,,,,,,,,,,
1984,5th Quintile,West,,,,,,,,,,,,
1985,1st Quintile,West,,,,,,,,,,,,
1985,2nd Quintile,West,,,,,,,,,,,,
1985,3rd Quintile,West,,,,,,,,,,,,
1985,4th Quintile,West,,,,,,,,,,,,
1985,5th Quintile,West,,,,,,,,,,,,
1986,1st Quintile,West,,,,,,,,,,,,
1986,2nd Quintile,West,,,,,,,,,,,,
1986,3rd Quintile,West,,,,,,,,,,,,
1986,4th Quintile,West,,,,,,,,,,,,
1986,5th Quintile,West,,,,,,,,,,,,
1987,1st Quintile,West,,,,,,,,,,,,
1987,2nd Quintile,West,,,,,,,,,,,,
1987,3rd Quintile,West,,,,,,,,,,,,
1987,4th Quintile,West,,,,,,,,,,,,
1987,5th Quintile,West,,,,,,,,,,,,
1988,1st Quintile,West,,,,,,,,,,,,
1988,2nd Quintile,West,,,,,,,,,,,,
1988,3rd Quintile,West,,,,,,,,,,,,
1988,4th Quintile,West,,,,,,,,,,,,
1988,5th Quintile,West,,,,,,,,,,,,
1989,1st Quintile,West,1652,6.419268964817734,6.301663060441414,6.536874869194054,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1989,2nd Quintile,West,1743,6.739344636856665,6.634055661470247,6.844633612243084,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1989,3rd Quintile,West,1675,6.979578480482564,6.8764456570479835,7.0827113039171445,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1989,4th Quintile,West,1826,7.097952418374168,6.999791510047397,7.196113326700938,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1989,5th Quintile,West,1712,7.5356669179654086,7.4431676159876785,7.628166219943139,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1990,1st Quintile,West,,,,,,,,,,,,
1990,2nd Quintile,West,,,,,,,,,,,,
1990,3rd Quintile,West,,,,,,,,,,,,
1990,4th Quintile,West,,,,,,,,,,,,
1990,5th Quintile,West,,,,,,,,,,,,
1991,1st Quintile,West,,,,,,,,,,,,
1991,2nd Quintile,West,,,,,,,,,,,,
1991,3rd Quintile,West,,,,,,,,,,,,
1991,4th Quintile,West,,,,,,,,,,,,
1991,5th Quintile,West,,,,,,,,,,,,
1992,1st Quintile,West,,,,,,,,,,,,
1992,1st Quintile,East,,,,,,,,,,,,
1992,2nd Quintile,West,,,,,,,,,,,,
1992,2nd Quintile,East,,,,,,,,,,,,
1992,3rd Quintile,West,,,,,,,,,,,,
1992,3rd Quintile,East,,,,,,,,,,,,
1992,4th Quintile,West,,,,,,,,,,,,
1992,4th Quintile,East,,,,,,,,,,,,
1992,5th Quintile,West,,,,,,,,,,,,
1992,5th Quintile,East,,,,,,,,,,,,
1993,1st Quintile,West,1164,6.2001884555721025,6.060334651309794,6.340042259834411,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1993,1st Quintile,East,862,6.515991972902871,6.366560910794191,6.665423035011551,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1993,2nd Quintile,West,1394,6.646423838786168,6.5213396373052195,6.771508040267117,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,2nd Quintile,East,952,6.661514390225691,6.525830951085534,6.797197829365849,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,3rd Quintile,West,1590,6.858787053117865,6.748411233066372,6.969162873169358,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,3rd Quintile,East,697,7.042272700570328,6.8874356158423495,7.197109785298306,5.0,7.703302840439489,9.0,0.0,10.0,8.0,8.0,9.0
1993,4th Quintile,West,1897,7.02903569430215,6.934264259503142,7.123807129101158,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1993,4th Quintile,East,398,7.094921924134546,6.909990859217301,7.279852989051791,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1993,5th Quintile,West,1984,7.464278455930355,7.378639754887248,7.5499171569734616,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1993,5th Quintile,East,153,7.391030466778723,7.106546845354131,7.675514088203315,6.0,8.0,9.0,2.0,10.0,8.0,8.0,9.0
1994,1st Quintile,West,,,,,,,,,,,,
1994,1st Quintile,East,,,,,,,,,,,,
1994,2nd Quintile,West,,,,,,,,,,,,
1994,2nd Quintile,East,,,,,,,,,,,,
1994,3rd Quintile,West,,,,,,,,,,,,
