year,age_gr,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,Schleswig-Holstein,,,,,,,,,,,,
1984,0-16 y.,Hamburg,,,,,,,,,,,,
1984,0-16 y.,Lower Saxony,,,,,,,,,,,,
1984,0-16 y.,Bremen,,,,,,,,,,,,
1984,0-16 y.,North Rhine-Westphalia,,,,,,,,,,,,
1984,0-16 y.,Hesse,,,,,,,,,,,,
1984,0-16 y.,"Rhineland-Palatinate, Saarland",,,,,,,,,,,,
1984,0-16 y.,Baden-Wuerttemberg,,,,,,,,,,,,
1984,0-16 y.,Bavaria,,,,,,,,,,,,
1984,0-16 y.,Berlin,,,,,,,,,,,,
1984,17-29 y.,Schleswig-Holstein,96,8.236607543615781,7.851634002830231,8.563417025897273,7.0,8.235184625978821,10.0,3.0,10.0,8.0,7.0,8.0
1984,17-29 y.,Hamburg,68,7.339207049253278,6.673317057301382,8.055916804958654,6.0,8.0,9.0,2.0,10.0,8.0,8.0,9.0
1984,17-29 y.,Lower Saxony,335,8.077937637375921,7.872491514035389,8.390211970748638,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0
1984,17-29 y.,Bremen,,,,,,,,,,,,
1984,17-29 y.,North Rhine-Westphalia,968,8.117899874206262,7.979984242646395,8.26441292218625,7.0,8.808454610733941,10.0,2.5,10.0,9.0,9.0,10.0
1984,17-29 y.,Hesse,376,8.107693336659533,7.899029105140373,8.33805453918927,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0
1984,17-29 y.,"Rhineland-Palatinate, Saarland",246,8.191761983870384,7.94882615945701,8.515561696710435,7.0,9.0,10.0,2.5,10.0,9.0,9.0,9.0
1984,17-29 y.,Baden-Wuerttemberg,650,8.10075451568582,7.8972735251272095,8.275787583137863,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0
1984,17-29 y.,Bavaria,566,8.038279065767405,7.847971902171999,8.277756266773453,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0
1984,17-29 y.,Berlin,100,8.071479719428527,7.60948753206956,8.470069329186462,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0
1984,30-45 y.,Schleswig-Holstein,143,7.710639284141431,7.3541179676517885,8.092035636140245,7.0,8.0,9.50392196338212,3.244117054926819,10.0,8.0,8.0,8.0
1984,30-45 y.,Hamburg,122,6.756174466070363,6.240194941668955,7.183960195714303,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0
1984,30-45 y.,Lower Saxony,390,7.4794739309466545,7.261232318656344,7.7172394065332135,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,30-45 y.,Bremen,31,7.391488479083079,6.51638348095228,8.314153784763082,5.680924915011467,8.0,10.0,0.0,10.0,8.0,7.0,9.0
1984,30-45 y.,North Rhine-Westphalia,1092,7.464825202108137,7.305165475139042,7.6042981593231005,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,30-45 y.,Hesse,369,7.444497831107544,7.206081586784145,7.742224473233001,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,30-45 y.,"Rhineland-Palatinate, Saarland",208,7.3664819093310765,7.034118845824165,7.762030489572112,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1984,30-45 y.,Baden-Wuerttemberg,740,7.385174513688656,7.1421815043948715,7.564911937465485,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,30-45 y.,Bavaria,671,7.207186419415899,7.007216198981057,7.4124275653676195,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1984,30-45 y.,Berlin,136,6.864578841925598,6.287975482129684,7.41165099397876,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
