"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","","","","",""
"1984","16-34 Jahre alt","weiblich","","","","",""
"1984","35-65 Jahre alt","maennlich","6.69","7","3214","6.6","6.78"
"1984","35-65 Jahre alt","weiblich","6.46","7","3119","6.37","6.55"
"1984","66 und Ã¤lter","maennlich","5.55","5","507","5.3","5.8"
"1984","66 und Ã¤lter","weiblich","5.22","5","770","5.02","5.42"
"1985","16-34 Jahre alt","maennlich","","","","",""
"1985","16-34 Jahre alt","weiblich","","","","",""
"1985","35-65 Jahre alt","maennlich","","","","",""
"1985","35-65 Jahre alt","weiblich","","","","",""
"1985","66 und Ã¤lter","maennlich","5.58","6","444","5.32","5.84"
"1985","66 und Ã¤lter","weiblich","5.48","5","667","5.28","5.68"
"1986","16-34 Jahre alt","maennlich","","","","",""
"1986","16-34 Jahre alt","weiblich","","","","",""
"1986","35-65 Jahre alt","maennlich","","","","",""
"1986","35-65 Jahre alt","weiblich","","","","",""
"1986","66 und Ã¤lter","maennlich","5.66","6","424","5.4","5.92"
"1986","66 und Ã¤lter","weiblich","5.49","5","616","5.28","5.7"
"1987","16-34 Jahre alt","maennlich","","","","",""
"1987","16-34 Jahre alt","weiblich","","","","",""
"1987","35-65 Jahre alt","maennlich","","","","",""
"1987","35-65 Jahre alt","weiblich","","","","",""
"1987","66 und Ã¤lter","maennlich","5.69","6","429","5.44","5.94"
"1987","66 und Ã¤lter","weiblich","5.42","5","655","5.22","5.62"
"1988","16-34 Jahre alt","maennlich","","","","",""
"1988","16-34 Jahre alt","weiblich","","","","",""
"1988","35-65 Jahre alt","maennlich","","","","",""
"1988","35-65 Jahre alt","weiblich","","","","",""
"1988","66 und Ã¤lter","maennlich","5.54","6","420","5.29","5.79"
"1988","66 und Ã¤lter","weiblich","5.28","5","631","5.07","5.49"
"1989","16-34 Jahre alt","maennlich","","","","",""
"1989","16-34 Jahre alt","weiblich","","","","",""
"1989","35-65 Jahre alt","maennlich","","","","",""
"1989","35-65 Jahre alt","weiblich","","","","",""
"1989","66 und Ã¤lter","maennlich","5.72","6","399","5.46","5.98"
"1989","66 und Ã¤lter","weiblich","5.18","5","628","4.97","5.39"
"1990","16-34 Jahre alt","maennlich","","","","",""
"1990","16-34 Jahre alt","weiblich","","","","",""
"1990","35-65 Jahre alt","maennlich","6.45","7","3538","6.37","6.53"
"1990","35-65 Jahre alt","weiblich","6.24","6","3559","6.16","6.32"
"1990","66 und Ã¤lter","maennlich","5.62","6","558","5.4","5.84"
"1990","66 und Ã¤lter","weiblich","5.15","5","935","4.98","5.32"
"1991","16-34 Jahre alt","maennlich","","","","",""
"1991","16-34 Jahre alt","weiblich","","","","",""
"1991","35-65 Jahre alt","maennlich","6.47","7","3494","6.4","6.54"
"1991","35-65 Jahre alt","weiblich","6.25","7","3507","6.17","6.33"
"1991","66 und Ã¤lter","maennlich","5.49","5","556","5.28","5.7"
"1991","66 und Ã¤lter","weiblich","5.2","5","923","5.04","5.36"
"1992","16-34 Jahre alt","maennlich","","","","",""
"1992","16-34 Jahre alt","weiblich","","","","",""
"1992","35-65 Jahre alt","maennlich","6.56","7","3425","6.48","6.64"
"1992","35-65 Jahre alt","weiblich","6.34","7","3469","6.26","6.42"
"1992","66 und Ã¤lter","maennlich","5.43","6","556","5.22","5.64"
"1992","66 und Ã¤lter","weiblich","5.2","5","913","5.04","5.36"
"1993","16-34 Jahre alt","maennlich","","","","",""
"1993","16-34 Jahre alt","weiblich","","","","",""
"1993","35-65 Jahre alt","maennlich","6.41","7","3362","6.34","6.48"
"1993","35-65 Jahre alt","weiblich","6.2","6","3385","6.12","6.28"
"1993","66 und Ã¤lter","maennlich","5.31","5","559","5.1","5.52"
"1993","66 und Ã¤lter","weiblich","5.27","5","932","5.11","5.43"
"1994","16-34 Jahre alt","maennlich","","","","",""
"1994","16-34 Jahre alt","weiblich","","","","",""
"1994","35-65 Jahre alt","maennlich","6.31","7","3283","6.23","6.39"
"1994","35-65 Jahre alt","weiblich","6.12","6","3306","6.04","6.2"
"1994","66 und Ã¤lter","maennlich","5.46","6","569","5.26","5.66"
