"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","17-34","maennlich","7.44","7.5","2061","4","6","9","10","10","7.35","7.53","0","10","8","8"
"2008","17-34","weiblich","7.1","7.5","2274","4","6","9","10","10","7.01","7.19","0","10","8","8"
"2008","35-65","maennlich","6.69","6.5","5098","3","5","8","9","10","6.63","6.75","0","10","7","7"
"2008","35-65","weiblich","6.56","6.5","5567","3","5","8","9","10","6.5","6.62","0","10","7","7"
"2008","66 +","maennlich","6.8","6.5","2031","3","5","8","10","10","6.7","6.9","0","10","7","7"
"2008","66 +","weiblich","6.25","5.5","2254","3","5","8","9","10","6.15","6.35","0","10","6","7"
"2009","17-34","maennlich","7.4","7.5","1902","5","6","9","10","10","7.31","7.49","0","10","8","8"
"2009","17-34","weiblich","7.16","7.5","2063","4","6","9","10","10","7.07","7.25","0","10","8","8"
"2009","35-65","maennlich","6.69","6.5","4709","3","5","8","9","10","6.63","6.75","0","10","7","7"
"2009","35-65","weiblich","6.52","6.5","5163","3","5","8","9","10","6.46","6.58","0","10","7","7"
"2009","66 +","maennlich","6.61","6.5","1978","3","5","8","9","10","6.51","6.71","0","10","7","7"
"2009","66 +","weiblich","6.2","5.5","2172","3","5","8","9","10","6.1","6.3","0","10","6","7"
"2010","17-34","maennlich","7.37","7.5","2759","4","6","9","10","10","7.29","7.45","0","10","8","8"
"2010","17-34","weiblich","7.09","7.5","3786","4","6","9","10","10","7.02","7.16","0","10","7","7"
"2010","35-65","maennlich","6.66","6.5","6216","3","5","8","9","10","6.6","6.72","0","10","7","7"
"2010","35-65","weiblich","6.52","6.5","7148","3","5","8","9","10","6.46","6.58","0","10","7","7"
"2010","66 +","maennlich","6.77","6.5","1919","3","5","8","9","10","6.67","6.87","0","10","7","7"
"2010","66 +","weiblich","6.14","5.5","2096","3","4","8","9","10","6.04","6.24","0","10","6","7"
"2011","17-34","maennlich","7.4","7.5","2659","4","6","9","10","10","7.32","7.48","0","10","8","8"
"2011","17-34","weiblich","7.13","7.5","3638","4","6","9","10","10","7.06","7.2","0","10","7","7"
"2011","35-65","maennlich","6.68","6.5","6832","3","5","8","9","10","6.63","6.73","0","10","7","7"
"2011","35-65","weiblich","6.53","6.5","8199","3","5","8","10","10","6.48","6.58","0","10","7","7"
"2011","66 +","maennlich","6.76","6.5","2138","3","5","8","10","10","6.66","6.86","0","10","7","8"
"2011","66 +","weiblich","6.12","5.5","2314","3","4","8","9","10","6.02","6.22","0","10","6","7"
"2012","17-34","maennlich","7.33","7.5","2641","5","6","9","10","10","7.25","7.41","0","10","8","8"
"2012","17-34","weiblich","7.07","7.5","3423","4","6","9","10","10","6.99","7.15","0","10","7","7"
"2012","35-65","maennlich","6.68","6.5","6947","3","5","8","9","10","6.63","6.73","0","10","7","7"
"2012","35-65","weiblich","6.51","6.5","8490","3","5","8","9","10","6.46","6.56","0","10","7","7"
"2012","66 +","maennlich","6.86","6.5","2383","4","5","8","10","10","6.77","6.95","0","10","7","8"
"2012","66 +","weiblich","6.25","5.5","2520","3","5","8","9","10","6.16","6.34","0","10","7","7"
"2013","17-34","maennlich","7.34","7.5","2491","4","6","9","10","10","7.26","7.42","0","10","8","8"
"2013","17-34","weiblich","7.04","6.5","3212","4","6","9","10","10","6.96","7.12","0","10","7","7"
"2013","35-65","maennlich","6.66","6.5","6724","3","5","8","9","10","6.61","6.71","0","10","7","7"
"2013","35-65","weiblich","6.5","6.5","8275","3","5","8","9","10","6.45","6.55","0","10","7","7"
"2013","66 +","maennlich","6.93","6.5","2396","3","5","9","10","10","6.84","7.02","0","10","7","8"
"2013","66 +","weiblich","6.28","6.5","2555","3","5","8","9","10","6.19","6.37","0","10","7","7"
"2014","17-34","maennlich","7.28","7.5","2966","4","6","9","10","10","7.2","7.36","0","10","8","8"
"2014","17-34","weiblich","7.06","6.5","3569","4","6","9","10","10","6.99","7.13","0","10","7","7"
"2014","35-65","maennlich","6.67","6.5","7034","3","5","8","9","10","6.62","6.72","0","10","7","7"
"2014","35-65","weiblich","6.47","6.5","8545","3","5","8","9","10","6.42","6.52","0","10","7","7"
"2014","66 +","maennlich","6.85","6.5","2423","3","5","9","10","10","6.76","6.94","0","10","7","8"
"2014","66 +","weiblich","6.22","5.5","2522","3","5","8","9","10","6.12","6.32","0","10","6","7"
"2015","17-34","maennlich","7.33","7.5","2616","4","6","9","10","10","7.25","7.41","0","10","8","8"
"2015","17-34","weiblich","7.03","6.5","3101","4","6","9","10","10","6.96","7.1","0","10","7","7"
"2015","35-65","maennlich","6.7","6.5","6443","4","5","8","9","10","6.65","6.75","0","10","7","7"
"2015","35-65","weiblich","6.48","6.5","7966","3","5","8","9","10","6.43","6.53","0","10","7","7"
"2015","66 +","maennlich","6.85","6.5","2381","3","5","8","10","10","6.76","6.94","0","10","7","8"
"2015","66 +","weiblich","6.36","6.5","2497","3","5","8","9","10","6.27","6.45","0","10","7","7"
"2016","17-34","maennlich","7.33","7.5","2541","5","6","9","10","10","7.25","7.41","0","10","8","8"
"2016","17-34","weiblich","7","6.5","3006","4","6","9","10","10","6.92","7.08","0","10","7","8"
"2016","35-65","maennlich","6.66","6.5","6192","3","5","8","9","10","6.61","6.71","0","10","7","7"
"2016","35-65","weiblich","6.45","6.5","7678","3","5","8","9","10","6.4","6.5","0","10","7","7"
"2016","66 +","maennlich","6.86","6.5","2305","3","5","8","10","10","6.77","6.95","0","10","7","8"
"2016","66 +","weiblich","6.24","6.5","2398","3","5","8","9","10","6.14","6.34","0","10","7","7"
"2017","17-34","maennlich","7.19","6.5","2872","4","6","9","10","10","7.12","7.26","0","10","7","8"
"2017","17-34","weiblich","6.92","6.5","3222","4","6","8","9","10","6.84","7","0","10","7","7"
