year,pgisced97,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,in school,maennlich,,,,,,,,,,,,
1984,in school,weiblich,,,,,,,,,,,,
1984,inadequately,maennlich,330,7.020417845183351,6.882456387889991,7.158379302476711,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1984,inadequately,weiblich,243,7.010901652265365,6.859992623377978,7.161810681152752,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1984,general elemantary,maennlich,780,7.568290063026359,7.488110737954852,7.648469388097867,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0
1984,general elemantary,weiblich,757,7.439908677995702,7.35581737240511,7.523999983586294,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0
1984,middle vocational,maennlich,2331,7.727493567751832,7.685633499530716,7.769353635972949,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,middle vocational,weiblich,1164,7.69047017144952,7.626460867262126,7.754479475636914,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,vocational + Abi,maennlich,136,7.473362808642481,7.293615374297679,7.653110242987283,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1984,vocational + Abi,weiblich,72,7.828978400958703,7.625343758962046,8.03261304295536,7.0,8.0,10.0,3.0,10.0,8.0,7.0,9.0
1984,higher vocational,maennlich,301,8.001504104591168,7.8900992616718515,8.112908947510485,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,higher vocational,weiblich,145,8.179319666300652,8.021987167468524,8.33665216513278,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0
1984,higher education,maennlich,450,7.758198440549346,7.671965634750103,7.844431246348588,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1984,higher education,weiblich,163,8.024532825992576,7.86929229272286,8.179773359262294,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0
1985,in school,maennlich,,,,,,,,,,,,
1985,in school,weiblich,,,,,,,,,,,,
1985,inadequately,maennlich,254,7.293145330941074,7.1595178261311805,7.426772835750967,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1985,inadequately,weiblich,197,6.808180119037371,6.635250968668319,6.981109269406423,5.0,7.0,9.0,1.0,10.0,7.0,6.0,8.0
1985,general elemantary,maennlich,693,7.434777082336344,7.355887018593185,7.513667146079504,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,general elemantary,weiblich,688,7.3654073143325896,7.285000856044223,7.445813772620956,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1985,middle vocational,maennlich,2066,7.525125022592505,7.48181158513159,7.56843846005342,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,middle vocational,weiblich,1099,7.553235455057288,7.491102528402753,7.615368381711822,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,vocational + Abi,maennlich,114,7.31588747491929,7.108954915404069,7.522820034434511,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1985,vocational + Abi,weiblich,62,7.01454468959691,6.792225184084826,7.2368641951089945,5.0,7.0,8.0,3.0,10.0,7.0,6.0,8.0
1985,higher vocational,maennlich,283,7.6078145498511605,7.487628789600036,7.728000310102285,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1985,higher vocational,weiblich,134,7.706850797421221,7.53193275197272,7.881768842869722,7.0,8.0,9.0,4.0,10.0,8.0,7.0,8.0
1985,higher education,maennlich,424,7.64871333753254,7.5617840619392425,7.735642613125837,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1985,higher education,weiblich,159,7.6389045243400115,7.462037391844929,7.815771656835094,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1986,in school,maennlich,,,,,,,,,,,,
1986,in school,weiblich,,,,,,,,,,,,
1986,inadequately,maennlich,236,7.020240839729143,6.876082374677562,7.164399304780725,6.0,7.214698055559441,9.0,1.5,10.0,7.0,6.0,7.0
1986,inadequately,weiblich,180,6.89527998515115,6.736462166256061,7.05409780404624,5.0,8.0,8.0,0.5,10.0,8.0,8.0,9.0
1986,general elemantary,maennlich,687,7.333681192260684,7.259297678880252,7.408064705641117,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,general elemantary,weiblich,671,7.213822299170987,7.136254240195738,7.291390358146236,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0
1986,middle vocational,maennlich,2006,7.462078724101313,7.4177019061966964,7.50645554200593,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,middle vocational,weiblich,1075,7.36866816169657,7.305835047296773,7.431501276096368,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,vocational + Abi,maennlich,113,7.251466196938369,7.049451030760358,7.4534813631163805,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1986,vocational + Abi,weiblich,73,7.240233816888727,7.010549364916705,7.4699182688607495,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1986,higher vocational,maennlich,258,7.577789088611732,7.464577479050569,7.691000698172895,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1986,higher vocational,weiblich,124,7.351012933303546,7.173792889731395,7.528232976875698,6.0,8.0,9.0,2.0,10.0,8.0,8.0,9.0
1986,higher education,maennlich,427,7.547876297056514,7.463000932938715,7.632751661174313,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1986,higher education,weiblich,154,7.71559611301098,7.572286763925232,7.858905462096728,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1987,in school,maennlich,,,,,,,,,,,,
1987,in school,weiblich,,,,,,,,,,,,
1987,inadequately,maennlich,220,7.060484884455592,6.9112396707597465,7.209730098151438,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1987,inadequately,weiblich,182,7.143198650001529,6.994803694272981,7.2915936057300765,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1987,general elemantary,maennlich,669,7.501449204968853,7.430353537930357,7.572544872007348,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,general elemantary,weiblich,671,7.162442377576371,7.077868568996426,7.247016186156316,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1987,middle vocational,maennlich,2009,7.4395822898609465,7.395771956887914,7.483392622833979,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,middle vocational,weiblich,1093,7.35439527246203,7.295431492370331,7.413359052553729,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,vocational + Abi,maennlich,108,7.193027858150772,7.002681392375048,7.383374323926495,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1987,vocational + Abi,weiblich,76,7.189937817280354,6.954745454682339,7.425130179878369,5.0,8.0,9.0,2.0,10.0,8.0,7.0,10.0
1987,higher vocational,maennlich,248,7.578294436682697,7.472080004455865,7.6845088689095284,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1987,higher vocational,weiblich,129,7.4879134835824095,7.330055870809081,7.645771096355738,6.341852353851622,8.0,9.0,2.354630884629055,10.0,8.0,8.0,8.0
1987,higher education,maennlich,416,7.5563160874758895,7.468647859699424,7.6439843152523546,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1987,higher education,weiblich,157,7.78434950145843,7.641015015258448,7.927683987658412,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1988,in school,maennlich,,,,,,,,,,,,
1988,in school,weiblich,,,,,,,,,,,,
1988,inadequately,maennlich,202,7.079397877837645,6.930894631238059,7.227901124437232,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1988,inadequately,weiblich,152,6.806555422430366,6.647810185559394,6.965300659301337,5.0,7.0,9.0,1.0,10.0,7.0,7.0,8.0
1988,general elemantary,maennlich,665,7.065039240892618,6.989864247965124,7.140214233820113,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1988,general elemantary,weiblich,635,7.1047751365005,7.019575129403626,7.1899751435973736,5.0,7.663674318331541,9.0,0.0,10.0,8.0,8.0,9.0
1988,middle vocational,maennlich,1866,7.276168499790082,7.231730386022385,7.320606613557779,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,middle vocational,weiblich,1052,7.302028780513013,7.240041209423775,7.364016351602252,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,vocational + Abi,maennlich,101,6.767650965827167,6.532633022322958,7.002668909331376,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1988,vocational + Abi,weiblich,75,7.171688771148251,6.913000097925307,7.430377444371194,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
