year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,3518,7.587558930292634,7.550585580434694,7.624532280150573,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0
1984,2nd Quintile,2038,7.721668668623385,7.67617630554873,7.76716103169804,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,3rd Quintile,880,7.86332078786756,7.796484422884301,7.9301571528508195,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,4th Quintile,342,7.784264396435473,7.677722681948004,7.890806110922942,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,5th Quintile,129,8.185594680365135,8.03689118800235,8.33429817272792,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0
1985,1st Quintile,2974,7.390286294933113,7.352040856568689,7.428531733297537,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,2nd Quintile,1903,7.514998019766549,7.469546870165742,7.560449169367355,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,3rd Quintile,940,7.6369308584982125,7.5735982513389635,7.700263465657462,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1985,4th Quintile,302,7.710440460304719,7.59188171958698,7.828999201022458,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1985,5th Quintile,114,8.249390017905945,8.093546031768598,8.405234004043292,7.0,8.0,10.0,3.0,10.0,8.0,7.0,8.0
1986,1st Quintile,2699,7.292943265018271,7.253688248851589,7.332198281184953,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,2nd Quintile,1908,7.4062866854429075,7.361363253773203,7.451210117112612,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,3rd Quintile,1005,7.5959478586025835,7.535342861656416,7.6565528555487505,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1986,4th Quintile,357,7.414139496331768,7.313892525323976,7.51438646733956,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1986,5th Quintile,106,7.926105750590099,7.769665208001981,8.082546293178218,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1987,1st Quintile,2340,7.30669179691722,7.264212495540422,7.349171098294018,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,2nd Quintile,1943,7.3575767396043785,7.313256530793472,7.401896948415285,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,3rd Quintile,1193,7.528527105087713,7.4760763500391505,7.580977860136276,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1987,4th Quintile,419,7.535612714019902,7.447292256347656,7.623933171692149,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1987,5th Quintile,165,7.917559150023599,7.775183383104311,8.059934916942886,7.0,8.0,9.779434085480625,2.830848871779062,10.0,8.0,7.0,8.0
1988,1st Quintile,2033,7.133636356121615,7.087257636624289,7.1800150756189405,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1988,2nd Quintile,1902,7.191709607684999,7.146561496450134,7.236857718919864,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.024999999999999
1988,3rd Quintile,1148,7.341768587050254,7.285501804352572,7.3980353697479355,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,4th Quintile,497,7.471171888045535,7.38764415180864,7.55469962428243,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,5th Quintile,173,7.592495902270531,7.447650655877115,7.737341148663947,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1989,1st Quintile,1773,7.054141996607752,7.0048815434149105,7.103402449800594,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0
1989,2nd Quintile,1845,7.247181080799106,7.202853605827465,7.291508555770748,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1989,3rd Quintile,1273,7.310864494347874,7.259647258481974,7.362081730213775,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1989,4th Quintile,551,7.512591894423157,7.441359096810576,7.583824692035739,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1989,5th Quintile,200,7.711790910336439,7.586529711443479,7.837052109229399,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1990,1st Quintile,1600,7.052084522006919,7.00130677271651,7.102862271297329,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0
1990,2nd Quintile,1768,7.1720632387581436,7.125834737725319,7.218291739790968,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1990,3rd Quintile,1311,7.314616488306318,7.26347610580399,7.365756870808646,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1990,4th Quintile,687,7.341891789949265,7.273883997452471,7.409899582446058,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1990,5th Quintile,260,7.744451843125328,7.640054900270232,7.848848785980425,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1991,1st Quintile,1333,7.161200383300958,7.10755087747563,7.214849889126286,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1991,2nd Quintile,1641,7.214386857104199,7.168263074529735,7.260510639678664,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1991,3rd Quintile,1425,7.098118266503387,7.047396808113828,7.148839724892945,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1991,4th Quintile,967,7.198671282528637,7.1394219224973785,7.257920642559895,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
1991,5th Quintile,349,7.513144807525212,7.42091789776479,7.605371717285633,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1992,1st Quintile,2345,6.9176435132900504,6.8751519881532905,6.96013503842681,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1992,2nd Quintile,2300,7.20536972402918,7.165138153458538,7.245601294599822,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1992,3rd Quintile,1635,7.409177135082169,7.3660872491632166,7.452267021001122,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1992,4th Quintile,1246,7.4793053960505675,7.430516628782475,7.52809416331866,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1992,5th Quintile,435,7.825628704517125,7.7561962472748265,7.895061161759423,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1993,1st Quintile,1628,6.682169528665077,6.627101426272658,6.737237631057496,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,2nd Quintile,2262,6.999488375774784,6.9577939101638595,7.041182841385709,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1993,3rd Quintile,1897,7.128451321727742,7.0868983781992565,7.170004265256228,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1993,4th Quintile,1356,7.205042694322282,7.1565821576349204,7.253503231009644,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1993,5th Quintile,564,7.368397374345409,7.2905279458323,7.446266802858518,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1994,1st Quintile,1175,6.656304046419092,6.593348705467737,6.719259387370447,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1994,2nd Quintile,2069,6.9039653721854,6.859091405158298,6.948839339212502,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1994,3rd Quintile,1974,7.043721483001234,6.999771084645655,7.087671881356814,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1994,4th Quintile,1535,7.0459952204229825,6.9985060881324905,7.0934843527134746,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1994,5th Quintile,709,7.021932688681019,6.95152904188513,7.092336335476909,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1995,1st Quintile,1433,6.4159664281089865,6.351342766580834,6.480590089637139,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,2nd Quintile,2201,6.696737293900726,6.6495666416543235,6.743907946147128,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,3rd Quintile,2216,6.8711449204724575,6.828399608221049,6.913890232723866,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1995,4th Quintile,1566,7.076753619328184,7.028834205378929,7.12467303327744,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1995,5th Quintile,776,7.2573428657355095,7.193233322059172,7.3214524094118465,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
1996,1st Quintile,1284,6.461104456587128,6.393501287390952,6.528707625783304,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,2nd Quintile,2178,6.736847108299026,6.693369980435405,6.780324236162646,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,3rd Quintile,2046,6.733787206295233,6.689023982052401,6.778550430538065,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,4th Quintile,1711,7.089459054021438,7.043638949998924,7.135279158043952,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1996,5th Quintile,802,7.171287414069615,7.1051310831125,7.237443745026729,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1997,1st Quintile,985,6.321180414773307,6.243429592510839,6.398931237035775,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995
1997,2nd Quintile,1991,6.677009517382203,6.630044056203786,6.723974978560619,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1997,3rd Quintile,2202,6.816559640360313,6.774150112898096,6.85896916782253,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1997,4th Quintile,1725,7.013052218942688,6.968305572159419,7.057798865725957,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1997,5th Quintile,852,7.179848172117678,7.119823805656867,7.2398725385784894,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1998,1st Quintile,883,6.3486242738519625,6.266655916402995,6.43059263130093,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,2nd Quintile,1826,6.617315826261621,6.56884545619925,6.665786196323992,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,3rd Quintile,2075,6.808439415259452,6.7646926824826386,6.852186148036265,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,4th Quintile,1685,6.9535295913794695,6.906894074516669,7.00016510824227,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1998,5th Quintile,916,7.266828201830469,7.209216098241275,7.324440305419663,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0
1999,1st Quintile,939,6.412410358665638,6.331595573707394,6.493225143623882,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,2nd Quintile,2049,6.676104093730569,6.628450061302824,6.723758126158313,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,3rd Quintile,2188,6.83692413687849,6.794040312088335,6.879807961668645,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,4th Quintile,1964,6.979074454771862,6.934870010529111,7.023278899014612,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1999,5th Quintile,1140,7.184462880490097,7.130309516636849,7.238616244343344,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2000,1st Quintile,666,6.459718892483568,6.359868952300225,6.55956883266691,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
