year,quintil_oecd,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,male,2335,7.675560563081663,7.631671419822592,7.719449706340734,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,1st Quintile,female,1183,7.421290966208268,7.353983138572711,7.488598793843825,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0
1984,2nd Quintile,male,1211,7.666563397635094,7.60909562469882,7.724031170571368,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1984,2nd Quintile,female,827,7.802688830103252,7.728687075837116,7.8766905843693875,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,3rd Quintile,male,525,7.838769995551744,7.752976750012104,7.924563241091384,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0
1984,3rd Quintile,female,355,7.899082932190825,7.792584251727381,8.00558161265427,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0
1984,4th Quintile,male,197,7.737100511326306,7.605887981926129,7.868313040726482,6.002981580412936,8.0,9.0,1.507453951032339,10.0,8.0,8.0,8.0
1984,4th Quintile,female,145,7.846931793517503,7.670228837023776,8.02363475001123,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0
1984,5th Quintile,male,84,8.160538245475465,7.966890000324082,8.354186490626846,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0
1984,5th Quintile,female,45,8.233205829553507,8.00790308204074,8.458508577066274,7.0,8.284384821660277,10.0,5.0,10.0,8.0,7.0,8.0
1985,1st Quintile,male,1934,7.4712977453343346,7.42508201630163,7.517513474367039,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,1st Quintile,female,1040,7.257031044025308,7.189912795336664,7.324149292713953,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1985,2nd Quintile,male,1151,7.472595561246276,7.415132698906138,7.530058423586414,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,2nd Quintile,female,752,7.58126531450424,7.507166873258848,7.655363755749631,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,3rd Quintile,male,534,7.657970940801877,7.576830476556515,7.739111405047239,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1985,3rd Quintile,female,406,7.609722781146084,7.509250509212268,7.710195053079901,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,4th Quintile,male,179,7.669653558602155,7.5135732414088325,7.8257338757954775,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1985,4th Quintile,female,123,7.771126060813256,7.589281143740449,7.952970977886064,7.0,8.0,9.641303632290288,3.0380445515645675,10.0,8.0,7.0,8.0
1985,5th Quintile,male,72,8.03457229248085,7.833427206387045,8.235717378574654,7.0,8.0,10.0,3.0,10.0,8.0,7.0,8.0
1985,5th Quintile,female,42,8.621002152660383,8.385851204601828,8.856153100718938,8.0,9.0,10.0,5.0,10.0,9.0,8.0,10.0
1986,1st Quintile,male,1747,7.381598422262122,7.333797892356777,7.429398952167467,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,1st Quintile,female,952,7.144437807155799,7.07639524672372,7.212480367587878,5.052435158767828,7.635753477056739,9.0,0.0,10.0,8.0,8.0,9.0
1986,2nd Quintile,male,1167,7.419974081179573,7.363240916446749,7.476707245912397,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0
1986,2nd Quintile,female,741,7.38472767902508,7.311269067776801,7.4581862902733596,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
