year,age_gr,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,West,,,,,,,,,,,,
1984,17-29 y.,West,1853,6.50405073526326,6.388274568049786,6.619826902476735,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1984,30-45 y.,West,2641,6.813013821771216,6.722309965185379,6.9037176783570535,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1984,46-65 y.,West,2339,7.269910472035875,7.175983581593789,7.363837362477961,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,66 and older,West,953,7.210870276494356,7.055911272303127,7.365829280685586,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0
1985,0-16 y.,West,,,,,,,,,,,,
1985,17-29 y.,West,1482,6.6173528229094485,6.49817073203613,6.736534913782767,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1985,30-45 y.,West,2146,6.705243893524301,6.610467879600754,6.800019907447848,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1985,46-65 y.,West,1987,7.2773318109479606,7.180860233422543,7.3738033884733785,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1985,66 and older,West,777,7.138078565868541,6.982287589333513,7.293869542403568,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1986,0-16 y.,West,,,,,,,,,,,,
1986,17-29 y.,West,1531,6.512810481840792,6.4027484784131214,6.622872485268463,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1986,30-45 y.,West,2109,6.490172120891139,6.395152460326332,6.585191781455946,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1986,46-65 y.,West,1970,7.134835181705559,7.040988375240183,7.228681988170934,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1986,66 and older,West,741,7.403287455224639,7.250438125877308,7.5561367845719705,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,0-16 y.,West,,,,,,,,,,,,
1987,17-29 y.,West,1510,6.709194441062152,6.607500299326895,6.81088858279741,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,30-45 y.,West,2047,6.544392284811012,6.453576134907323,6.635208434714702,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,46-65 y.,West,1988,7.200560299141545,7.108736817108845,7.2923837811742445,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1987,66 and older,West,780,7.35482047553869,7.205388938963376,7.504252012114005,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,0-16 y.,West,,,,,,,,,,,,
1988,17-29 y.,West,1472,6.609373230539448,6.502830035282923,6.715916425795973,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1988,30-45 y.,West,1906,6.484681556562307,6.387215976080057,6.582147137044556,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1988,46-65 y.,West,1942,7.017177827006558,6.927465127629069,7.1068905263840465,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1988,66 and older,West,762,7.041156869953639,6.877058295408809,7.205255444498468,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1989,0-16 y.,West,,,,,,,,,,,,
1989,17-29 y.,West,1471,6.437169289246363,6.330598420496401,6.543740157996324,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1989,30-45 y.,West,1901,6.409071885891701,6.314389418288896,6.503754353494506,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1989,46-65 y.,West,1907,6.918414844969986,6.823438513678249,7.013391176261723,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1989,66 and older,West,754,7.088945017120043,6.933979638603408,7.243910395636678,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1990,0-16 y.,West,,,,,,,,,,,,
1990,0-16 y.,East,,,,,,,,,,,,
1990,17-29 y.,West,1589,6.62641403721433,6.52300659970425,6.729821474724409,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1990,17-29 y.,East,,,,,,,,,,,,
1990,30-45 y.,West,1956,6.421299190221899,6.330445718631778,6.51215266181202,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1990,30-45 y.,East,,,,,,,,,,,,
1990,46-65 y.,West,1988,6.775695309881705,6.683383521696369,6.868007098067041,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1990,46-65 y.,East,,,,,,,,,,,,
1990,66 and older,West,823,6.997669581658494,6.84695585399575,7.148383309321238,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
1990,66 and older,East,,,,,,,,,,,,
1991,0-16 y.,West,,,,,,,,,,,,
1991,0-16 y.,East,,,,,,,,,,,,
1991,17-29 y.,West,,,,,,,,,,,,
1991,17-29 y.,East,,,,,,,,,,,,
1991,30-45 y.,West,,,,,,,,,,,,
1991,30-45 y.,East,,,,,,,,,,,,
1991,46-65 y.,West,,,,,,,,,,,,
1991,46-65 y.,East,,,,,,,,,,,,
1991,66 and older,West,,,,,,,,,,,,
1991,66 and older,East,,,,,,,,,,,,
1992,0-16 y.,West,,,,,,,,,,,,
1992,0-16 y.,East,,,,,,,,,,,,
1992,17-29 y.,West,,,,,,,,,,,,
1992,17-29 y.,East,,,,,,,,,,,,
1992,30-45 y.,West,,,,,,,,,,,,
1992,30-45 y.,East,,,,,,,,,,,,
1992,46-65 y.,West,,,,,,,,,,,,
1992,46-65 y.,East,,,,,,,,,,,,
1992,66 and older,West,,,,,,,,,,,,
1992,66 and older,East,,,,,,,,,,,,
1993,0-16 y.,West,,,,,,,,,,,,
1993,0-16 y.,East,,,,,,,,,,,,
1993,17-29 y.,West,1587,6.6585482794107245,6.554833832709811,6.762262726111638,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,17-29 y.,East,442,6.627118090558927,6.428335959128261,6.825900221989593,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1993,30-45 y.,West,2021,6.3506556492755255,6.263216109138768,6.438095189412283,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1993,30-45 y.,East,791,6.212072912038912,6.072527419670018,6.351618404407806,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1993,46-65 y.,West,1904,6.592104382843782,6.499363471915245,6.6848452937723195,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,46-65 y.,East,734,6.302951310154509,6.1457043857203715,6.460198234588647,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1993,66 and older,West,799,6.593377924632107,6.431213992840091,6.755541856424124,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,66 and older,East,300,6.170285900005203,5.89736184330952,6.443209956700885,5.0,6.0,8.0,0.5,10.0,6.0,5.0,7.0
1994,0-16 y.,West,,,,,,,,,,,,
1994,0-16 y.,East,,,,,,,,,,,,
1994,17-29 y.,West,1545,6.5506380970945015,6.440836609823321,6.660439584365682,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
