"year","alter_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.12","6","4454","6.04","6.2"
"1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.57","7","6316","6.51","6.63"
"1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","66 und älter","Westdeutschland, alte Bundeslaender","6.85","7","1272","6.71","6.99"
"1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.25","7","4016","6.17","6.33"
"1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.49","7","5748","6.43","6.55"
"1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","66 und älter","Westdeutschland, alte Bundeslaender","6.93","7","1107","6.79","7.07"
"1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.29","7","3997","6.22","6.36"
"1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.57","7","5472","6.51","6.63"
"1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","66 und älter","Westdeutschland, alte Bundeslaender","7.04","7","1038","6.9","7.18"
"1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.3","7","3952","6.23","6.37"
"1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.54","7","5366","6.48","6.6"
"1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","66 und älter","Westdeutschland, alte Bundeslaender","7.12","7","1081","6.99","7.25"
"1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.34","7","3757","6.27","6.41"
"1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.54","7","5097","6.48","6.6"
"1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","66 und älter","Westdeutschland, alte Bundeslaender","7","7","1051","6.86","7.14"
"1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.39","7","3694","6.32","6.46"
"1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.57","7","4882","6.51","6.63"
"1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","66 und älter","Westdeutschland, alte Bundeslaender","7.06","7","1024","6.92","7.2"
"1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.3","5","1652","5.18","5.42"
"1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.41","7","3594","6.34","6.48"
"1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.74","6","2301","5.64","5.84"
"1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.67","7","4777","6.61","6.73"
"1990","66 und älter","Ostdeutschland, neue Bundeslaender","5.26","5","432","5","5.52"
"1990","66 und älter","Westdeutschland, alte Bundeslaender","7.15","8","1055","7.02","7.28"
"1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","4.58","5","1488","4.46","4.7"
"1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.63","7","3576","6.56","6.7"
"1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","4.66","5","2230","4.56","4.76"
"1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.88","7","4758","6.82","6.94"
"1991","66 und älter","Ostdeutschland, neue Bundeslaender","5.42","5","407","5.19","5.65"
"1991","66 und älter","Westdeutschland, alte Bundeslaender","7.32","8","1071","7.2","7.44"
"1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","4.85","5","1364","4.73","4.97"
"1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.52","7","3535","6.45","6.59"
"1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","4.78","5","2187","4.69","4.87"
"1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.74","7","4701","6.68","6.8"
"1992","66 und älter","Ostdeutschland, neue Bundeslaender","5.35","5","394","5.14","5.56"
"1992","66 und älter","Westdeutschland, alte Bundeslaender","6.92","7","1076","6.79","7.05"
"1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.22","5","1258","5.09","5.35"
"1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.25","7","3413","6.18","6.32"
"1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.25","5","2096","5.15","5.35"
"1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.62","7","4597","6.56","6.68"
"1993","66 und älter","Ostdeutschland, neue Bundeslaender","5.81","6","390","5.59","6.03"
"1993","66 und älter","Westdeutschland, alte Bundeslaender","6.92","7","1077","6.79","7.05"
"1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.1","5","1208","4.97","5.23"
"1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.07","6","3390","5.99","6.15"
"1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.26","5","2093","5.16","5.36"
"1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.4","7","4446","6.33","6.47"
"1994","66 und älter","Ostdeutschland, neue Bundeslaender","6.6","7","402","6.38","6.82"
"1994","66 und älter","Westdeutschland, alte Bundeslaender","6.92","7","1093","6.79","7.05"
"1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.2","5","1155","5.07","5.33"
"1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.06","6","3584","5.99","6.13"
"1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.46","6","2049","5.37","5.55"
"1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.4","7","4739","6.34","6.46"
"1995","66 und älter","Ostdeutschland, neue Bundeslaender","6.55","7","408","6.34","6.76"
"1995","66 und älter","Westdeutschland, alte Bundeslaender","7.14","7","1123","7.02","7.26"
"1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.29","5","1129","5.15","5.43"
"1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.12","7","3459","6.05","6.19"
"1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.5","5","2067","5.41","5.59"
"1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.45","7","4643","6.39","6.51"
"1996","66 und älter","Ostdeutschland, neue Bundeslaender","6.69","7","421","6.49","6.89"
"1996","66 und älter","Westdeutschland, alte Bundeslaender","7.01","7","1138","6.88","7.14"
"1997","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.06","5","1084","4.92","5.2"
"1997","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.04","6","3342","5.97","6.11"
"1997","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.2","5","2029","5.11","5.29"
"1997","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.2","7","4576","6.14","6.26"
"1997","66 und älter","Ostdeutschland, neue Bundeslaender","6.4","7","438","6.21","6.59"
"1997","66 und älter","Westdeutschland, alte Bundeslaender","6.83","7","1148","6.71","6.95"
"1998","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.2","5","1119","5.07","5.33"
"1998","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.06","6","3525","5.99","6.13"
"1998","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.29","5","2171","5.2","5.38"
"1998","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.34","7","5297","6.28","6.4"
"1998","66 und älter","Ostdeutschland, neue Bundeslaender","6.63","7","475","6.45","6.81"
"1998","66 und älter","Westdeutschland, alte Bundeslaender","6.96","7","1378","6.85","7.07"
"1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.29","5","1093","5.15","5.43"
"1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.14","6","3302","6.06","6.22"
"1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.38","5","2119","5.29","5.47"
"1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.41","7","5134","6.35","6.47"
"1999","66 und älter","Ostdeutschland, neue Bundeslaender","6.64","7","490","6.46","6.82"
"1999","66 und älter","Westdeutschland, alte Bundeslaender","6.98","7","1316","6.86","7.1"
"2000","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.48","6","1578","5.36","5.6"
