year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,5.544251613847454,5.4845754909235405,5.583954783009541,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,20808.0
2005,5.536284187245939,5.478255638749639,5.5809564431542285,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,19947.0
2006,5.533887356372268,5.491383468816262,5.5804649564264865,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,21294.0
2007,5.509727464911133,5.4631572709029905,5.558277444794495,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,19915.0
2008,5.586705346965985,5.543268379412051,5.631677626024161,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,18773.0
2009,5.636771188488036,5.5811753156177,5.698506490653728,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,17617.0
2010,5.7598621162742125,5.706007115011736,5.813950322336314,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,23407.0
2011,5.94091737626488,5.8960618106366525,5.990178151385803,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,24879.0
2012,6.041490981183038,6.0016299850752235,6.086363812869337,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,25525.0
2013,6.167025610257686,6.12333400988715,6.207126690624266,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,24721.0
2014,6.1541781494404955,6.102422681838386,6.194419467443668,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,26113.0
2015,6.299344024694366,6.253469604900691,6.344809050565688,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,25833.0
2016,6.399142668490738,6.345728267235337,6.452122227380187,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,23847.0
2017,6.425976729770523,6.3812601293078535,6.479001379952767,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,27929.0
2018,6.404275359243936,6.360915906454626,6.444772349158177,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,28117.0
2019,6.619899139067066,6.574556067584028,6.665399944229565,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,28210.0
2020,6.583378743847695,6.527784468363802,6.631607662785365,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,28114.0
2021,6.846565426765048,6.785787154298664,6.898340425830873,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,18980.0
