"year","age_gr","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2004","17-34","maennlich","","","","","","","","","","","","","",""
"2004","17-34","weiblich","","","","","","","","","","","","","",""
"2004","35-65","maennlich","5.76","5.5","5942","2","4","8","9","10","5.7","5.82","0","10","7","7"
"2004","35-65","weiblich","5.24","4.5","5909","1","3","7","8","10","5.17","5.31","0","10","6","6"
"2004","66 +","maennlich","","","","","","","","","","","","","",""
"2004","66 +","weiblich","","","","","","","","","","","","","",""
"2005","17-34","maennlich","","","","","","","","","","","","","",""
"2005","17-34","weiblich","","","","","","","","","","","","","",""
"2005","35-65","maennlich","5.79","5.5","5595","2","4","8","9","10","5.72","5.86","0","10","6","7"
"2005","35-65","weiblich","5.22","4.5","5685","1","3","7","8","10","5.15","5.29","0","10","6","6"
"2005","66 +","maennlich","","","","","","","","","","","","","",""
"2005","66 +","weiblich","","","","","","","","","","","","","",""
"2006","17-34","maennlich","","","","","","","","","","","","","",""
"2006","17-34","weiblich","","","","","","","","","","","","","",""
"2006","35-65","maennlich","5.75","5.5","5939","2","4","8","9","10","5.69","5.81","0","10","6","7"
"2006","35-65","weiblich","5.24","4.5","6129","1","3","7","9","10","5.17","5.31","0","10","6","6"
"2006","66 +","maennlich","","","","","","","","","","","","","",""
"2006","66 +","weiblich","","","","","","","","","","","","","",""
"2007","17-34","maennlich","","","","","","","","","","","","","",""
"2007","17-34","weiblich","","","","","","","","","","","","","",""
"2007","35-65","maennlich","5.73","5.5","5480","2","4","8","8","10","5.67","5.79","0","10","6","7"
"2007","35-65","weiblich","5.12","4.5","5713","1","3","7","8","10","5.05","5.19","0","10","5","6"
"2007","66 +","maennlich","","","","","","","","","","","","","",""
"2007","66 +","weiblich","","","","","","","","","","","","","",""
"2008","17-34","maennlich","","","","","","","","","","","","","",""
"2008","17-34","weiblich","","","","","","","","","","","","","",""
"2008","35-65","maennlich","5.81","5.5","5086","2","4","8","8","10","5.74","5.88","0","10","6","7"
"2008","35-65","weiblich","5.26","4.5","5335","1","3","7","8","10","5.19","5.33","0","10","6","6"
"2008","66 +","maennlich","","","","","","","","","","","","","",""
"2008","66 +","weiblich","","","","","","","","","","","","","",""
"2009","17-34","maennlich","","","","","","","","","","","","","",""
"2009","17-34","weiblich","","","","","","","","","","","","","",""
"2009","35-65","maennlich","5.86","5.5","4699","2","4","8","9","10","5.79","5.93","0","10","7","7"
"2009","35-65","weiblich","5.3","5.5","4990","1","3","7","8","10","5.23","5.37","0","10","6","6"
"2009","66 +","maennlich","","","","","","","","","","","","","",""
"2009","66 +","weiblich","","","","","","","","","","","","","",""
"2010","17-34","maennlich","","","","","","","","","","","","","",""
"2010","17-34","weiblich","5.44","5.5","3637","2","3","8","9","10","5.35","5.53","0","10","5","5"
"2010","35-65","maennlich","5.93","6.5","6197","2","4","8","9","10","5.87","5.99","0","10","7","7"
"2010","35-65","weiblich","5.43","5.5","6925","1","4","8","9","10","5.36","5.5","0","10","6","6"
"2010","66 +","maennlich","","","","","","","","","","","","","",""
"2010","66 +","weiblich","","","","","","","","","","","","","",""
"2011","17-34","maennlich","","","","","","","","","","","","","",""
"2011","17-34","weiblich","5.59","5.5","3369","2","4","8","9","10","5.5","5.68","0","10","5","6"
"2011","35-65","maennlich","6.15","6.5","6804","2","5","8","9","10","6.09","6.21","0","10","7","7"
"2011","35-65","weiblich","5.68","5.5","7745","2","4","8","9","10","5.62","5.74","0","10","6","6"
"2011","66 +","maennlich","","","","","","","","","","","","","",""
"2011","66 +","weiblich","","","","","","","","","","","","","",""
"2012","17-34","maennlich","","","","","","","","","","","","","",""
"2012","17-34","weiblich","5.69","5.5","3164","2","4","8","9","10","5.59","5.79","0","10","6","6"
"2012","35-65","maennlich","6.21","6.5","6929","3","5","8","9","10","6.15","6.27","0","10","7","7"
"2012","35-65","weiblich","5.83","5.5","8069","2","4","8","9","10","5.77","5.89","0","10","6","6"
"2012","66 +","maennlich","","","","","","","","","","","","","",""
"2012","66 +","weiblich","","","","","","","","","","","","","",""
"2013","17-34","maennlich","","","","","","","","","","","","","",""
"2013","17-34","weiblich","","","","","","","","","","","","","",""
"2013","35-65","maennlich","6.36","6.5","6668","3","5","8","9","10","6.3","6.42","0","10","7","7"
"2013","35-65","weiblich","5.94","5.5","7900","2","4","8","9","10","5.88","6","0","10","6","6"
"2013","66 +","maennlich","","","","","","","","","","","","","",""
"2013","66 +","weiblich","","","","","","","","","","","","","",""
"2014","17-34","maennlich","","","","","","","","","","","","","",""
"2014","17-34","weiblich","5.64","5.5","3270","2","4","8","9","10","5.55","5.73","0","10","6","6"
"2014","35-65","maennlich","6.35","6.5","7011","3","5","8","9","10","6.29","6.41","0","10","7","7"
"2014","35-65","weiblich","5.93","5.5","8154","2","4","8","9","10","5.87","5.99","0","10","6","6"
"2014","66 +","maennlich","","","","","","","","","","","","","",""
"2014","66 +","weiblich","","","","","","","","","","","","","",""
"2015","17-34","maennlich","","","","","","","","","","","","","",""
"2015","17-34","weiblich","5.87","5.5","3283","2","4","8","9","10","5.78","5.96","0","10","6","6"
"2015","35-65","maennlich","6.42","6.5","6844","3","5","8","9","10","6.36","6.48","0","10","7","7"
"2015","35-65","weiblich","6.07","6.5","7993","2","5","8","9","10","6.01","6.13","0","10","6","7"
"2015","66 +","maennlich","","","","","","","","","","","","","",""
"2015","66 +","weiblich","","","","","","","","","","","","","",""
"2016","17-34","maennlich","","","","","","","","","","","","","",""
"2016","17-34","weiblich","","","","","","","","","","","","","",""
"2016","35-65","maennlich","6.52","6.5","6303","3","5","8","9","10","6.46","6.58","0","10","7","7"
"2016","35-65","weiblich","6.22","6.5","7471","2","5","8","9","10","6.16","6.28","0","10","7","7"
"2016","66 +","maennlich","","","","","","","","","","","","","",""
"2016","66 +","weiblich","","","","","","","","","","","","","",""
"2017","17-34","maennlich","6.14","6.5","3417","2","5","8","9","10","6.05","6.23","0","10","6","7"
"2017","17-34","weiblich","6.13","6.5","3406","2","5","8","9","10","6.04","6.22","0","10","6","7"
"2017","35-65","maennlich","6.55","6.5","7599","3","5","8","9","10","6.5","6.6","0","10","7","7"
"2017","35-65","weiblich","6.26","6.5","8583","3","5","8","9","10","6.21","6.31","0","10","7","7"
"2017","66 +","maennlich","","","","","","","","","","","","","",""
"2017","66 +","weiblich","","","","","","","","","","","","","",""
"2018","17-34","maennlich","6.21","6.5","3606","3","5","8","9","10","6.13","6.29","0","10","6","7"
"2018","17-34","weiblich","5.9","5.5","3585","2","4","8","9","10","5.81","5.99","0","10","6","6"
"2018","35-65","maennlich","6.62","6.5","7472","3","5","8","9","10","6.57","6.67","0","10","7","7"
"2018","35-65","weiblich","6.19","6.5","8476","3","5","8","9","10","6.14","6.24","0","10","6","7"
"2018","66 +","maennlich","","","","","","","","","","","","","",""
"2018","66 +","weiblich","","","","","","","","","","","","","",""
"2019","17-34","maennlich","6.51","6.5","3285","3","5","8","9","10","6.43","6.59","0","10","7","7"
"2019","17-34","weiblich","6.26","6.5","3260","3","5","8","9","10","6.17","6.35","0","10","6","7"
"2019","35-65","maennlich","6.79","6.5","8089","4","6","8","9","10","6.74","6.84","0","10","7","7"
"2019","35-65","weiblich","6.4","6.5","8462","3","5","8","9","10","6.35","6.45","0","10","7","7"
"2019","66 +","maennlich","","","","","","","","","","","","","",""
"2019","66 +","weiblich","","","","","","","","","","","","","",""
"2020","17-34","maennlich","6.4","6.5","3918","3","5","8","9","10","6.32","6.48","0","10","7","7"
"2020","17-34","weiblich","6.13","6.5","3465","2","5","8","9","10","6.04","6.22","0","10","7","7"
"2020","35-65","maennlich","6.76","6.5","7779","3","6","8","9","10","6.71","6.81","0","10","7","7"
"2020","35-65","weiblich","6.34","6.5","8134","3","5","8","9","10","6.29","6.39","0","10","7","7"
"2020","66 +","maennlich","","","","","","","","","","","","","",""
"2020","66 +","weiblich","","","","","","","","","","","","","",""
