"year","bula_h","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1985","Baden-Wuerttemberg","Laendlicher Raum","8.12","7.5","295","5","7","10","10","10","7.89","8.35","0","10","8","8"
"1985","Baden-Wuerttemberg","Staedtischer Raum","7.72","7.5","1732","5","7","10","10","10","7.61","7.83","0","10","8","8"
"1985","Bayern","Laendlicher Raum","7.89","7.5","913","5","7","10","10","10","7.74","8.04","0","10","8","8"
"1985","Bayern","Staedtischer Raum","7.5","7.5","967","4","6","9","10","10","7.35","7.65","0","10","8","8"
"1985","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Bremen","Staedtischer Raum","7.88","8.5","115","4","7","10","10","10","7.44","8.32","0","10","8","9"
"1985","Hamburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Hamburg","Staedtischer Raum","7.38","7.5","273","5","6","9","10","10","7.07","7.69","0","10","7","8"
"1985","Hessen","Laendlicher Raum","7.85","7.5","153","5","7","10","10","10","7.45","8.25","0","10","8","9"
"1985","Hessen","Staedtischer Raum","7.69","7.5","957","5","7","10","10","10","7.52","7.86","0","10","8","8"
"1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Niedersachsen","Laendlicher Raum","8.3","8.5","588","5","8","10","10","10","8.13","8.47","0","10","8","9"
"1985","Niedersachsen","Staedtischer Raum","7.96","7.5","506","5","7","10","10","10","7.78","8.14","1","10","8","8"
"1985","Nordrhein-Westfalen","Laendlicher Raum","8.33","7.5","73","5","7","10","10","10","7.9","8.76","3","10","8","10"
"1985","Nordrhein-Westfalen","Staedtischer Raum","7.83","7.5","2856","5","7","10","10","10","7.74","7.92","0","10","8","8"
"1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","8.02","7.5","140","5","7","9","10","10","7.74","8.3","3","10","8","9"
"1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","8.22","8.5","630","5","7","10","10","10","8.05","8.39","0","10","8","9"
"1985","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","Laendlicher Raum","8.61","8.5","184","7","8","10","10","10","8.36","8.86","0","10","9","10"
"1985","Schleswig-Holstein","Staedtischer Raum","7.84","7.5","165","4","6","10","10","10","7.47","8.21","0","10","8","9"
"1985","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Baden-Wuerttemberg","Laendlicher Raum","7.81","7.5","301","5","7","9","10","10","7.57","8.05","0","10","8","8"
"1986","Baden-Wuerttemberg","Staedtischer Raum","7.73","7.5","1673","5","7","9","10","10","7.62","7.84","0","10","8","8"
"1986","Bayern","Laendlicher Raum","7.63","7.5","844","5","7","9","10","10","7.48","7.78","0","10","8","8"
"1986","Bayern","Staedtischer Raum","7.56","7.5","919","5","6","9","10","10","7.41","7.71","0","10","8","8"
"1986","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Bremen","Staedtischer Raum","7.85","8.5","109","4","5","10","10","10","7.31","8.39","0","10","8","10"
"1986","Hamburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Hamburg","Staedtischer Raum","7.38","7.5","249","4","6","9","10","10","7.07","7.69","0","10","7","8"
"1986","Hessen","Laendlicher Raum","7.92","7.5","142","5","7","10","10","10","7.53","8.31","0","10","7","8"
