year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,1st Quintile,1428,7.70589,7.58225,7.82954,7.00000,8.00000,10.00000,2.50000,10,,,
1984,No migration background,2nd Quintile,1586,7.89139,7.77722,8.00557,7.00000,8.00000,10.00000,2.50000,10,,,
1984,No migration background,3rd Quintile,1721,7.88539,7.77955,7.99123,7.00000,8.00000,10.00000,2.50000,10,,,
1984,No migration background,4th Quintile,1849,8.08537,7.98671,8.18404,7.00000,9.00000,10.00000,2.50000,10,,,
1984,No migration background,5th Quintile,2005,8.37918,8.29210,8.46625,8.00000,9.00000,10.00000,5.00000,10,,,
1984,Direct migration background,1st Quintile,1010,6.30424,6.11768,6.49080,4.00000,7.00000,9.00000,0,10,,,
1984,Direct migration background,2nd Quintile,764,7.16057,6.95014,7.37100,5.00000,8.00000,10.00000,0,10,,,
1984,Direct migration background,3rd Quintile,601,7.28530,7.07522,7.49538,5.00000,8.00000,10.00000,0,10,,,
1984,Direct migration background,4th Quintile,588,7.27209,7.05568,7.48850,6.00000,8.00000,10.00000,0.00000,10,,,
1984,Direct migration background,5th Quintile,386,7.90599,7.66898,8.14301,7.00000,8.00000,10.00000,2.50000,10,,,
1984,Indirect migration background,1st Quintile,,,,,,,,,,,,
1984,Indirect migration background,2nd Quintile,32,7.77506,7.07143,8.47868,7.00000,8.00000,9.00000,4.00000,10,,,
1984,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1984,Indirect migration background,4th Quintile,32,8.13547,7.59970,8.67125,7.00000,8.00000,10.00000,4,10,,,
1984,Indirect migration background,5th Quintile,,,,,,,,,,,,
1985,No migration background,1st Quintile,1295,7.45886,7.32798,7.58974,6.00000,8.00000,10.00000,0.00000,10,,,
1985,No migration background,2nd Quintile,1457,7.77779,7.66840,7.88718,7.00000,8.00000,10.00000,2.50000,10,,,
1985,No migration background,3rd Quintile,1606,7.91801,7.81707,8.01896,7.00000,8.00000,10.00000,2.50000,10,,,
1985,No migration background,4th Quintile,1693,8.13457,8.03843,8.23071,7.00000,9.00000,10.00000,2.50000,10,,,
1985,No migration background,5th Quintile,1844,8.24073,8.15252,8.32894,7.00000,9.00000,10.00000,2.50000,10,,,
1985,Direct migration background,1st Quintile,901,6.59405,6.40159,6.78650,5.00000,7.00000,9.00000,0,10,,,
1985,Direct migration background,2nd Quintile,640,6.89530,6.68494,7.10567,5.00000,7.00000,9.00000,0,10,,,
1985,Direct migration background,3rd Quintile,549,7.06044,6.83061,7.29026,5.00000,8.00000,9.00000,0,10,,,
1985,Direct migration background,4th Quintile,475,7.50361,7.28305,7.72418,6.00000,8.00000,9.88235,0.17647,10,,,
1985,Direct migration background,5th Quintile,308,7.66586,7.39255,7.93918,7.00000,8.00000,10.00000,2.50000,10,,,
1985,Indirect migration background,1st Quintile,36,7.23988,6.37207,8.10768,5.00000,8.00000,10.00000,0,10,,,
1985,Indirect migration background,2nd Quintile,36,7.79271,6.74765,8.83777,7.00000,10.00000,10.00000,2.50000,10,,,
1985,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1985,Indirect migration background,4th Quintile,,,,,,,,,,,,
1985,Indirect migration background,5th Quintile,,,,,,,,,,,,
1986,No migration background,1st Quintile,1215,7.43250,7.30197,7.56302,6.00000,8.00000,9.00000,1.50000,10,,,
1986,No migration background,2nd Quintile,1366,7.90782,7.79825,8.01739,7.00000,8.00000,10.00000,2.50000,10,,,
1986,No migration background,3rd Quintile,1512,7.66936,7.56114,7.77759,7.00000,8.00000,9.00000,4.00000,10,,,
1986,No migration background,4th Quintile,1681,7.98722,7.89368,8.08077,7.00000,8.00000,10.00000,2.50000,10,,,
1986,No migration background,5th Quintile,1786,8.18124,8.09378,8.26869,7.00000,9.00000,10.00000,2.50000,10,,,
1986,Direct migration background,1st Quintile,802,6.58351,6.39859,6.76844,5.00000,7.00000,8.00000,0.50000,10,,,
1986,Direct migration background,2nd Quintile,681,7.28169,7.10600,7.45737,6.00000,8.00000,9.00000,1.50000,10,,,
1986,Direct migration background,3rd Quintile,542,7.17689,6.96020,7.39358,6.00000,8.00000,9.00000,1.50000,10,,,
1986,Direct migration background,4th Quintile,497,7.24110,7.03448,7.44772,6.00000,8.00000,9.00000,1.50000,10,,,
1986,Direct migration background,5th Quintile,287,7.82498,7.56528,8.08468,7.00000,8.00000,10.00000,2.50000,10,,,
1986,Indirect migration background,1st Quintile,44,6.60657,5.49150,7.72163,4.00000,8.43744,10.00000,0,10,,,
1986,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1986,Indirect migration background,3rd Quintile,32,7.28514,6.77352,7.79676,6.00000,7.00000,8.00000,3.00000,10,,,
1986,Indirect migration background,4th Quintile,,,,,,,,,,,,
1986,Indirect migration background,5th Quintile,,,,,,,,,,,,
1987,No migration background,1st Quintile,1188,7.43354,7.29902,7.56807,6.00000,8.00000,9.00000,1.50000,10,,,
1987,No migration background,2nd Quintile,1345,7.80872,7.69373,7.92371,7.00000,8.00000,10.00000,2.50000,10,,,
1987,No migration background,3rd Quintile,1497,7.97516,7.87156,8.07876,7.00000,8.00000,10.00000,2.50000,10,,,
1987,No migration background,4th Quintile,1621,8.04292,7.95130,8.13455,7.00000,8.00000,10.00000,2.50000,10,,,
1987,No migration background,5th Quintile,1771,8.13599,8.04625,8.22572,7.00000,9.00000,10.00000,2.50000,10,,,
1987,Direct migration background,1st Quintile,67,7.47530,6.83049,8.12010,6.00000,8.00000,10.00000,0.00000,10,,,
1987,Direct migration background,2nd Quintile,90,7.82359,7.41626,8.23092,7.00000,8.00000,9.00000,4.00000,10,,,
1987,Direct migration background,3rd Quintile,92,7.92633,7.52501,8.32764,7.00000,8.00000,9.00000,4.00000,10,,,
1987,Direct migration background,4th Quintile,93,8.01269,7.63849,8.38688,7.00000,8.00000,9.64183,3.03725,10,,,
1987,Direct migration background,5th Quintile,100,8.17636,7.80274,8.54997,7.00000,9.00000,10.00000,2.50000,10,,,
1987,Indirect migration background,1st Quintile,,,,,,,,,,,,
1987,Indirect migration background,2nd Quintile,,,,,,,,,,,,
1987,Indirect migration background,3rd Quintile,,,,,,,,,,,,
1987,Indirect migration background,4th Quintile,,,,,,,,,,,,
1987,Indirect migration background,5th Quintile,,,,,,,,,,,,
1988,No migration background,1st Quintile,1122,7.41248,7.28049,7.54448,6.00000,8.00000,9.00000,1.50000,10,,,
1988,No migration background,2nd Quintile,1301,7.77220,7.66102,7.88338,7.00000,8.00000,9.00000,4.00000,10,,,
1988,No migration background,3rd Quintile,1433,7.79997,7.70110,7.89884,7.00000,8.00000,9.00000,4.00000,10,,,
1988,No migration background,4th Quintile,1523,7.86640,7.76479,7.96802,7.00000,8.00000,10.00000,2.50000,10,,,
1988,No migration background,5th Quintile,1667,8.07182,7.97919,8.16445,7.00000,8.00000,10.00000,2.50000,10,,,
1988,Direct migration background,1st Quintile,778,6.93042,6.75428,7.10657,5.00000,7.00000,9.00000,0,10,,,
1988,Direct migration background,2nd Quintile,615,6.90191,6.70937,7.09446,5.00000,7.00000,9.00000,0,10,,,
1988,Direct migration background,3rd Quintile,523,7.12259,6.92620,7.31899,6.00000,8.00000,9.00000,1.50000,10,,,
1988,Direct migration background,4th Quintile,490,7.74709,7.57328,7.92090,7.00000,8.00000,9.00000,4.00000,10,,,
1988,Direct migration background,5th Quintile,255,7.72058,7.48009,7.96106,7.00000,8.00000,9.00000,4.00000,10,,,
1988,Indirect migration background,1st Quintile,66,7.06685,6.40712,7.72657,6.00000,8.00000,9.00000,1.50000,10,,,
1988,Indirect migration background,2nd Quintile,59,7.79762,7.28816,8.30709,6.91666,8.00000,9.00000,3.79166,10,,,
1988,Indirect migration background,3rd Quintile,41,7.32296,6.57194,8.07397,6.76049,7.29301,9.17549,3.13801,10,,,
1988,Indirect migration background,4th Quintile,40,6.22645,5.35759,7.09532,5.00000,7.00000,8.00000,1,10,,,
1988,Indirect migration background,5th Quintile,,,,,,,,,,,,
1989,No migration background,1st Quintile,1067,7.37494,7.24324,7.50665,6.00000,8.00000,9.00000,1.50000,10,,,
1989,No migration background,2nd Quintile,1216,7.71148,7.59341,7.82956,7.00000,8.00000,9.00000,4.00000,10,,,
1989,No migration background,3rd Quintile,1362,7.85607,7.75076,7.96138,7.00000,8.00000,10.00000,2.50000,10,,,
1989,No migration background,4th Quintile,1524,7.88144,7.78507,7.97782,7.00000,8.00000,9.00000,4.00000,10,,,
1989,No migration background,5th Quintile,1610,8.05734,7.96620,8.14848,7.00000,8.00000,10.00000,2.50000,10,,,
1989,Direct migration background,1st Quintile,785,6.49067,6.30124,6.68011,5.00000,7.00000,8.00000,0.50000,10,,,
1989,Direct migration background,2nd Quintile,662,6.85624,6.67231,7.04018,5.00000,8.00000,9.00000,0,10,,,
1989,Direct migration background,3rd Quintile,473,7.34110,7.14937,7.53282,6.00000,8.00000,9.00000,1.50000,10,,,
1989,Direct migration background,4th Quintile,430,7.65812,7.45007,7.86616,7.00000,8.00000,9.23014,3.65478,10,,,
1989,Direct migration background,5th Quintile,222,7.41982,7.13696,7.70269,6.00000,8.00000,9.00000,1.50000,10,,,
1989,Indirect migration background,1st Quintile,69,7.40976,6.80473,8.01478,5.00000,8.00000,10.00000,0,10,,,
1989,Indirect migration background,2nd Quintile,76,7.58259,7.09750,8.06768,6.00000,8.00000,9.00000,1.50000,10,,,
