year,pgisced97,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Pre-primary Level,Urban regions,145,8.12963,7.79002,8.46924,7.00000,9.00000,10.00000,2.50000,10.00000,9.00000,8.00000,9.00000
1985,Pre-primary Level,Rural regions,34,8.67271,8.06900,9.27642,8.00000,9.00000,10.00000,5.00000,10.00000,9.00000,9.00000,10.00000
1985,Primary Level,Urban regions,721,6.47563,6.26648,6.68477,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,7.02500
1985,Primary Level,Rural regions,106,7.41686,6.91312,7.92061,6.00000,8.00000,10.00000,0.00000,10.00000,8.00000,7.00000,8.02500
1985,Lower Secondary Level,Urban regions,2270,7.84218,7.75065,7.93371,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,8.00000
1985,Lower Secondary Level,Rural regions,745,7.94360,7.78962,8.09758,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,9.00000
1985,Upper Secondary Level,Urban regions,4000,7.75684,7.68780,7.82589,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,8.00000
1985,Upper Secondary Level,Rural regions,1142,8.14048,8.02604,8.25492,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,9.00000
1985,Post-secondary Non-tertiary Level,Urban regions,226,7.23519,6.87933,7.59105,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,9.00000
1985,Post-secondary Non-tertiary Level,Rural regions,45,8.35600,7.81210,8.89989,7.00000,9.00000,10.00000,2.50000,10.00000,9.00000,8.00000,10.00000
1985,First Stage of Tertiary Education,Urban regions,479,8.01692,7.83133,8.20251,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,9.00000
1985,First Stage of Tertiary Education,Rural regions,138,8.42855,8.13863,8.71846,8.00000,9.00000,10.00000,5.00000,10.00000,9.00000,8.00000,10.00000
1985,Second Stage of Tertiary Education,Urban regions,630,7.78642,7.62414,7.94870,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
1985,Second Stage of Tertiary Education,Rural regions,122,8.35465,7.99328,8.71602,8.00000,9.00000,10.00000,5.00000,10.00000,9.00000,9.00000,9.00000
