year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,male,4088,7.5643377758500385,7.528539334637701,7.600136217062376,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0
1984,No migration background,female,4531,7.470676254952247,7.435614825141884,7.50573768476261,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0
1984,Direct migration background,male,1766,7.26006365563821,7.202895698103624,7.317231613172797,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1984,Direct migration background,female,1582,6.977145860713753,6.912378957229838,7.041912764197668,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1984,Indirect migration background,male,59,7.923806459538338,7.6820496058458465,8.16556331323083,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0
1984,Indirect migration background,female,65,6.744517984319545,6.450986687328182,7.038049281310908,5.0,7.0,9.0,0.0,10.0,7.0,6.0,9.0
1985,No migration background,male,3783,7.293502530974131,7.257625379569749,7.329379682378512,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,No migration background,female,4137,7.386574271954037,7.3512107247865455,7.421937819121528,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,Direct migration background,male,1526,7.234844405893165,7.176606452809019,7.293082358977311,5.401532815269801,8.0,9.0,0.0038320381745018395,10.0,8.0,8.0,8.024999999999999
1985,Direct migration background,female,1358,6.8917356427541066,6.823713039450529,6.959758246057684,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1985,Indirect migration background,male,62,7.621565870748839,7.369412458813562,7.873719282684116,7.0,8.0,9.0,4.0,10.0,8.0,7.0,9.0
1985,Indirect migration background,female,77,7.627572554832276,7.377036006178026,7.878109103486526,6.0,8.0,10.0,0.0,10.0,8.0,6.0,9.0
1986,No migration background,male,3633,7.251309237732727,7.214509341019989,7.288109134445465,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,No migration background,female,3938,7.2348529168932485,7.1988348358591345,7.2708709979273625,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,Direct migration background,male,1507,6.989838192942793,6.929298452938981,7.050377932946605,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1986,Direct migration background,female,1305,6.751057031811382,6.684200036515639,6.8179140271071255,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1986,Indirect migration background,male,71,6.324684893686285,6.091897538011338,6.557472249361233,5.0,6.0,8.0,0.5,10.0,6.0,5.0,7.0
1986,Indirect migration background,female,81,7.552116440433865,7.313234662828361,7.79099821803937,5.0,8.0,10.0,0.0,10.0,8.0,6.974999999999994,9.0
1987,No migration background,male,3578,7.257423890912802,7.221107417490483,7.293740364335122,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,No migration background,female,3863,7.320132118221689,7.284014449847963,7.3562497865954155,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,Direct migration background,male,1485,7.038651087465679,6.982602580068107,7.0946995948632505,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0
1987,Direct migration background,female,1299,6.901987662506065,6.837983084292447,6.965992240719683,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1987,Indirect migration background,male,81,6.33724969871496,6.061967701089898,6.612531696340021,5.0,7.0,8.0,0.5,10.0,7.0,6.0,9.0
1987,Indirect migration background,female,91,7.703507343867788,7.50370740999584,7.903307277739735,6.0,8.0,9.0,1.5,10.0,8.0,7.0,9.0
1988,No migration background,male,3403,7.0600206980529165,7.022685683016913,7.09735571308892,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1988,No migration background,female,3651,7.174188713357347,7.1371334164459075,7.211244010268787,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0
1988,Direct migration background,male,1401,6.9661583392882545,6.907013438236227,7.025303240340282,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1988,Direct migration background,female,1258,6.680188914810785,6.614142906832177,6.746234922789393,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1988,Indirect migration background,male,102,7.1776041490327405,6.980584156047323,7.374624142018158,6.0,7.0,8.793032444676635,1.8104513329850471,10.0,7.0,6.0,7.0
1988,Indirect migration background,female,113,7.062944561364827,6.843149622406241,7.282739500323414,5.0,8.0,9.0,0.0,10.0,8.0,7.0,9.024999999999999
1989,No migration background,male,3281,7.01825905311667,6.979746736329385,7.056771369903955,5.095103054075807,8.0,9.0,0.0,10.0,8.0,8.0,9.0
1989,No migration background,female,3502,7.111762574152414,7.07428941384518,7.149235734459649,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0
1989,Direct migration background,male,1336,6.812224586849191,6.751142170889792,6.87330700280859,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1989,Direct migration background,female,1230,6.647771642197184,6.583122562435021,6.712420721959347,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1989,Indirect migration background,male,121,7.54513291919542,7.325496072938799,7.764769765452041,7.0,8.0,10.0,2.5,10.0,8.0,7.0,9.0
1989,Indirect migration background,female,133,7.30476324034355,7.143329505733016,7.466196974954084,7.0,8.0,9.0,4.0,10.0,8.0,8.0,9.0
1990,No migration background,male,,,,,,,,,,,,
1990,No migration background,female,,,,,,,,,,,,
1990,Direct migration background,male,,,,,,,,,,,,
1990,Direct migration background,female,,,,,,,,,,,,
1990,Indirect migration background,male,,,,,,,,,,,,
1990,Indirect migration background,female,,,,,,,,,,,,
1991,No migration background,male,5069,6.805788692364696,6.773295238398387,6.838282146331005,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1991,No migration background,female,5496,6.878850141026098,6.847343003635565,6.910357278416631,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1991,Direct migration background,male,1361,6.918956420413771,6.857937250006362,6.97997559082118,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1991,Direct migration background,female,1253,6.618268381515202,6.549993120813982,6.686543642216423,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1991,Indirect migration background,male,172,7.324268126123667,7.173899264706654,7.47463698754068,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1991,Indirect migration background,female,174,6.43661684187917,6.2563839599882805,6.616849723770059,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0
1992,No migration background,male,4907,6.84214991226186,6.810508943800478,6.8737908807232415,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1992,No migration background,female,5393,6.986424383033332,6.956187357006981,7.016661409059682,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0
1992,Direct migration background,male,1318,6.8861635986057514,6.825106505610344,6.947220691601159,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1992,Direct migration background,female,1221,6.73588425105033,6.67104842888391,6.800720073216751,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1992,Indirect migration background,male,201,7.247910094156765,7.091947749763618,7.403872438549913,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1992,Indirect migration background,female,197,7.023930564892115,6.865582568199101,7.18227856158513,5.0,7.867804589370326,9.0,0.0,10.0,8.0,8.0,9.0
1993,No migration background,male,4819,6.753454215400852,6.720923450659784,6.7859849801419205,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,No migration background,female,5284,6.870560896806131,6.839499904882097,6.901621888730165,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
