year,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,,,,,,,,,,,,
1984,direkter Migrationshintergrund,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,,,,,,,,,,,,
1985,kein Migrationshintergrund,,,,,,,,,,,,
1985,direkter Migrationshintergrund,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,,,,,,,,,,,,
1986,kein Migrationshintergrund,,,,,,,,,,,,
1986,direkter Migrationshintergrund,,,,,,,,,,,,
1986,indirekter Migrationshintergrund,,,,,,,,,,,,
1987,kein Migrationshintergrund,,,,,,,,,,,,
1987,direkter Migrationshintergrund,,,,,,,,,,,,
1987,indirekter Migrationshintergrund,,,,,,,,,,,,
1988,kein Migrationshintergrund,,,,,,,,,,,,
1988,direkter Migrationshintergrund,,,,,,,,,,,,
1988,indirekter Migrationshintergrund,,,,,,,,,,,,
1989,kein Migrationshintergrund,,,,,,,,,,,,
1989,direkter Migrationshintergrund,,,,,,,,,,,,
1989,indirekter Migrationshintergrund,,,,,,,,,,,,
1990,kein Migrationshintergrund,7.531414416598587,7.463686648035945,7.599142185161228,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1454.0
1990,direkter Migrationshintergrund,,,,,,,,,,,,
1990,indirekter Migrationshintergrund,,,,,,,,,,,,
1991,kein Migrationshintergrund,,,,,,,,,,,,
1991,direkter Migrationshintergrund,,,,,,,,,,,,
1991,indirekter Migrationshintergrund,,,,,,,,,,,,
1992,kein Migrationshintergrund,,,,,,,,,,,,
1992,direkter Migrationshintergrund,,,,,,,,,,,,
1992,indirekter Migrationshintergrund,,,,,,,,,,,,
1993,kein Migrationshintergrund,,,,,,,,,,,,
1993,direkter Migrationshintergrund,,,,,,,,,,,,
1993,indirekter Migrationshintergrund,,,,,,,,,,,,
1994,kein Migrationshintergrund,,,,,,,,,,,,
1994,direkter Migrationshintergrund,,,,,,,,,,,,
1994,indirekter Migrationshintergrund,,,,,,,,,,,,
1995,kein Migrationshintergrund,,,,,,,,,,,,
1995,direkter Migrationshintergrund,,,,,,,,,,,,
1995,indirekter Migrationshintergrund,,,,,,,,,,,,
1996,kein Migrationshintergrund,,,,,,,,,,,,
1996,direkter Migrationshintergrund,,,,,,,,,,,,
1996,indirekter Migrationshintergrund,,,,,,,,,,,,
1997,kein Migrationshintergrund,6.404034661335204,6.356782919369014,6.451286403301394,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2445.0
1997,direkter Migrationshintergrund,6.444915710159166,6.366939623817239,6.522891796501093,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,880.0
1997,indirekter Migrationshintergrund,6.3154038893,6.095525810296418,6.535281968303582,5.0,7.0,8.0,0.5,10.0,7.0,6.974999999999994,9.0,120.0
1998,kein Migrationshintergrund,6.628649408610326,6.5831676280739595,6.674131189146693,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2710.0
1998,direkter Migrationshintergrund,6.50633722838694,6.424192132845282,6.588482323928598,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,820.0
1998,indirekter Migrationshintergrund,5.8625819546293085,5.622930158828108,6.102233750430509,4.0,6.0,8.0,0.0,10.0,6.0,5.0,7.0,120.0
1999,kein Migrationshintergrund,6.5993774294944805,6.55281361584336,6.645941243145601,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2675.0
1999,direkter Migrationshintergrund,6.569890910982804,6.489909405184881,6.649872416780727,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,786.0
1999,indirekter Migrationshintergrund,5.877165007026152,5.620953978710844,6.13337603534146,4.0,6.0,8.0,0.0,10.0,6.0,4.0,7.0,140.0
2000,kein Migrationshintergrund,6.487922536436575,6.449634017518835,6.526211055354316,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4544.0
2000,direkter Migrationshintergrund,6.720304797110546,6.648512506436157,6.792097087784935,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,1166.0
