"year","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1990","männlich","7.47","7.5","698","3","6","10","10","10","7.27","7.67","0","10","8","8"
"1990","weiblich","7.58","7.5","779","4","6","10","10","10","7.4","7.76","0","10","8","9"
"1991","männlich","","","","","","","","","","","","","",""
"1991","weiblich","","","","","","","","","","","","","",""
"1992","männlich","","","","","","","","","","","","","",""
"1992","weiblich","","","","","","","","","","","","","",""
"1993","männlich","","","","","","","","","","","","","",""
"1993","weiblich","","","","","","","","","","","","","",""
"1994","männlich","","","","","","","","","","","","","",""
"1994","weiblich","","","","","","","","","","","","","",""
"1995","männlich","","","","","","","","","","","","","",""
"1995","weiblich","","","","","","","","","","","","","",""
"1996","männlich","","","","","","","","","","","","","",""
"1996","weiblich","","","","","","","","","","","","","",""
"1997","männlich","6.4","6.5","1630","3","5","8","9","10","6.29","6.51","0","10","7","7"
"1997","weiblich","6.42","6.5","1820","3","5","8","10","10","6.31","6.53","0","10","7","7"
"1998","männlich","6.5","6.5","1735","3","5","8","9","10","6.39","6.61","0","10","7","7"
"1998","weiblich","6.66","6.5","1929","3","5","9","10","10","6.55","6.77","0","10","7","7"
"1999","männlich","6.52","6.5","1705","3","5","8","9","10","6.41","6.63","0","10","7","7"
"1999","weiblich","6.62","6.5","1901","3","5","8","10","10","6.51","6.73","0","10","7","7"
"2000","männlich","6.47","6.5","2779","3","5","8","10","10","6.37","6.57","0","10","7","7"
"2000","weiblich","6.56","6.5","3147","2","5","9","10","10","6.47","6.65","0","10","7","7"
"2001","männlich","6.36","6.5","2100","2","5","8","10","10","6.25","6.47","0","10","7","7"
"2001","weiblich","6.5","6.5","2287","2","5","9","10","10","6.39","6.61","0","10","7","8"
"2002","männlich","6.38","6.5","1990","3","5","8","9","10","6.27","6.49","0","10","7","7"
"2002","weiblich","6.45","6.5","2113","3","5","8","10","10","6.34","6.56","0","10","7","7"
"2003","männlich","6.28","6.5","4455","3","5","8","9","10","6.21","6.35","0","10","6","7"
"2003","weiblich","6.28","6.5","4769","3","5","8","10","10","6.21","6.35","0","10","7","7"
"2004","männlich","6.25","6.5","1865","3","5","8","9","10","6.13","6.37","0","10","7","7"
"2004","weiblich","6.31","6.5","2041","2","5","8","10","10","6.2","6.42","0","10","7","7"
"2005","männlich","6.17","6.5","1777","2","5","8","9","10","6.05","6.29","0","10","7","7"
"2005","weiblich","6.18","6.5","1948","2","4","8","10","10","6.06","6.3","0","10","7","7"
"2006","männlich","6.18","6.5","1696","2","5","8","9","10","6.05","6.31","0","10","7","7"
"2006","weiblich","6.15","6.5","1899","1","4","8","10","10","6.02","6.28","0","10","7","7"
"2007","männlich","6.29","6.5","1609","2","5","8","9","10","6.16","6.42","0","10","7","7"
"2007","weiblich","6.15","6.5","1818","1","5","8","10","10","6.02","6.28","0","10","7","7"
"2008","männlich","6.59","6.5","1379","3","5","8","10","10","6.46","6.72","0","10","7","8"
"2008","weiblich","6.68","6.5","1484","3","5","9","10","10","6.55","6.81","0","10","7","8"
"2009","männlich","6.52","6.5","1277","3","5","8","9","10","6.38","6.66","0","10","7","8"
"2009","weiblich","6.74","7.5","1402","2","5","9","10","10","6.6","6.88","0","10","8","8"
"2010","männlich","6.67","6.5","3074","2","5","9","10","10","6.58","6.76","0","10","8","8"
"2010","weiblich","6.8","7.5","3801","2","5","9","10","10","6.71","6.89","0","10","8","8"
"2011","männlich","6.89","7.5","3260","3","5","9","10","10","6.81","6.97","0","10","8","8"
"2011","weiblich","7.01","7.5","3995","3","5","9","10","10","6.93","7.09","0","10","8","8"
"2012","männlich","7.08","7.5","3044","4","6","9","10","10","7","7.16","0","10","8","8"
"2012","weiblich","7.21","7.5","3676","4","6","9","10","10","7.13","7.29","0","10","8","8"
"2013","männlich","7.05","7.5","2741","4","6","9","10","10","6.97","7.13","0","10","8","8"
"2013","weiblich","7.16","7.5","3368","3","6","9","10","10","7.08","7.24","0","10","8","8"
"2014","männlich","7.03","7.5","2913","4","6","9","10","10","6.95","7.11","0","10","8","8"
"2014","weiblich","7.13","7.5","3440","3","6","9","10","10","7.05","7.21","0","10","8","8"
"2015","männlich","7.27","7.5","2374","4","6","9","10","10","7.18","7.36","0","10","8","8"
"2015","weiblich","7.28","7.5","2897","4","6","9","10","10","7.2","7.36","0","10","8","8"
"2016","männlich","7.3","7.5","2208","5","6","9","10","10","7.21","7.39","0","10","8","8"
"2016","weiblich","7.33","7.5","2628","4","6","9","10","10","7.24","7.42","0","10","8","8"
"2017","männlich","7.25","7.5","2060","4","6","9","10","10","7.16","7.34","0","10","8","8"
"2017","weiblich","7.29","7.5","2394","4","6","9","10","10","7.2","7.38","0","10","8","8"
"2018","männlich","7.07","7.5","1928","4","6","9","10","10","6.97","7.17","0","10","8","8"
"2018","weiblich","7.13","7.5","2298","3","6","9","10","10","7.03","7.23","0","10","8","8"
"2019","männlich","7.34","7.5","1894","5","6","9","10","10","7.24","7.44","0","10","8","8"
"2019","weiblich","7.2","7.5","2142","4","6","9","10","10","7.1","7.3","0","10","8","8"
"2020","männlich","6.89","7.5","2176","4","5","8","10","10","6.79","6.99","0","10","8","8"
"2020","weiblich","7.01","7.5","2259","3","6","9","10","10","6.9","7.12","0","10","8","8"
