year,quintil_oecd,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,1. Quintil,West,,,,,,,,,,,,
1984,2. Quintil,West,,,,,,,,,,,,
1985,1. Quintil,West,,,,,,,,,,,,
1985,2. Quintil,West,,,,,,,,,,,,
1986,1. Quintil,West,,,,,,,,,,,,
1986,2. Quintil,West,,,,,,,,,,,,
1987,1. Quintil,West,,,,,,,,,,,,
1987,2. Quintil,West,,,,,,,,,,,,
1988,1. Quintil,West,,,,,,,,,,,,
1988,2. Quintil,West,,,,,,,,,,,,
1989,1. Quintil,West,,,,,,,,,,,,
1989,2. Quintil,West,,,,,,,,,,,,
1990,1. Quintil,West,,,,,,,,,,,,
1990,1. Quintil,East,,,,,,,,,,,,
1990,2. Quintil,West,,,,,,,,,,,,
1990,2. Quintil,East,,,,,,,,,,,,
1991,1. Quintil,West,,,,,,,,,,,,
1991,1. Quintil,East,,,,,,,,,,,,
1991,2. Quintil,West,,,,,,,,,,,,
1991,2. Quintil,East,,,,,,,,,,,,
1992,1. Quintil,West,,,,,,,,,,,,
1992,1. Quintil,East,,,,,,,,,,,,
1992,2. Quintil,West,,,,,,,,,,,,
1992,2. Quintil,East,,,,,,,,,,,,
1993,1. Quintil,West,,,,,,,,,,,,
1993,1. Quintil,East,,,,,,,,,,,,
1993,2. Quintil,West,,,,,,,,,,,,
1993,2. Quintil,East,,,,,,,,,,,,
1994,1. Quintil,West,,,,,,,,,,,,
1994,1. Quintil,East,,,,,,,,,,,,
1994,2. Quintil,West,,,,,,,,,,,,
1994,2. Quintil,East,,,,,,,,,,,,
1995,2. Quintil,West,,,,,,,,,,,,
1995,2. Quintil,East,,,,,,,,,,,,
1995,3. Quintil,West,,,,,,,,,,,,
1995,3. Quintil,East,,,,,,,,,,,,
1995,4. Quintil,West,,,,,,,,,,,,
1995,4. Quintil,East,,,,,,,,,,,,
1995,5. Quintil,West,,,,,,,,,,,,
1995,5. Quintil,East,,,,,,,,,,,,
1996,2. Quintil,West,,,,,,,,,,,,
1996,2. Quintil,East,,,,,,,,,,,,
1996,3. Quintil,West,,,,,,,,,,,,
1996,3. Quintil,East,,,,,,,,,,,,
1996,4. Quintil,West,,,,,,,,,,,,
1996,4. Quintil,East,,,,,,,,,,,,
1996,5. Quintil,West,,,,,,,,,,,,
1996,5. Quintil,East,,,,,,,,,,,,
1997,2. Quintil,West,,,,,,,,,,,,
1997,2. Quintil,East,,,,,,,,,,,,
1997,3. Quintil,West,,,,,,,,,,,,
1997,3. Quintil,East,,,,,,,,,,,,
1997,4. Quintil,West,,,,,,,,,,,,
1997,4. Quintil,East,,,,,,,,,,,,
1997,5. Quintil,West,,,,,,,,,,,,
1997,5. Quintil,East,,,,,,,,,,,,
1998,2. Quintil,West,,,,,,,,,,,,
1998,2. Quintil,East,,,,,,,,,,,,
1998,3. Quintil,West,,,,,,,,,,,,
1998,3. Quintil,East,,,,,,,,,,,,
1998,4. Quintil,West,,,,,,,,,,,,
1998,4. Quintil,East,,,,,,,,,,,,
1998,5. Quintil,West,,,,,,,,,,,,
1998,5. Quintil,East,,,,,,,,,,,,
1999,2. Quintil,West,,,,,,,,,,,,
1999,2. Quintil,East,,,,,,,,,,,,
1999,3. Quintil,West,,,,,,,,,,,,
1999,3. Quintil,East,,,,,,,,,,,,
1999,4. Quintil,West,,,,,,,,,,,,
1999,4. Quintil,East,,,,,,,,,,,,
1999,5. Quintil,West,,,,,,,,,,,,
1999,5. Quintil,East,,,,,,,,,,,,
2000,2. Quintil,West,,,,,,,,,,,,
2000,2. Quintil,East,,,,,,,,,,,,
2000,3. Quintil,West,,,,,,,,,,,,
2000,3. Quintil,East,,,,,,,,,,,,
2000,4. Quintil,West,,,,,,,,,,,,
2000,4. Quintil,East,,,,,,,,,,,,
2000,5. Quintil,West,,,,,,,,,,,,
2000,5. Quintil,East,,,,,,,,,,,,
2001,2. Quintil,West,,,,,,,,,,,,
2001,2. Quintil,East,,,,,,,,,,,,
2001,3. Quintil,West,,,,,,,,,,,,
2001,3. Quintil,East,,,,,,,,,,,,
2001,4. Quintil,West,,,,,,,,,,,,
2001,4. Quintil,East,,,,,,,,,,,,
2001,5. Quintil,West,,,,,,,,,,,,
2001,5. Quintil,East,,,,,,,,,,,,
2002,2. Quintil,West,,,,,,,,,,,,
2002,2. Quintil,East,,,,,,,,,,,,
2002,3. Quintil,West,,,,,,,,,,,,
2002,3. Quintil,East,,,,,,,,,,,,
2002,4. Quintil,West,,,,,,,,,,,,
2002,4. Quintil,East,,,,,,,,,,,,
2002,5. Quintil,West,,,,,,,,,,,,
2002,5. Quintil,East,,,,,,,,,,,,
2003,2. Quintil,West,,,,,,,,,,,,
2003,2. Quintil,East,,,,,,,,,,,,
2003,3. Quintil,West,,,,,,,,,,,,
2003,3. Quintil,East,,,,,,,,,,,,
2003,4. Quintil,West,,,,,,,,,,,,
2003,4. Quintil,East,,,,,,,,,,,,
2003,5. Quintil,West,,,,,,,,,,,,
2003,5. Quintil,East,,,,,,,,,,,,
2004,2. Quintil,West,,,,,,,,,,,,
2004,2. Quintil,East,,,,,,,,,,,,
2004,3. Quintil,West,,,,,,,,,,,,
2004,3. Quintil,East,,,,,,,,,,,,
2004,4. Quintil,West,,,,,,,,,,,,
2004,4. Quintil,East,,,,,,,,,,,,
2004,5. Quintil,West,,,,,,,,,,,,
2004,5. Quintil,East,,,,,,,,,,,,
2005,2. Quintil,West,,,,,,,,,,,,
2005,2. Quintil,East,,,,,,,,,,,,
2005,3. Quintil,West,,,,,,,,,,,,
2005,3. Quintil,East,,,,,,,,,,,,
2005,4. Quintil,West,,,,,,,,,,,,
2005,4. Quintil,East,,,,,,,,,,,,
2005,5. Quintil,West,,,,,,,,,,,,
2005,5. Quintil,East,,,,,,,,,,,,
2006,2. Quintil,West,7.1317827971497945,7.09121279285712,7.172352801442469,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2605.0
2006,2. Quintil,East,7.050266820209304,6.996212531815771,7.104321108602837,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,1345.0
2006,3. Quintil,West,7.5270872535470374,7.498749736747786,7.5554247703462885,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4345.0
2006,3. Quintil,East,7.374222939962127,7.332440747431628,7.416005132492627,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1734.0
2006,4. Quintil,West,7.516149756351202,7.489375371575723,7.54292414112668,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4612.0
2006,4. Quintil,East,7.4917865107437756,7.448213956414349,7.5353590650732025,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1522.0
2006,5. Quintil,West,7.63405763764044,7.6101362401413315,7.657979035139549,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5041.0
2006,5. Quintil,East,7.398685206253583,7.337928101722434,7.459442310784731,7.0,7.850291084134737,8.0,5.5,9.5,7.0,6.0,7.0,639.0
2007,1. Quintil,West,,,,,,,,,,,,
2007,1. Quintil,East,,,,,,,,,,,,
2007,2. Quintil,West,,,,,,,,,,,,
2007,2. Quintil,East,,,,,,,,,,,,
2007,3. Quintil,West,,,,,,,,,,,,
2007,3. Quintil,East,,,,,,,,,,,,
2007,4. Quintil,West,,,,,,,,,,,,
2007,4. Quintil,East,,,,,,,,,,,,
2007,5. Quintil,West,,,,,,,,,,,,
2007,5. Quintil,East,,,,,,,,,,,,
2008,2. Quintil,West,,,,,,,,,,,,
2008,2. Quintil,East,,,,,,,,,,,,
2008,3. Quintil,West,,,,,,,,,,,,
2008,3. Quintil,East,,,,,,,,,,,,
2008,4. Quintil,West,,,,,,,,,,,,
2008,4. Quintil,East,,,,,,,,,,,,
2008,5. Quintil,West,,,,,,,,,,,,
2008,5. Quintil,East,,,,,,,,,,,,
2009,2. Quintil,West,,,,,,,,,,,,
2009,2. Quintil,East,,,,,,,,,,,,
2009,3. Quintil,West,,,,,,,,,,,,
2009,3. Quintil,East,,,,,,,,,,,,
2009,4. Quintil,West,,,,,,,,,,,,
2009,4. Quintil,East,,,,,,,,,,,,
2009,5. Quintil,West,,,,,,,,,,,,
2009,5. Quintil,East,,,,,,,,,,,,
2010,2. Quintil,West,,,,,,,,,,,,
2010,2. Quintil,East,,,,,,,,,,,,
2010,3. Quintil,West,,,,,,,,,,,,
2010,3. Quintil,East,,,,,,,,,,,,
2010,4. Quintil,West,,,,,,,,,,,,
2010,4. Quintil,East,,,,,,,,,,,,
2010,5. Quintil,West,,,,,,,,,,,,
2010,5. Quintil,East,,,,,,,,,,,,
2011,2. Quintil,West,7.1764866094022715,7.13670900863503,7.216264210169513,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3011.0
