syear,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,1. Quintil,7.433778938051479,7.411001513030425,7.456556363072534,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,8159.0
1984,2. Quintil,7.386887757688554,7.356094380415912,7.417681134961197,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3952.0
1985,1. Quintil,7.2461730019163015,7.223187324204843,7.26915867962776,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,7301.0
1985,2. Quintil,7.1943953379982695,7.163272058301512,7.225518617695027,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,3685.0
1986,1. Quintil,7.319616692705786,7.297586754124475,7.341646631287097,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,7000.0
1986,2. Quintil,7.250977624247384,7.221418966308884,7.280536282185884,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,3548.0
1987,1. Quintil,7.125833162119068,7.103418499603315,7.1482478246348204,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,6984.0
1987,2. Quintil,7.020031597255454,6.9888890461678415,7.051174148343067,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3434.0
1988,1. Quintil,7.024068139758414,7.000621750118265,7.047514529398564,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,6684.0
1988,2. Quintil,6.9645086173752135,6.93259980592259,6.996417428827837,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3244.0
1989,1. Quintil,7.057760991780137,7.034337744271737,7.081184239288537,6.0,7.292792131375684,8.0,3.0,10.0,7.0,6.0,7.0,6497.0
1989,2. Quintil,7.085730103538102,7.0535494754614865,7.117910731614718,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,3134.0
1990,1. Quintil,7.090264836581212,7.071965004904037,7.108564668258387,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,9752.0
1990,2. Quintil,7.207754798296036,7.1813495795356,7.234160017056472,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,4067.0
1991,1. Quintil,7.035095418625316,7.016684855365834,7.053505981884798,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,9548.0
1991,2. Quintil,7.205605700934587,7.178932214918385,7.232279186950789,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,3905.0
1992,1. Quintil,6.985259189210038,6.967366877015677,7.003151501404399,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,9495.0
1992,2. Quintil,7.123343944523661,7.096999876363582,7.1496880126837405,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3732.0
1993,1. Quintil,6.944378377048848,6.925860692851596,6.9628960612460995,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,9472.0
1993,2. Quintil,7.08403572427979,7.055241009699015,7.112830438860565,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,3565.0
1994,1. Quintil,6.87609849699225,6.857530768192,6.894666225792499,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,9389.0
1994,2. Quintil,6.998887069021023,6.970586354056444,7.027187783985603,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3413.0
1995,2. Quintil,6.434240781903874,6.406021339500896,6.462460224306852,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4724.0
1995,3. Quintil,6.936685837736924,6.911971142145784,6.961400533328064,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4918.0
1995,4. Quintil,7.166008682134092,7.134124711533928,7.197892652734256,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,2532.0
1995,5. Quintil,7.461320870314099,7.417698990761413,7.5049427498667844,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,1041.0
1996,2. Quintil,6.487572245156427,6.458699900823352,6.516444589489502,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4276.0
1996,3. Quintil,6.939471236712101,6.9154843058295885,6.963458167594613,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4919.0
1996,4. Quintil,7.224652794223714,7.193929769445821,7.255375819001608,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,2697.0
1996,5. Quintil,7.365953023671726,7.3226102333515275,7.409295813991925,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,1137.0
1997,2. Quintil,6.302071600275025,6.272314636573235,6.331828563976815,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,4045.0
1997,3. Quintil,6.804997729900952,6.780518509087224,6.829476950714681,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4821.0
1997,4. Quintil,7.126404353101154,7.096283885062777,7.15652482113953,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,2789.0
1997,5. Quintil,7.369101921406244,7.324999086796291,7.4132047560161975,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,1147.0
1998,2. Quintil,6.5125820400507655,6.484780446704612,6.540383633396919,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4388.0
1998,3. Quintil,6.95034899169187,6.9266503159147605,6.974047667468979,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5261.0
1998,4. Quintil,7.253777721598535,7.224894739465164,7.282660703731906,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,3148.0
1998,5. Quintil,7.53484265722956,7.498149428046961,7.571535886412159,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,1404.0
1999,2. Quintil,6.489192500857092,6.457114169300222,6.521270832413962,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3650.0
1999,3. Quintil,7.042120066990425,7.019320382411881,7.0649197515689695,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5181.0
1999,4. Quintil,7.196426893872191,7.16800798061082,7.224845807133562,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,3241.0
1999,5. Quintil,7.492074623838483,7.453493750348549,7.530655497328416,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,1572.0
2000,2. Quintil,6.584262731156441,6.5591914736961865,6.6093339886166955,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5862.0
2000,3. Quintil,7.094774826896207,7.077282894374332,7.112266759418081,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,8893.0
2000,4. Quintil,7.3429626769295915,7.322750422621434,7.363174931237749,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5922.0
2000,5. Quintil,7.55239530289613,7.525550203703552,7.5792404020887085,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,3367.0
2001,2. Quintil,6.563885740962761,6.537777191854814,6.589994290070709,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4937.0
2001,3. Quintil,7.1032740793156295,7.08459644895875,7.121951709672509,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,7834.0
2001,4. Quintil,7.318153679672966,7.297302489680571,7.33900486966536,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5750.0
2001,5. Quintil,7.5984950958065,7.573221410207262,7.623768781405738,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3349.0
2002,2. Quintil,6.351149337835132,6.32246676481254,6.379831910857724,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4347.0
2002,3. Quintil,6.878165850404937,6.857820739702508,6.898510961107365,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6714.0
2002,4. Quintil,7.091886353005633,7.071452190997512,7.112320515013755,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5985.0
2002,5. Quintil,7.477121391958541,7.457600823888218,7.496641960028863,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5935.0
2003,2. Quintil,6.257381959727708,6.227195283763874,6.2875686356915415,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,4035.0
2003,3. Quintil,6.814160546742165,6.792557969748249,6.83576312373608,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6450.0
2003,4. Quintil,7.067928869778531,7.04794261378538,7.087915125771683,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6124.0
2003,5. Quintil,7.399989635459303,7.379082409402251,7.420896861516354,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5514.0
2004,2. Quintil,6.060524555136242,6.028879049423611,6.092170060848873,5.0,6.0,8.0,0.5,10.0,6.0,6.0,6.0,3913.0
2004,3. Quintil,6.569034067047565,6.546769870863401,6.591298263231729,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6293.0
2004,4. Quintil,6.8863659659163785,6.864295844066209,6.908436087766548,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5772.0
2004,5. Quintil,7.2166222052353195,7.195551682176066,7.237692728294573,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,5580.0
2005,2. Quintil,6.204040516628294,6.1717043698809535,6.236376663375634,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3836.0
2005,3. Quintil,6.746574601001342,6.723271626324325,6.7698775756783585,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5781.0
2005,4. Quintil,6.995287291523816,6.972556313322066,7.018018269725566,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5541.0
2005,5. Quintil,7.47105179777221,7.451359621152402,7.490743974392019,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5476.0
2006,2. Quintil,6.052023636515728,6.021035891672154,6.083011381359302,5.0,6.0,8.0,0.5,10.0,6.0,6.0,6.0,3969.0
2006,3. Quintil,6.738819398002667,6.716456318708897,6.761182477296437,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6094.0
2006,4. Quintil,6.972339966833472,6.9518357655589496,6.992844168107994,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6155.0
2006,5. Quintil,7.375547645206132,7.355369643106872,7.395725647305392,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5678.0
2007,1. Quintil,,,,,,,,,,,,
2007,2. Quintil,6.161359660283365,6.128418529543005,6.194300791023725,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3487.0
2007,3. Quintil,6.72633973026629,6.703134061470079,6.749545399062502,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5672.0
2007,4. Quintil,7.035926727526739,7.014965120341616,7.0568883347118625,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5678.0
2007,5. Quintil,7.415292341282447,7.3955511543969035,7.43503352816799,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5624.0
2008,2. Quintil,6.182162331580186,6.146764715113913,6.21755994804646,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3097.0
2008,3. Quintil,6.764826981855389,6.740725995814478,6.7889279678963,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5177.0
2008,4. Quintil,7.053717595231135,7.03182314785925,7.07561204260302,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5396.0
2008,5. Quintil,7.387866229084394,7.368306472243408,7.4074259859253795,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5605.0
2009,2. Quintil,6.187803260348072,6.15123043526662,6.224376085429523,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,2757.0
2009,3. Quintil,6.633139710040765,6.607209572814447,6.659069847267083,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4676.0
2009,4. Quintil,6.91968522885806,6.896237805059032,6.943132652657088,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5099.0
2009,5. Quintil,7.3173982891238225,7.296911674294648,7.337884903952997,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5431.0
2010,2. Quintil,6.356141859939007,6.325758214822388,6.386525505055626,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4415.0
2010,3. Quintil,6.859004552669248,6.837567418183948,6.880441687154548,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6765.0
2010,4. Quintil,7.143688443830373,7.1240511071528925,7.163325780507854,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,6272.0
2010,5. Quintil,7.450742199560083,7.432723041133672,7.468761357986494,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,6475.0
2011,2. Quintil,6.271011738591569,6.2416088922732555,6.300414584909882,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,4383.0
2011,3. Quintil,6.7863654903663475,6.765213122222054,6.807517858510641,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,7040.0
2011,4. Quintil,7.091588867468263,7.072456271084121,7.110721463852405,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,7027.0
2011,5. Quintil,7.397831971661453,7.38056726352027,7.415096679802636,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,7327.0
2012,1. Quintil,,,,,,,,,,,,
2012,2. Quintil,6.275470267834846,6.244532959902004,6.306407575767689,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,4011.0
2012,3. Quintil,6.861321450404897,6.840533922646067,6.882108978163727,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6923.0
2012,4. Quintil,7.195312391669455,7.177251218038733,7.213373565300176,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,7398.0
2012,5. Quintil,7.508233614780496,7.492558120328846,7.523909109232145,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,8055.0
2013,1. Quintil,,,,,,,,,,,,
2013,2. Quintil,6.4416592662716115,6.413474197446375,6.469844335096848,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5126.0
