"year","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1990","Laendlicher Raum","7.52","7.5","2857","7.45","7.59"
"1990","Staedtischer Raum","7.24","7.5","1437","7.13","7.35"
"1991","Laendlicher Raum","7.16","7.5","4663","7.11","7.21"
"1991","Staedtischer Raum","7.23","7.5","8520","7.19","7.27"
"1992","Laendlicher Raum","6.85","6.5","4479","6.79","6.91"
"1992","Staedtischer Raum","7.05","7.5","8450","7.01","7.09"
"1993","Laendlicher Raum","6.7","6.5","4470","6.64","6.76"
"1993","Staedtischer Raum","6.86","6.5","8424","6.82","6.9"
"1994","Laendlicher Raum","6.66","6.5","4365","6.6","6.72"
"1994","Staedtischer Raum","6.91","6.5","8304","6.87","6.95"
"1995","Laendlicher Raum","6.76","6.5","4529","6.7","6.82"
"1995","Staedtischer Raum","6.92","6.5","8552","6.88","6.96"
"1996","Laendlicher Raum","6.55","6.5","4508","6.49","6.61"
"1996","Staedtischer Raum","6.85","6.5","8405","6.81","6.89"
"1997","Laendlicher Raum","6.39","6.5","4431","6.33","6.45"
"1997","Staedtischer Raum","6.66","6.5","8254","6.62","6.7"
"1998","Laendlicher Raum","6.65","6.5","4934","6.59","6.71"
"1998","Staedtischer Raum","6.97","6.5","9127","6.93","7.01"
"1999","Laendlicher Raum","6.86","6.5","4754","6.81","6.91"
"1999","Staedtischer Raum","7.07","7.5","8727","7.03","7.11"
"2000","Laendlicher Raum","6.9","6.5","8276","6.86","6.94"
"2000","Staedtischer Raum","7.19","7.5","15286","7.16","7.22"
"2001","Laendlicher Raum","6.95","6.5","7488","6.91","6.99"
"2001","Staedtischer Raum","7.27","7.5","13884","7.24","7.3"
"2002","Laendlicher Raum","6.68","6.5","7557","6.64","6.72"
"2002","Staedtischer Raum","7.04","7.5","14800","7.01","7.07"
"2003","Laendlicher Raum","6.55","6.5","7294","6.5","6.6"
"2003","Staedtischer Raum","6.93","6.5","14335","6.9","6.96"
"2004","Laendlicher Raum","6.39","6.5","7132","6.34","6.44"
"2004","Staedtischer Raum","6.74","6.5","13933","6.71","6.77"
"2005","Laendlicher Raum","","","","",""
"2005","Staedtischer Raum","","","","",""
"2006","Laendlicher Raum","","","","",""
"2006","Staedtischer Raum","","","","",""
"2007","Laendlicher Raum","","","","",""
"2007","Staedtischer Raum","","","","",""
"2008","Laendlicher Raum","6.7","6.5","6479","6.65","6.75"
"2008","Staedtischer Raum","6.93","6.5","12174","6.89","6.97"
"2009","Laendlicher Raum","6.68","6.5","6228","6.63","6.73"
"2009","Staedtischer Raum","6.94","6.5","11321","6.91","6.97"
"2010","Laendlicher Raum","","","","",""
"2010","Staedtischer Raum","","","","",""
"2011","Laendlicher Raum","6.76","6.5","6346","6.71","6.81"
"2011","Staedtischer Raum","7.09","7.5","11406","7.06","7.12"
"2012","Laendlicher Raum","7.67","7.5","2680","7.6","7.74"
"2012","Staedtischer Raum","7.91","7.5","4367","7.86","7.96"
"2013","Laendlicher Raum","7.06","7.5","7678","7.01","7.11"
"2013","Staedtischer Raum","7.33","7.5","15320","7.3","7.36"
"2014","Laendlicher Raum","","","","",""
"2014","Staedtischer Raum","","","","",""
"2015","Laendlicher Raum","","","","",""
"2015","Staedtischer Raum","","","","",""
"2016","Laendlicher Raum","","","","",""
"2016","Staedtischer Raum","","","","",""
"2017","Laendlicher Raum","","","","",""
"2017","Staedtischer Raum","","","","",""
"2018","Laendlicher Raum","7.36","7.5","8600","7.32","7.4"
"2018","Staedtischer Raum","7.62","7.5","15883","7.59","7.65"
