year,bula_h,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Schleswig-Holstein,West,386,0.7032237391399115,0.5884612491423555,0.8179862291374675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Hamburg,West,309,0.3360290930878761,0.24737648593459688,0.4246817002411553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Lower Saxony,West,1234,0.5236555774836517,0.46977663078979304,0.5775345241775103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Bremen,West,132,0.18183080030616156,0.08650467270555161,0.2771569279067715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,North Rhine-Westphalia,West,3254,0.533249936883949,0.5003143276999953,0.5661855460679026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Hesse,West,1247,0.6271477138954816,0.5670856988245949,0.6872097289663683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,"Rhineland-Palatinate, Saarland",West,851,0.5480623496694274,0.48507047806595593,0.6110542212728988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Baden-Wuerttemberg,West,2249,0.4113061640741892,0.3769823299810211,0.44562999816735727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Bavaria,West,2090,0.6024526479487253,0.5588302028004899,0.6460750930969608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Berlin,West,408,0.7258817370524595,0.6216436672136615,0.8301198068912575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Schleswig-Holstein,West,353,0.45358822503881424,0.37021682256803745,0.536959627509591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Hamburg,West,280,0.3546076360755957,0.26602942042361166,0.44318585172757974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Lower Saxony,West,1107,0.49826801852980857,0.44396841633738887,0.5525676207222283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bremen,West,116,0.11802319844397186,0.04614582902395943,0.1899005678639843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,North Rhine-Westphalia,West,2961,0.4683383887111953,0.4372222624214956,0.49945451500089505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Hesse,West,1134,0.5283055729173286,0.4729348953158897,0.5836762505187675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,"Rhineland-Palatinate, Saarland",West,772,0.37328343031772865,0.32157202688582376,0.42499483374963354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Baden-Wuerttemberg,West,2041,0.4437608297423564,0.4062427034816624,0.48127895600305043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bavaria,West,1897,0.5161520663741482,0.4763797539972171,0.5559243787510794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Berlin,West,365,0.5818844306333485,0.48344711085883096,0.680321750407866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Schleswig-Holstein,West,323,0.7052923990765843,0.5832666186983942,0.8273181794547743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Hamburg,West,256,0.26584411366322475,0.19619234650104272,0.33549588082540677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Lower Saxony,West,1108,0.49882604820596266,0.4424594765523051,0.5551926198596202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bremen,West,109,0.25502092919183483,0.1342339051851518,0.3758079531985179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,North Rhine-Westphalia,West,2857,0.47485985282021703,0.44239256289879025,0.5073271427416438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Hesse,West,1049,0.5388939943097105,0.4813617040688374,0.5964262845505837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
