year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,1st Quintile,,,,,,,,,,,,
1984,0-16 y.,2nd Quintile,,,,,,,,,,,,
1984,0-16 y.,3rd Quintile,,,,,,,,,,,,
1984,0-16 y.,4th Quintile,,,,,,,,,,,,
1984,0-16 y.,5th Quintile,,,,,,,,,,,,
1984,17-29 y.,1st Quintile,553,3.609393140194973,3.506554587749153,3.712231692640793,2.0,3.0,5.0,1.0,9.5,3.0,3.0,3.0
1984,17-29 y.,2nd Quintile,480,3.8805707814159542,3.765401696200792,3.9957398666311166,2.0,3.0,5.0,1.0,9.5,3.0,2.0,3.0
1984,17-29 y.,3rd Quintile,486,3.9982278412796695,3.8748766223375237,4.121579060221816,2.0,3.0,5.0,1.0,9.5,3.0,3.0,3.0
1984,17-29 y.,4th Quintile,556,3.8281033032623153,3.7245712129068886,3.931635393617742,2.0,3.0,5.0,1.0,9.5,3.0,3.0,3.0
1984,17-29 y.,5th Quintile,431,4.059370485203496,3.9273349623776523,4.1914060080293405,2.0,3.0,5.0,1.0,9.5,3.0,2.0,3.0
1984,30-45 y.,1st Quintile,459,3.174131604898626,3.070716946220269,3.277546263576983,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,30-45 y.,2nd Quintile,501,3.1728244145760427,3.0735182872101796,3.272130541941906,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,30-45 y.,3rd Quintile,508,3.3622935249399855,3.2517608417960293,3.4728262080839416,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,30-45 y.,4th Quintile,555,3.279453540411876,3.1903972017105713,3.3685098791131804,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,30-45 y.,5th Quintile,567,3.2356954154482476,3.150630558957789,3.320760271938706,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,46-65 y.,1st Quintile,327,3.198326020860807,3.077272388346088,3.319379653375526,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,46-65 y.,2nd Quintile,427,3.2164336116577372,3.103259633017016,3.3296075902984583,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,46-65 y.,3rd Quintile,439,3.4380261800682943,3.3060897549511323,3.5699626051854563,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,46-65 y.,4th Quintile,474,2.983784978724131,2.891077068945091,3.076492888503171,1.0,2.0,4.0,1.0,8.5,2.0,1.0,2.0
1984,46-65 y.,5th Quintile,583,3.255600969427919,3.1586182436785273,3.352583695177311,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,66 and older,1st Quintile,191,3.2512820938139484,3.0883673322883203,3.4141968553395765,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,66 and older,2nd Quintile,139,2.8681094597951855,2.711556011072366,3.024662908518005,1.1686074312211454,2.0,4.0,1.0,8.247088853168282,2.0,1.0,2.0
1984,66 and older,3rd Quintile,142,3.1014133691923718,2.9317294499917352,3.2710972883930083,2.0,2.7507033749583965,4.0,1.0,7.0,3.0,3.0,4.0
1984,66 and older,4th Quintile,114,3.0168650519300395,2.8309889023235195,3.2027412015365595,1.0,2.9327092097088983,4.0,1.0,8.5,3.0,3.0,4.0
1984,66 and older,5th Quintile,123,3.2845610765280067,3.0891384018040906,3.4799837512519227,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1985,0-16 y.,1st Quintile,,,,,,,,,,,,
1985,0-16 y.,2nd Quintile,,,,,,,,,,,,
1985,0-16 y.,3rd Quintile,,,,,,,,,,,,
1985,0-16 y.,4th Quintile,,,,,,,,,,,,
1985,0-16 y.,5th Quintile,,,,,,,,,,,,
1985,17-29 y.,1st Quintile,756,3.0945260677130144,2.9906808289915396,3.198371306434489,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1985,17-29 y.,2nd Quintile,580,3.117048867679812,3.007508158898621,3.226589576461003,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1985,17-29 y.,3rd Quintile,641,3.479338990452487,3.3597980457971364,3.5988799351078375,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1985,17-29 y.,4th Quintile,624,3.451360092163607,3.3282973431188685,3.574422841208346,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1985,17-29 y.,5th Quintile,486,3.1933074387415914,3.0866914089284117,3.299923468554771,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1985,30-45 y.,1st Quintile,675,2.0343086944585234,1.9578736514585107,2.1107437374585363,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0249999999999995
1985,30-45 y.,2nd Quintile,730,2.1050004872351398,2.017367161501594,2.1926338129686855,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1985,30-45 y.,3rd Quintile,641,2.4584777032616594,2.3777106745842316,2.539244731939087,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,30-45 y.,4th Quintile,665,2.540649341513366,2.4497260109729195,2.631572672053813,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1985,30-45 y.,5th Quintile,724,2.779254249169948,2.6830090457556466,2.8754994525842497,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,46-65 y.,1st Quintile,524,2.1987670313076126,2.0947561695625305,2.3027778930526948,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
