year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,male,2912,3.62170,3.52566,3.71773,2.00000,3.00000,5.00000,1.0,9.50000,3.0,3.00000,3.00000
1984,No migration background,female,2975,3.16852,3.08621,3.25083,2.00000,2.00000,4.00000,1.0,7.00000,2.0,2.00000,3.00000
1984,Direct migration background,male,1187,3.80884,3.65285,3.96483,2.00000,3.00000,5.00000,1.0,9.50000,3.0,3.00000,3.00000
1984,Direct migration background,female,904,3.02304,2.88999,3.15610,2.00000,2.00000,4.00000,1.0,7.00000,2.0,2.00000,3.00000
1984,Indirect migration background,male,48,5.24554,4.13284,6.35823,2.00000,4.00000,9.69148,1.0,16.0,4.0,2.00000,10.00000
1984,Indirect migration background,female,44,2.79823,2.12775,3.46871,1.00000,2.00000,4.00000,1.0,8.50000,2.0,1.00000,4.00000
1985,No migration background,male,3753,2.71635,2.62898,2.80371,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1985,No migration background,female,4115,2.37042,2.29371,2.44713,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1985,Direct migration background,male,1511,2.60192,2.45026,2.75358,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1985,Direct migration background,female,1340,2.04303,1.89917,2.18689,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,2.00000
1985,Indirect migration background,male,61,4.51589,3.65574,5.37604,1.00000,4.00000,8.00000,0.0,10.0,4.0,2.00000,8.00000
1985,Indirect migration background,female,78,2.42217,1.79246,3.05188,0.13278,2.00000,3.00000,0.0,7.30083,2.0,1.00000,3.00000
1986,No migration background,male,3608,2.60428,2.51747,2.69110,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1986,No migration background,female,3922,2.27362,2.19872,2.34853,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1986,Direct migration background,male,1497,2.50019,2.33811,2.66227,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1986,Direct migration background,female,1301,1.90064,1.75608,2.04519,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1986,Indirect migration background,male,68,2.36760,1.72625,3.00896,0.00000,2.00000,4.00000,0.0,10.00000,2.0,0.00000,4.00000
1986,Indirect migration background,female,83,2.40766,1.90848,2.90685,0.29023,2.00000,3.00000,0.0,7.06466,2.0,1.00000,3.00000
1987,No migration background,male,3565,2.66242,2.57515,2.74970,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1987,No migration background,female,3837,2.32912,2.25225,2.40599,1.00000,2.00000,3.00000,0.0,6.00000,2.0,2.00000,2.00000
1987,Direct migration background,male,1490,2.50331,2.34162,2.66501,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1987,Direct migration background,female,1299,2.05889,1.91680,2.20099,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,2.00000
1987,Indirect migration background,male,80,3.43262,2.75020,4.11504,1.00000,3.00000,4.00000,0.0,8.50000,3.0,1.00000,4.00000
1987,Indirect migration background,female,93,2.01467,1.54441,2.48494,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1988,No migration background,male,3392,2.64337,2.55357,2.73317,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1988,No migration background,female,3640,2.25286,2.17718,2.32854,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1988,Direct migration background,male,1398,2.28710,2.12799,2.44621,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,2.00000
1988,Direct migration background,female,1256,1.90624,1.77179,2.04068,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1988,Indirect migration background,male,103,2.38711,1.87324,2.90099,0.00000,2.00000,4.00000,0.0,10.00000,2.0,0.00000,3.00000
1988,Indirect migration background,female,115,2.73545,2.29233,3.17857,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,3.00000
1989,No migration background,male,3273,2.64580,2.55282,2.73879,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1989,No migration background,female,3496,2.22055,2.14231,2.29878,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1989,Direct migration background,male,1335,2.37776,2.22051,2.53502,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1989,Direct migration background,female,1231,1.96018,1.81703,2.10333,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,2.00000
1989,Indirect migration background,male,120,2.54143,2.03278,3.05009,0.00000,2.00000,3.64389,0.0,9.10973,2.0,1.97500,3.00000
1989,Indirect migration background,female,135,2.30060,1.83060,2.77060,0.00000,2.00000,4.00000,0.0,10.00000,2.0,0.97500,2.00000
1990,No migration background,male,1989,2.68097,2.55319,2.80875,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1990,No migration background,female,2191,2.34029,2.23321,2.44736,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1990,Direct migration background,male,64,2.43516,1.68903,3.18130,0.00000,2.00000,4.00000,0.0,10.00000,2.0,0.00000,2.00000
1990,Direct migration background,female,77,2.34807,1.61301,3.08313,0.00000,1.00000,4.00000,0.0,10.00000,1.0,0.00000,2.00000
1990,Indirect migration background,male,,,,,,,,,,,,
1990,Indirect migration background,female,,,,,,,,,,,,
1991,No migration background,male,,,,,,,,,,,,
1991,No migration background,female,,,,,,,,,,,,
1991,Direct migration background,male,,,,,,,,,,,,
1991,Direct migration background,female,,,,,,,,,,,,
1991,Indirect migration background,male,,,,,,,,,,,,
1991,Indirect migration background,female,,,,,,,,,,,,
1992,No migration background,male,4748,3.49249,3.40359,3.58139,1.00000,3.00000,5.00000,0.0,11.00000,3.0,3.00000,3.00000
1992,No migration background,female,5239,3.06892,2.99029,3.14756,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1992,Direct migration background,male,1251,3.58978,3.41895,3.76061,1.00000,3.00000,5.00000,0.0,11.00000,3.0,3.00000,3.00000
1992,Direct migration background,female,1154,2.68467,2.53269,2.83665,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1992,Indirect migration background,male,191,4.29835,3.80485,4.79185,2.00000,4.00000,6.00000,0.0,12.00000,4.0,3.00000,4.00000
1992,Indirect migration background,female,192,2.76922,2.41626,3.12219,0.89757,2.00000,4.00000,0.0,8.65364,2.0,2.00000,3.00000
1993,No migration background,male,4649,3.45049,3.35837,3.54261,1.00000,3.00000,5.00000,0.0,11.00000,3.0,3.00000,3.00000
1993,No migration background,female,5147,3.11050,3.03096,3.19004,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,3.00000
1993,Direct migration background,male,1214,3.84911,3.65638,4.04184,1.00000,3.00000,6.00000,0.0,13.50000,3.0,3.00000,4.00000
1993,Direct migration background,female,1126,2.90911,2.74126,3.07696,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,3.00000
1993,Indirect migration background,male,220,4.92018,4.40580,5.43457,2.00000,4.00000,8.00000,0.0,15.0,4.0,3.00000,5.00000
1993,Indirect migration background,female,219,3.21487,2.85384,3.57589,1.00000,3.00000,5.00000,0.0,11.00000,3.0,2.00000,3.00000
1994,No migration background,male,,,,,,,,,,,,
1994,No migration background,female,,,,,,,,,,,,
1994,Direct migration background,male,,,,,,,,,,,,
1994,Direct migration background,female,,,,,,,,,,,,
1994,Indirect migration background,male,,,,,,,,,,,,
1994,Indirect migration background,female,,,,,,,,,,,,
1995,No migration background,male,4573,3.50224,3.41252,3.59196,1.00000,3.00000,5.00000,0.0,11.00000,3.0,3.00000,3.00000
1995,No migration background,female,5089,3.23211,3.15226,3.31197,1.00000,3.00000,5.00000,0.0,11.00000,3.0,3.00000,3.00000
1995,Direct migration background,male,1323,3.58452,3.40655,3.76249,1.00000,3.00000,5.00000,0.0,11.00000,3.0,3.00000,3.00000
1995,Direct migration background,female,1304,2.83075,2.67945,2.98204,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1995,Indirect migration background,male,236,4.52054,4.10122,4.93986,2.00000,4.00000,6.00000,0.0,12.00000,4.0,3.00000,5.00000
1995,Indirect migration background,female,243,4.19123,3.74858,4.63389,1.00000,3.00000,6.00000,0.0,13.0,3.0,3.00000,4.00000
1996,No migration background,male,,,,,,,,,,,,
1996,No migration background,female,,,,,,,,,,,,
1996,Direct migration background,male,,,,,,,,,,,,
1996,Direct migration background,female,,,,,,,,,,,,
1996,Indirect migration background,male,,,,,,,,,,,,
1996,Indirect migration background,female,,,,,,,,,,,,
1997,No migration background,male,4299,3.76205,3.66606,3.85803,2.00000,3.00000,5.00000,0.0,9.50000,3.0,3.00000,3.00000
