year,pgisced97,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,in school,1. Quintil,45,3.649797067360064,3.3587193183155426,3.9408748164045857,2.0,3.0,5.0,1.0,9.0,3.0,2.0,3.0
1984,in school,2. Quintil,,,,,,,,,,,,
1984,in school,3. Quintil,,,,,,,,,,,,
1984,in school,4. Quintil,,,,,,,,,,,,
1984,in school,5. Quintil,,,,,,,,,,,,
1984,inadequately,1. Quintil,400,3.3451824131518353,3.2158380747060544,3.474526751597616,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,inadequately,2. Quintil,102,2.634850676101254,2.497041502402828,2.7726598497996795,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,inadequately,3. Quintil,,,,,,,,,,,,
1984,inadequately,4. Quintil,,,,,,,,,,,,
1984,inadequately,5. Quintil,,,,,,,,,,,,
1984,general elemantary,1. Quintil,1446,3.248666202355621,3.1868289710143074,3.310503433696935,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,general elemantary,2. Quintil,396,3.3442607781784957,3.2315463202449917,3.4569752361119996,2.0,3.0,5.0,1.0,9.5,3.0,3.0,4.0
1984,general elemantary,3. Quintil,123,3.7478262561392066,3.486465324440197,4.009187187838217,2.0,3.0,5.0,1.0,9.5,3.0,3.0,4.0
1984,general elemantary,4. Quintil,33,3.0536075318266733,2.658518016962956,3.448697046690391,1.4167881323644043,2.0,4.0,1.0,7.874817801453394,2.0,0.0,2.0
1984,general elemantary,5. Quintil,,,,,,,,,,,,
1984,middle vocational,1. Quintil,2154,3.4127729911437252,3.3609458652073934,3.464600117080057,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,middle vocational,2. Quintil,1089,3.4478614454211005,3.3781002076882745,3.5176226831539266,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
1984,middle vocational,3. Quintil,454,3.6453777799292566,3.5284918085870065,3.7622637512715067,2.0,3.0,5.0,1.0,9.5,3.0,3.0,3.0
1984,middle vocational,4. Quintil,166,3.158122085802686,2.9947829828006594,3.3214611888047125,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,middle vocational,5. Quintil,35,3.295973589913206,2.9281963902437664,3.6637507895826453,2.0,2.4281999567094035,4.0,1.0,7.0,2.0,0.0,2.0
1984,vocational + Abi,1. Quintil,116,3.6074085186052502,3.3858238499607256,3.828993187249775,2.0,3.0,5.0,1.0,9.5,3.0,2.0,4.0
1984,vocational + Abi,2. Quintil,51,4.20629983515705,3.8387868283861892,4.573812841927911,2.0,4.0,6.0,1.0,10.0,4.0,3.0,6.0
1984,vocational + Abi,3. Quintil,37,4.565934599117611,4.038541997272454,5.093327200962768,2.0,3.0,7.1401521859058645,1.0,12.0,3.0,1.0,4.0
1984,vocational + Abi,4. Quintil,,,,,,,,,,,,
1984,vocational + Abi,5. Quintil,,,,,,,,,,,,
1984,higher vocational,1. Quintil,189,3.3876224144518177,3.227661511184052,3.5475833177195835,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0249999999999995
1984,higher vocational,2. Quintil,153,2.937826569852025,2.7902190126054585,3.0854341270985914,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,higher vocational,3. Quintil,71,4.011227739466426,3.700172866050782,4.32228261288207,2.0,3.0,5.024452866028143,1.0,9.561132165070358,3.0,2.0,3.0
1984,higher vocational,4. Quintil,39,3.031453244316485,2.7559310248793993,3.306975463753571,2.0,2.0,4.0,1.0,7.0,2.0,0.0,2.0
1984,higher vocational,5. Quintil,,,,,,,,,,,,
1984,higher education,1. Quintil,170,3.4925922432124934,3.3052594184120236,3.679925068012963,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
1984,higher education,2. Quintil,159,3.158565615505267,2.979287276943813,3.337843954066721,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
1984,higher education,3. Quintil,136,2.918327822779097,2.7450128963465463,3.0916427492116476,1.0,2.0,4.0,1.0,8.5,2.0,1.0,2.0
