year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,1st Quintile,Urban regions,1693,2.42228,2.26556,2.58331,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1985,1st Quintile,Rural regions,511,2.14297,1.92751,2.37987,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,3.00000
1985,2nd Quintile,Urban regions,1614,2.28500,2.13094,2.42568,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1985,2nd Quintile,Rural regions,508,2.00545,1.82833,2.19512,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1985,3rd Quintile,Urban regions,1701,2.56602,2.40475,2.71423,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1985,3rd Quintile,Rural regions,468,2.43359,2.20337,2.61545,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1985,4th Quintile,Urban regions,1797,2.74830,2.61309,2.87359,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1985,4th Quintile,Rural regions,410,2.51788,2.28807,2.75357,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1985,5th Quintile,Urban regions,1716,2.75637,2.62727,2.88633,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1985,5th Quintile,Rural regions,433,2.67890,2.42858,2.88541,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1986,1st Quintile,Urban regions,1607,2.23239,2.07884,2.37253,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1986,1st Quintile,Rural regions,434,1.95367,1.69333,2.19350,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1986,2nd Quintile,Urban regions,1556,2.21989,2.05475,2.37442,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1986,2nd Quintile,Rural regions,506,2.10247,1.90794,2.28107,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,3.00000
1986,3rd Quintile,Urban regions,1632,2.29026,2.17325,2.42140,0.00000,2.00000,4.00000,0.0,10.00000,2.0,2.00000,2.00000
1986,3rd Quintile,Rural regions,457,2.26643,2.06936,2.49145,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1986,4th Quintile,Urban regions,1748,2.75162,2.60690,2.86755,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1986,4th Quintile,Rural regions,447,2.29590,2.08754,2.53110,1.00000,2.00000,3.00000,0.0,6.00000,2.0,2.00000,2.00000
1986,5th Quintile,Urban regions,1696,2.77351,2.63553,2.93333,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,2.00000
1986,5th Quintile,Rural regions,390,2.36857,2.10670,2.62914,1.00000,2.00000,3.00000,0.0,6.00000,2.0,2.00000,2.00000
1987,1st Quintile,Urban regions,1542,2.24042,2.09542,2.40494,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1987,1st Quintile,Rural regions,467,1.73847,1.54903,1.92646,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1987,2nd Quintile,Urban regions,1549,2.38933,2.23101,2.55934,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1987,2nd Quintile,Rural regions,483,2.12660,1.90556,2.31537,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,3.00000
