year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,8329,2.54510798858502,2.516714654636387,2.5735013225336525,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,Rural regions,2269,2.292289919418428,2.247257937476195,2.3373219013606605,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1986,Urban regions,8032,2.4671610632904883,2.4387869913975933,2.4955351351833834,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1986,Rural regions,2188,2.179945347105448,2.1354268066799706,2.2244638875309253,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1987,Urban regions,7976,2.551226010285589,2.5224449503384814,2.5800070702326967,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1987,Rural regions,2151,2.144405829590819,2.10136745788699,2.1874442012946482,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1988,Urban regions,7666,2.442568875988855,2.4145022748333114,2.4706354771443984,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,Rural regions,2026,2.212781526065622,2.1652491686263104,2.2603138835049332,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1989,Urban regions,7486,2.4442112408003536,2.415134218340935,2.4732882632597724,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1989,Rural regions,1922,2.150878226278571,2.102877368134448,2.198879084422694,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1990,Urban regions,1417,3.0953502815138756,3.0192712591119832,3.171429303915768,1.0,2.0,4.0,0.0,8.5,2.0,1.9749999999999943,2.0
1990,Rural regions,2751,2.1094730101403973,2.06463315066725,2.1543128696135447,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1991,Urban regions,,,,,,,,,,,,
1991,Rural regions,,,,,,,,,,,,
1992,Urban regions,8156,3.383715346236428,3.35163723261028,3.415793459862576,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1992,Rural regions,4295,2.942315239532836,2.9009933876967002,2.983637091368972,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1993,Urban regions,8054,3.4099999249827073,3.376793003695116,3.4432068462702987,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1993,Rural regions,4314,2.9991257048585824,2.95683003479732,3.0414213749198447,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1994,Urban regions,,,,,,,,,,,,
1994,Rural regions,,,,,,,,,,,,
1995,Urban regions,8224,3.459782370636115,3.427449931446344,3.492114809825886,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1995,Rural regions,4333,3.0764424338668377,3.035566266818617,3.117318600915058,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1996,Urban regions,,,,,,,,,,,,
1996,Rural regions,,,,,,,,,,,,
1997,Urban regions,7617,3.6996232539961036,3.664823743171106,3.734422764821101,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1997,Rural regions,4111,3.343680808331977,3.300332640739465,3.3870289759244887,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1998,Urban regions,,,,,,,,,,,,
1998,Rural regions,,,,,,,,,,,,
1999,Urban regions,8497,3.5153517638595977,3.4826584324380097,3.5480450952811857,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1999,Rural regions,4604,3.1417831485177943,3.1020134779576787,3.18155281907791,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
2000,Urban regions,,,,,,,,,,,,
2000,Rural regions,,,,,,,,,,,,
2001,Urban regions,13847,3.8900267437100986,3.86316344619493,3.916890041225267,1.0,3.0,6.0,0.0,13.5,3.0,3.0,3.0
2001,Rural regions,7358,3.6406497082692457,3.6062799491312965,3.675019467407195,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
2002,Urban regions,,,,,,,,,,,,
2002,Rural regions,,,,,,,,,,,,
2003,Urban regions,14502,3.8892091464907073,3.8626711496303696,3.915747143351045,1.0,3.0,6.0,0.0,13.5,3.0,3.0,3.0
2003,Rural regions,7297,3.569927092978089,3.534264696886097,3.605589489070081,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
2004,Urban regions,,,,,,,,,,,,
2004,Rural regions,,,,,,,,,,,,
2005,Urban regions,13527,3.7733804174857335,3.746887442440687,3.79987339253078,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
2005,Rural regions,6812,3.4935830769302583,3.4575826928360973,3.529583461024419,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
2006,Urban regions,,,,,,,,,,,,
2006,Rural regions,,,,,,,,,,,,
2007,Urban regions,13426,3.7475465217051567,3.721027493449409,3.774065549960904,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
2007,Rural regions,7062,3.4805718353841146,3.4432091749218166,3.5179344958464127,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
2008,Urban regions,,,,,,,,,,,,
2008,Rural regions,,,,,,,,,,,,
2009,Urban regions,11663,3.6083167549230546,3.5796495953540917,3.6369839144920175,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
2009,Rural regions,6330,3.3270562525708756,3.2888082529187534,3.3653042522229977,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
2010,Urban regions,,,,,,,,,,,,
2010,Rural regions,,,,,,,,,,,,
2011,Urban regions,18147,3.3080064109485625,3.2863450744073286,3.3296677474897964,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
