year,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,3.779348254376556,3.743068756335046,3.8156277524180657,2.0,3.0,5.0,1.0,9.5,3.0,3.0,3.0,5399.0
1984,direkter Migrationshintergrund,4.498088390225836,4.428117938691228,4.568058841760443,2.0,4.0,6.0,1.0,12.0,4.0,4.0,4.0,2038.0
1984,indirekter Migrationshintergrund,3.6259236408880113,3.198573864364304,4.053273417411719,1.0,2.0,5.77935900266525,1.0,12.948397506663124,2.0,-1.0,3.0,64.0
1985,kein Migrationshintergrund,1.8443521924505433,1.82284568543045,1.8658586994706365,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0,7798.0
1985,direkter Migrationshintergrund,2.1052862033740944,2.063967795322266,2.1466046114259227,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0,2850.0
1985,indirekter Migrationshintergrund,1.610685057820982,1.417576829998876,1.8037932856430878,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,109.0
1986,kein Migrationshintergrund,1.8163769855282126,1.7950033410353496,1.8377506300210755,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0,7442.0
1986,direkter Migrationshintergrund,2.059403365669149,2.0184308410303835,2.100375890307914,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0,2742.0
1986,indirekter Migrationshintergrund,1.534228129084633,1.3903510852419636,1.6781051729273022,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,135.0
1987,kein Migrationshintergrund,1.8361673231930293,1.8152901121206835,1.8570445342653752,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0,7316.0
1987,direkter Migrationshintergrund,2.1133454393865634,2.0728614392964273,2.1538294394766995,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0,2743.0
1987,indirekter Migrationshintergrund,1.752211614725116,1.5823839357292049,1.9220392937210273,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,155.0
1988,kein Migrationshintergrund,1.853572721765025,1.8323572032969744,1.8747882402330758,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0,6917.0
1988,direkter Migrationshintergrund,2.0740537191184387,2.034376518926549,2.1137309193103286,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0,2618.0
1988,indirekter Migrationshintergrund,1.7909521866531546,1.6603059854109832,1.921598387895326,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0,168.0
1989,kein Migrationshintergrund,1.8775851969123931,1.8558262512166626,1.8993441426081237,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0,6666.0
1989,direkter Migrationshintergrund,2.1344011049908835,2.0941324496116502,2.174669760370117,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0,2545.0
