year,age_gr,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,under 18 y.,Pre-primary Level,,,,,,,,,,,,
1984,under 18 y.,Primary Level,,,,,,,,,,,,
1984,under 18 y.,Lower Secondary Level,,,,,,,,,,,,
1984,under 18 y.,Upper Secondary Level,,,,,,,,,,,,
1984,18-29 y.,Pre-primary Level,,,,,,,,,,,,
1984,18-29 y.,Primary Level,,,,,,,,,,,,
1984,18-29 y.,Lower Secondary Level,,,,,,,,,,,,
1984,18-29 y.,Upper Secondary Level,,,,,,,,,,,,
1984,18-29 y.,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,18-29 y.,First Stage of Tertiary Education,,,,,,,,,,,,
1984,18-29 y.,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,30-45 y.,Primary Level,,,,,,,,,,,,
1984,30-45 y.,Lower Secondary Level,,,,,,,,,,,,
1984,30-45 y.,Upper Secondary Level,,,,,,,,,,,,
1984,30-45 y.,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,30-45 y.,First Stage of Tertiary Education,,,,,,,,,,,,
1984,30-45 y.,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,46-65 y.,Primary Level,,,,,,,,,,,,
1984,46-65 y.,Lower Secondary Level,,,,,,,,,,,,
1984,46-65 y.,Upper Secondary Level,,,,,,,,,,,,
1984,46-65 y.,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,46-65 y.,First Stage of Tertiary Education,,,,,,,,,,,,
1984,46-65 y.,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,66 and older,Primary Level,,,,,,,,,,,,
1984,66 and older,Lower Secondary Level,,,,,,,,,,,,
1984,66 and older,Upper Secondary Level,,,,,,,,,,,,
1984,66 and older,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,66 and older,First Stage of Tertiary Education,,,,,,,,,,,,
1984,66 and older,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,under 18 y.,Pre-primary Level,,,,,,,,,,,,
1985,under 18 y.,Primary Level,,,,,,,,,,,,
1985,under 18 y.,Lower Secondary Level,,,,,,,,,,,,
1985,under 18 y.,Upper Secondary Level,,,,,,,,,,,,
1985,18-29 y.,Pre-primary Level,89,0.10482011707367042,0.033803149802624555,0.1758370843447163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,18-29 y.,Primary Level,147,2.1414393297798435,1.7895918943460205,2.4932867652136665,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
1985,18-29 y.,Lower Secondary Level,821,0.982465912208318,0.8982862913508218,1.0666455330658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,18-29 y.,Upper Secondary Level,1422,1.2772831522709054,1.1978100392954145,1.3567562652463963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,18-29 y.,Post-secondary Non-tertiary Level,110,1.157030316645514,0.8613460954224857,1.4527145378685424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,18-29 y.,First Stage of Tertiary Education,110,1.7734481960512016,1.4206869196022633,2.12620947250014,0.0,0.0,0.8424305560601604,0.0,2.1060763901504007,0.0,0.0,0.0
1985,18-29 y.,Second Stage of Tertiary Education,120,1.1547733067367267,0.8772676476691175,1.432278965804336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,30-45 y.,Primary Level,320,2.3502128546136367,2.1761846613986124,2.524241047828661,0.0,1.0,4.0,0.0,10.0,1.0,0.0,2.0
1985,30-45 y.,Lower Secondary Level,679,2.42045826111542,2.2970434619767084,2.5438730602541315,0.0,1.0,4.0,0.0,10.0,1.0,1.0,2.0
1985,30-45 y.,Upper Secondary Level,1760,2.2370360815578287,2.163261153457036,2.3108110096586216,0.0,0.0,4.0,0.0,10.0,0.0,-1.0,0.0
1985,30-45 y.,Post-secondary Non-tertiary Level,87,2.106912052711125,1.7327737523746125,2.4810503530476375,0.0,0.0,3.0,0.0,7.5,0.0,-1.0,0.0
1985,30-45 y.,First Stage of Tertiary Education,233,2.439028669605286,2.223584565785758,2.6544727734248137,0.0,1.0,4.0,0.0,10.0,1.0,0.0,2.0
1985,30-45 y.,Second Stage of Tertiary Education,362,2.3041787307157255,2.131413942214017,2.4769435192174343,0.0,0.0,4.0,0.0,10.0,0.0,-1.0,0.0
1985,46-65 y.,Primary Level,337,0.8362948855404726,0.725303874895231,0.9472858961857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,46-65 y.,Lower Secondary Level,999,0.36931102262830867,0.32418082115958163,0.4144412240970357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
