year,age_gr,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,0-16 y.,Urban regions,,,,,,,,,,,,
1985,0-16 y.,Rural regions,,,,,,,,,,,,
1985,17-29 y.,Urban regions,2487,1.02154,0.91022,1.13287,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,17-29 y.,Rural regions,652,1.34260,1.09308,1.59212,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,30-45 y.,Urban regions,2748,2.24535,2.12168,2.36903,0.00000,0.00000,4.00000,0.0,10.00000,0.0,0.00000,1.00000
1985,30-45 y.,Rural regions,725,2.42937,2.18113,2.67760,0.00000,1.00000,4.00000,0.0,10.00000,1.0,0.97500,1.00000
1985,46-65 y.,Urban regions,2605,0.30439,0.25382,0.35496,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,46-65 y.,Rural regions,699,0.29382,0.21662,0.37102,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,66 and older,Urban regions,816,0.06421,0.03145,0.09696,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,66 and older,Rural regions,291,0.10827,0.04217,0.17437,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,0-16 y.,Urban regions,,,,,,,,,,,,
1986,0-16 y.,Rural regions,,,,,,,,,,,,
1986,17-29 y.,Urban regions,2413,1.07814,0.95931,1.19696,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,17-29 y.,Rural regions,641,1.37405,1.12820,1.61990,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,30-45 y.,Urban regions,2597,2.39002,2.25358,2.52645,0.00000,0.00000,4.00000,0.0,10.00000,0.0,0.00000,1.00000
1986,30-45 y.,Rural regions,672,2.87875,2.59112,3.16639,0.00000,2.00000,4.00000,0.0,10.00000,2.0,1.00000,2.00000
1986,46-65 y.,Urban regions,2553,0.31956,0.27204,0.36709,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,46-65 y.,Rural regions,675,0.39778,0.28908,0.50647,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,66 and older,Urban regions,764,0.06628,0.02467,0.10789,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,66 and older,Rural regions,267,0.07896,0.01766,0.14026,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,0-16 y.,Urban regions,,,,,,,,,,,,
1987,0-16 y.,Rural regions,,,,,,,,,,,,
1987,17-29 y.,Urban regions,2365,1.18263,1.06000,1.30527,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,17-29 y.,Rural regions,643,1.51315,1.23468,1.79161,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,30-45 y.,Urban regions,2519,2.74189,2.59244,2.89134,0.00000,1.00000,4.00000,0.0,10.00000,1.0,0.00000,1.00000
1987,30-45 y.,Rural regions,649,3.00114,2.68359,3.31869,0.00000,2.00000,4.00000,0.0,10.00000,2.0,1.00000,2.00000
1987,46-65 y.,Urban regions,2548,0.34605,0.29202,0.40007,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,46-65 y.,Rural regions,660,0.35924,0.26805,0.45043,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,66 and older,Urban regions,796,0.12440,0.06372,0.18509,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,66 and older,Rural regions,272,0.11999,0.02817,0.21181,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,0-16 y.,Urban regions,,,,,,,,,,,,
1988,0-16 y.,Rural regions,,,,,,,,,,,,
1988,17-29 y.,Urban regions,2294,1.20736,1.07528,1.33943,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,17-29 y.,Rural regions,577,1.46498,1.20230,1.72767,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,30-45 y.,Urban regions,2333,2.80503,2.64625,2.96381,0.00000,1.00000,4.00000,0.0,10.00000,1.0,0.00000,1.00000
1988,30-45 y.,Rural regions,619,2.86624,2.56898,3.16350,0.00000,2.00000,4.00000,0.0,10.00000,2.0,1.00000,2.00000
1988,46-65 y.,Urban regions,2479,0.34996,0.29261,0.40730,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,46-65 y.,Rural regions,630,0.46294,0.33391,0.59198,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,66 and older,Urban regions,780,0.08498,0.03668,0.13328,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,66 and older,Rural regions,256,0.10284,0.01481,0.19087,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,0-16 y.,Urban regions,,,,,,,,,,,,
1989,0-16 y.,Rural regions,,,,,,,,,,,,
1989,17-29 y.,Urban regions,2263,1.34276,1.19185,1.49366,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,17-29 y.,Rural regions,564,1.45954,1.15820,1.76087,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,30-45 y.,Urban regions,2269,2.98642,2.81896,3.15387,0.00000,1.00000,5.00000,0.0,12.50000,1.0,1.00000,2.00000
1989,30-45 y.,Rural regions,572,3.07975,2.75093,3.40856,0.00000,2.00000,5.00000,0.0,12.50000,2.0,1.00000,2.00000
1989,46-65 y.,Urban regions,2393,0.36895,0.31152,0.42637,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,46-65 y.,Rural regions,589,0.51964,0.33941,0.69988,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,66 and older,Urban regions,760,0.10315,0.03872,0.16758,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,66 and older,Rural regions,251,0.05485,0.00381,0.10589,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,0-16 y.,Urban regions,,,,,,,,,,,,
1990,0-16 y.,Rural regions,,,,,,,,,,,,
1990,17-29 y.,Urban regions,2516,1.17125,1.02526,1.31723,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,17-29 y.,Rural regions,1315,1.76667,1.54909,1.98425,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,30-45 y.,Urban regions,2735,1.71761,1.58186,1.85337,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1990,30-45 y.,Rural regions,1531,1.91161,1.73289,2.09033,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,0.00000
1990,46-65 y.,Urban regions,2788,0.20213,0.16321,0.24106,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,46-65 y.,Rural regions,1449,0.23239,0.16283,0.30195,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,66 and older,Urban regions,912,0.07832,0.03157,0.12508,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,66 and older,Rural regions,546,0.04962,0.01821,0.08104,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1991,0-16 y.,Urban regions,,,,,,,,,,,,
1991,0-16 y.,Rural regions,,,,,,,,,,,,
1991,17-29 y.,Urban regions,,,,,,,,,,,,
1991,17-29 y.,Rural regions,,,,,,,,,,,,
1991,30-45 y.,Urban regions,,,,,,,,,,,,
1991,30-45 y.,Rural regions,,,,,,,,,,,,
1991,46-65 y.,Urban regions,,,,,,,,,,,,
1991,46-65 y.,Rural regions,,,,,,,,,,,,
1991,66 and older,Urban regions,,,,,,,,,,,,
1991,66 and older,Rural regions,,,,,,,,,,,,
1992,0-16 y.,Urban regions,,,,,,,,,,,,
1992,0-16 y.,Rural regions,,,,,,,,,,,,
1992,17-29 y.,Urban regions,2355,1.60477,1.43303,1.77652,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,17-29 y.,Rural regions,1181,2.34476,2.08895,2.60057,0.00000,0.00000,3.00000,0.0,7.50000,0.0,0.00000,0.00000
1992,30-45 y.,Urban regions,2711,3.46227,3.29084,3.63370,0.00000,2.00000,5.00000,0.0,12.50000,2.0,1.00000,2.00000
1992,30-45 y.,Rural regions,1493,3.19533,2.99503,3.39563,0.00000,2.00000,5.00000,0.0,12.50000,2.0,2.00000,2.00000
1992,46-65 y.,Urban regions,2652,0.44986,0.38446,0.51526,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,46-65 y.,Rural regions,1356,0.36176,0.28181,0.44171,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,66 and older,Urban regions,927,0.13348,0.07457,0.19239,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,66 and older,Rural regions,515,0.09557,0.04679,0.14435,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,0-16 y.,Urban regions,,,,,,,,,,,,
1993,0-16 y.,Rural regions,,,,,,,,,,,,
1993,17-29 y.,Urban regions,2316,1.58476,1.40710,1.76241,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,17-29 y.,Rural regions,1166,2.43705,2.16611,2.70799,0.00000,0.00000,3.00000,0.0,7.50000,0.0,0.00000,0.00000
1993,30-45 y.,Urban regions,2712,3.56285,3.38166,3.74405,0.00000,1.00000,6.00000,0.0,15.00000,1.0,1.00000,2.00000
1993,30-45 y.,Rural regions,1486,3.48141,3.24949,3.71332,0.00000,2.00000,5.00000,0.0,12.50000,2.0,1.00000,2.00000
1993,46-65 y.,Urban regions,2616,0.38271,0.32241,0.44301,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,46-65 y.,Rural regions,1334,0.33016,0.25950,0.40082,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,66 and older,Urban regions,941,0.08016,0.04051,0.11981,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,66 and older,Rural regions,530,0.11844,0.05696,0.17991,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1994,0-16 y.,Urban regions,,,,,,,,,,,,
1994,0-16 y.,Rural regions,,,,,,,,,,,,
1994,17-29 y.,Urban regions,,,,,,,,,,,,
1994,17-29 y.,Rural regions,,,,,,,,,,,,
1994,30-45 y.,Urban regions,,,,,,,,,,,,
1994,30-45 y.,Rural regions,,,,,,,,,,,,
1994,46-65 y.,Urban regions,,,,,,,,,,,,
1994,46-65 y.,Rural regions,,,,,,,,,,,,
1994,66 and older,Urban regions,,,,,,,,,,,,
1994,66 and older,Rural regions,,,,,,,,,,,,
1995,0-16 y.,Urban regions,,,,,,,,,,,,
1995,0-16 y.,Rural regions,,,,,,,,,,,,
1995,17-29 y.,Urban regions,2229,1.66628,1.48033,1.85223,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1995,17-29 y.,Rural regions,1126,2.15339,1.89128,2.41550,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1995,30-45 y.,Urban regions,2883,3.72283,3.53734,3.90832,0.00000,1.00000,6.00000,0.0,15.00000,1.0,1.00000,2.00000
1995,30-45 y.,Rural regions,1557,3.48484,3.25388,3.71579,0.00000,2.00000,5.00000,0.0,12.50000,2.0,1.00000,2.00000
1995,46-65 y.,Urban regions,2597,0.40036,0.34166,0.45907,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1995,46-65 y.,Rural regions,1370,0.47472,0.37704,0.57241,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1995,66 and older,Urban regions,1007,0.12353,0.07350,0.17357,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1995,66 and older,Rural regions,515,0.09862,0.04375,0.15348,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1996,0-16 y.,Urban regions,,,,,,,,,,,,
1996,0-16 y.,Rural regions,,,,,,,,,,,,
1996,17-29 y.,Urban regions,,,,,,,,,,,,
1996,17-29 y.,Rural regions,,,,,,,,,,,,
1996,30-45 y.,Urban regions,,,,,,,,,,,,
1996,30-45 y.,Rural regions,,,,,,,,,,,,
1996,46-65 y.,Urban regions,,,,,,,,,,,,
1996,46-65 y.,Rural regions,,,,,,,,,,,,
1996,66 and older,Urban regions,,,,,,,,,,,,
1996,66 and older,Rural regions,,,,,,,,,,,,
1997,0-16 y.,Urban regions,,,,,,,,,,,,
1997,0-16 y.,Rural regions,,,,,,,,,,,,
1997,17-29 y.,Urban regions,1972,1.72141,1.51409,1.92873,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
