year,migback,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,in school,,,,,,,,,,,,
1984,No migration background,inadequately,,,,,,,,,,,,
1984,No migration background,general elementary,,,,,,,,,,,,
1984,No migration background,middle vocational,,,,,,,,,,,,
1984,No migration background,vocational + Abi,,,,,,,,,,,,
1984,No migration background,higher vocational,,,,,,,,,,,,
1984,No migration background,higher education,,,,,,,,,,,,
1984,Direct migration background,in school,,,,,,,,,,,,
1984,Direct migration background,inadequately,,,,,,,,,,,,
1984,Direct migration background,general elementary,,,,,,,,,,,,
1984,Direct migration background,middle vocational,,,,,,,,,,,,
1984,Direct migration background,vocational + Abi,,,,,,,,,,,,
1984,Direct migration background,higher vocational,,,,,,,,,,,,
1984,Direct migration background,higher education,,,,,,,,,,,,
1984,Indirect migration background,in school,,,,,,,,,,,,
1984,Indirect migration background,inadequately,,,,,,,,,,,,
1984,Indirect migration background,general elementary,,,,,,,,,,,,
1984,Indirect migration background,middle vocational,,,,,,,,,,,,
1984,Indirect migration background,vocational + Abi,,,,,,,,,,,,
1984,Indirect migration background,higher vocational,,,,,,,,,,,,
1984,Indirect migration background,higher education,,,,,,,,,,,,
1985,No migration background,in school,75,0.013616323286520618,0.0009033877547710515,0.026329258818270182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,No migration background,inadequately,73,1.1004025190451037,0.7509973906009899,1.4498076474892174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,No migration background,general elementary,2005,0.6565794779051407,0.6129962640210289,0.7001626917892525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,No migration background,middle vocational,4219,1.0256788607568421,0.9881676514802136,1.0631900700334707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,No migration background,vocational + Abi,174,0.9699168455319367,0.7554971716520527,1.1843365194118207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,No migration background,higher vocational,567,1.1811037993686375,1.071818957835187,1.290388640902088,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,No migration background,higher education,640,1.2668510361195984,1.162072624721462,1.3716294475177346,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Direct migration background,in school,,,,,,,,,,,,
1985,Direct migration background,inadequately,741,2.0446935918164506,1.9215035160592273,2.167883667573674,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
1985,Direct migration background,general elementary,878,1.3724074394247392,1.2831082032368017,1.4617066756126766,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1985,Direct migration background,middle vocational,901,1.3181731067641231,1.2300991342023924,1.406247079325854,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Direct migration background,vocational + Abi,101,1.5668158863897783,1.3230188935411609,1.8106128792383958,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
1985,Direct migration background,higher vocational,48,1.8754719994427327,1.342006345069125,2.4089376538163405,0.0,0.0,1.2876204314116322,0.0,3.2190510785290805,0.0,0.0,0.0
1985,Direct migration background,higher education,110,1.6028265990711081,1.3364659049187284,1.8691872932234879,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0
1985,Indirect migration background,in school,,,,,,,,,,,,
1985,Indirect migration background,inadequately,,,,,,,,,,,,
1985,Indirect migration background,general elementary,40,0.9008079659513994,0.5974631684271913,1.2041527634756077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Indirect migration background,middle vocational,50,1.2769480558032555,0.8271667057068066,1.7267294058997045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Indirect migration background,higher vocational,,,,,,,,,,,,
1985,Indirect migration background,higher education,,,,,,,,,,,,
1986,No migration background,in school,80,0.026102275874475795,0.009167694511440165,0.043036857237511425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,inadequately,79,1.2039000711539243,0.8429227675016604,1.5648773748061882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,general elementary,1842,0.7225145050002281,0.6725158349711878,0.7725131750292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,middle vocational,4060,1.088521536371595,1.048515802546441,1.128527270196749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,vocational + Abi,171,0.8536783499224538,0.675795914471209,1.0315607853736988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,higher vocational,525,1.329294455803199,1.207592237887386,1.4509966737190119,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,No migration background,higher education,635,1.2893174835991317,1.1767051711670324,1.401929796031231,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Direct migration background,in school,,,,,,,,,,,,
1986,Direct migration background,inadequately,674,1.9426603049931246,1.8259724496385954,2.0593481603476538,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
1986,Direct migration background,general elementary,870,1.4056148950955978,1.3084367719975185,1.502793018193677,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
