year,migback,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,West,,,,,,,,,,,,
1984,Direct migration background,West,,,,,,,,,,,,
1984,Indirect migration background,West,,,,,,,,,,,,
1985,No migration background,West,7977,0.9247217257193232,0.8985917357349301,0.9508517157037163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Direct migration background,West,2906,1.4891094148287825,1.4367743321919741,1.5414444974655908,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1985,Indirect migration background,West,140,0.8344125663119697,0.6355699896871227,1.0332551429368166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,West,7604,0.9950498569838123,0.9666746256762334,1.0234250882913911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Direct migration background,West,2825,1.539067689072082,1.484049399369079,1.594085978775085,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1986,Indirect migration background,West,153,1.2522519475304625,1.0081404034239891,1.496363491636936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,No migration background,West,7466,1.0998264916590608,1.0689892605300482,1.1306637227880734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Direct migration background,West,2813,1.6201654479580243,1.5642991229462324,1.6760317729698162,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1987,Indirect migration background,West,173,1.75761368939745,1.4281386447885152,2.087088734006385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,No migration background,West,7080,1.1165809541542535,1.0846009683437943,1.1485609399647128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Direct migration background,West,2668,1.5914855941752997,1.5325763003998314,1.650394887950768,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1988,Indirect migration background,West,220,1.5005647259434147,1.2755878527294056,1.7255415991574239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,No migration background,West,6817,1.2117048296616095,1.1761618212751008,1.2472478380481182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Direct migration background,West,2588,1.6246560131626246,1.5628686393929887,1.6864433869322606,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1989,Indirect migration background,West,256,1.4131662801223768,1.1736223968991752,1.6527101633455783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,No migration background,West,6636,0.6438627537162749,0.6147211983028196,0.6730043091297302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,No migration background,East,4273,1.828547107937315,1.773673785464024,1.883420430410606,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1990,Direct migration background,West,2531,0.8324744686950054,0.7805152708396339,0.8844336665503769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Direct migration background,East,143,0.7184104565480384,0.566274623272484,0.8705462898235927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Indirect migration background,West,293,0.9581024845929357,0.767594056963685,1.1486109122221864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Indirect migration background,East,,,,,,,,,,,,
1991,No migration background,West,,,,,,,,,,,,
1991,No migration background,East,,,,,,,,,,,,
1991,Direct migration background,West,,,,,,,,,,,,
1991,Direct migration background,East,,,,,,,,,,,,
1991,Indirect migration background,West,,,,,,,,,,,,
1991,Indirect migration background,East,,,,,,,,,,,,
1992,No migration background,West,6535,1.4488600105805818,1.4075387581276555,1.490181263033508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,No migration background,East,3817,1.776948608467195,1.7226788489521645,1.8312183679822256,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1992,Direct migration background,West,2406,1.687200345013733,1.6177333949832922,1.7566672950441737,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1992,Direct migration background,East,145,0.7621594294761187,0.6125220842343304,0.911796774717907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Indirect migration background,West,396,1.0006648951560377,0.8631483795066244,1.138181410805451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Indirect migration background,East,,,,,,,,,,,,
1993,No migration background,West,6476,1.4767978333270586,1.433236288662763,1.5203593779913542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,No migration background,East,3681,1.9390799661909277,1.8778213371727648,2.0003385952090906,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1993,Direct migration background,West,2342,1.5284291592050652,1.4613164750741288,1.5955418433360016,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1993,Direct migration background,East,135,0.8771241467945077,0.6756059347223732,1.078642358866642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Indirect migration background,West,454,0.8456806242380202,0.7265888346887233,0.964772413787317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Indirect migration background,East,,,,,,,,,,,,
1994,No migration background,West,,,,,,,,,,,,
1994,No migration background,East,,,,,,,,,,,,
1994,Direct migration background,West,,,,,,,,,,,,
1994,Direct migration background,East,,,,,,,,,,,,
1994,Indirect migration background,West,,,,,,,,,,,,
1994,Indirect migration background,East,,,,,,,,,,,,
1995,No migration background,West,6465,1.6117294670237432,1.5659414578911166,1.6575174761563698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,No migration background,East,3535,1.720105920044017,1.6604244496856295,1.7797873904024044,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1995,Direct migration background,West,2638,1.6523104138800409,1.5842855243725775,1.7203353033875042,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1995,Direct migration background,East,143,0.6979750278277537,0.5214886925067236,0.8744613631487838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Indirect migration background,West,488,0.7696613153333717,0.6564581780751685,0.8828644525915749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Indirect migration background,East,,,,,,,,,,,,
1996,No migration background,West,,,,,,,,,,,,
1996,No migration background,East,,,,,,,,,,,,
1996,Direct migration background,West,,,,,,,,,,,,
1996,Direct migration background,East,,,,,,,,,,,,
