year,pgisced97,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,West,86,1.4060842506153917,1.2786577218467101,1.5335107793840732,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1984,Primary Level,West,977,0.06198796655230603,0.0473954698341319,0.07658046327048017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Lower Secondary Level,West,3306,0.1536546959109774,0.13899906927445052,0.1683103225475043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Upper Secondary Level,West,5687,0.19439444126235764,0.18273539626092625,0.20605348626378903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Post-secondary Non-tertiary Level,West,309,0.5527239026784344,0.47208952565209406,0.6333582797047748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,First Stage of Tertiary Education,West,660,0.23025858174090783,0.20110792150721504,0.25940924197460064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Second Stage of Tertiary Education,West,790,0.463615600436528,0.42745125765180403,0.49977994322125197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Pre-primary Level,West,89,1.826209308200021,1.6529044773979669,1.9995141390020752,0.2877692903535566,1.0,3.0,0.0,7.068346064469665,1.0,0.0,1.0
1985,Primary Level,West,818,0.034183232648459,0.02493731937132071,0.043429145925597296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Lower Secondary Level,West,2923,0.1674303294429622,0.1547936207050261,0.1800670381808983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Upper Secondary Level,West,5171,0.19435239120165781,0.18377579146410034,0.2049289909392153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Post-secondary Non-tertiary Level,West,275,0.6132625804255001,0.5257058061778423,0.7008193546731578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,First Stage of Tertiary Education,West,620,0.21945008653026404,0.19279146446512255,0.24610870859540554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Second Stage of Tertiary Education,West,755,0.4850614689623809,0.4489396429683683,0.5211832949563935,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Pre-primary Level,West,94,1.7486283030544398,1.5536529453772057,1.943603660731674,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1986,Primary Level,West,757,0.10107655383250294,0.08204297364163987,0.12011013402336601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Lower Secondary Level,West,2765,0.1696989164056417,0.15747956126512017,0.18191827154616322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Upper Secondary Level,West,4985,0.1961851828724797,0.18513749940197027,0.20723286634298915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Post-secondary Non-tertiary Level,West,274,0.49729690029668183,0.4197007783865471,0.5748930222068165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,First Stage of Tertiary Education,West,582,0.21810582263143866,0.1912957061568894,0.2449159391059879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Second Stage of Tertiary Education,West,749,0.5020689939251806,0.46536560162225005,0.5387723862281111,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1987,Pre-primary Level,West,109,1.6726381420200906,1.5449591401076896,1.8003171439324916,0.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1987,Primary Level,West,738,0.07635400821142264,0.054981522725210556,0.09772649369763473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Lower Secondary Level,West,2702,0.14217790038551686,0.13074586376509903,0.1536099370059347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Upper Secondary Level,West,4960,0.21652657906156397,0.20492678448454932,0.22812637363857863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Post-secondary Non-tertiary Level,West,274,0.7427483006295245,0.6568992319522018,0.8285973693068471,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1987,First Stage of Tertiary Education,West,566,0.305014730550396,0.265511980528889,0.344517480571903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Second Stage of Tertiary Education,West,742,0.550943028665898,0.5121305655766852,0.5897554917551107,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1988,Pre-primary Level,West,82,1.678457433591204,1.5179434167819312,1.8389714504004766,0.0,1.7711337180532885,3.0,0.0,6.0,2.0,2.0,3.0
1988,Primary Level,West,681,0.09737778483034845,0.07978605161847661,0.11496951804222029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Lower Secondary Level,West,2611,0.14114808670784437,0.12911976046178247,0.15317641295390627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Upper Secondary Level,West,4729,0.24011040287353325,0.22747906591754297,0.2527417398295235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Post-secondary Non-tertiary Level,West,268,0.6042458425025996,0.5339373273657465,0.6745543576394527,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1988,First Stage of Tertiary Education,West,540,0.18577526405434483,0.16251444139509816,0.2090360867135915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Second Stage of Tertiary Education,West,702,0.5095702310490029,0.46629685509184804,0.5528436070061578,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1989,Pre-primary Level,West,88,1.5660671682710778,1.4331111807480008,1.6990231557941549,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
