year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,5950,0.30480208280926774,0.270899935371046,0.3345014940399199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,female,6209,0.16672441864581536,0.14266235506375313,0.18725286331246482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,male,5414,0.32628360766049075,0.299981437317492,0.35492583515081677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,female,5612,0.17832553841469717,0.1530872523592543,0.19887147638536823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,male,5231,0.3209368648114737,0.29346163925280594,0.3487591916424055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,female,5351,0.17828850066648963,0.1547197808247344,0.20135012304126437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,male,5172,0.33104874974535564,0.3050778025906313,0.36020241023342514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,female,5280,0.20564324969046135,0.18330964778992775,0.22880099248663907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,male,4930,0.348638424192716,0.3137334824375351,0.3826669694668991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,female,5040,0.19024197357239525,0.16727400732102654,0.21156718975481628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,male,4760,0.39111114592839324,0.3573756053310314,0.42580674802827956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,female,4900,0.19178837707906163,0.16501469205222583,0.2184195753747086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,male,6760,0.1467330224522401,0.12744748733629951,0.16787262887761814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,female,7112,0.08157962714060227,0.06651831363601644,0.0965959224304235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,male,,,,,,,,,,,,
1991,female,,,,,,,,,,,,
1992,male,6456,0.3300104796275359,0.30577979359193436,0.3612094844379822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,female,6845,0.21382683507669617,0.19273773052931556,0.23651019081828803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,male,6357,0.26966426557674544,0.24201611729439865,0.29591159755386465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,female,6728,0.16343003171590828,0.144970295442899,0.18075574741300013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,male,,,,,,,,,,,,
1994,female,,,,,,,,,,,,
1995,male,6395,0.2589320697350031,0.2349910522799074,0.2821860462492851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,female,6855,0.1604921177009261,0.14412431011604723,0.17626392188243817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,male,,,,,,,,,,,,
1996,female,,,,,,,,,,,,
1997,male,6204,0.23863273564617807,0.21487257139784277,0.26040383987434557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,female,6617,0.16331564293438963,0.14503584918713266,0.18222778658319094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,male,,,,,,,,,,,,
1998,female,,,,,,,,,,,,
1999,male,6604,0.23220174573787966,0.2088688258438654,0.25217739187732147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,female,7059,0.15690604895271368,0.1349210438968178,0.17444113928801627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,male,,,,,,,,,,,,
2000,female,,,,,,,,,,,,
2001,male,10520,0.2259133712476692,0.20685844136856588,0.24524698883769946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
