year,pgisced97,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,male,48,0.28299671389343745,0.08456188786477503,0.48143153992209986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Pre-primary Level,female,38,0.2921630888556658,0.08702067101878616,0.49730550669254536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Primary Level,male,398,6.567785381966521,6.369499476175212,6.76607128775783,0.0,8.0,9.0,0.0,16.0,8.0,8.0,8.0
1984,Primary Level,female,573,2.62216584421771,2.4680418459407125,2.776289842494707,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
1984,Lower Secondary Level,male,1037,5.636360394481388,5.496680584245661,5.776040204717114,0.0,8.0,9.0,0.0,22.5,8.0,8.0,8.0
1984,Lower Secondary Level,female,2199,1.8703858155050095,1.8007431503601004,1.9400284806499186,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1984,Upper Secondary Level,male,3126,6.7386681624427025,6.660728368864123,6.816607956021282,0.0,9.0,10.0,0.0,24.0,9.0,9.0,10.0
1984,Upper Secondary Level,female,2505,3.163295962692256,3.0863604895033396,3.240231435881172,0.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0
1984,Post-secondary Non-tertiary Level,male,191,6.120697489298437,5.78520696389823,6.456188014698644,0.0,8.0,10.0,0.0,15.0,8.0,7.0,8.0
1984,Post-secondary Non-tertiary Level,female,115,5.272287681783607,4.880389881336825,5.664185482230389,0.0,7.175039815009847,9.0,0.0,15.0,7.0,6.0,11.049999999999999
1984,First Stage of Tertiary Education,male,382,7.463871551101805,7.249100928270217,7.678642173933394,4.0,9.0,10.0,0.0,16.0,9.0,9.0,9.0
1984,First Stage of Tertiary Education,female,274,3.601627909785519,3.358454217736909,3.844801601834129,0.0,0.0,8.0,0.0,15.0,0.0,-3.0,0.0
1984,Second Stage of Tertiary Education,male,534,7.7656686248517595,7.604777341095772,7.9265599086077465,7.0,9.0,10.0,2.5,14.5,9.0,9.0,9.0
1984,Second Stage of Tertiary Education,female,254,4.307680951944221,4.0643231208123245,4.551038783076117,0.0,5.0,8.0,0.0,14.0,5.0,4.974999999999994,7.0249999999999995
1985,Pre-primary Level,male,51,0.033954304169057245,-0.009707005488697004,0.0776156138268115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Pre-primary Level,female,38,0.005761334508845995,-0.01075759519687919,0.02228026421457118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Primary Level,male,331,5.770545562698705,5.532814000334631,6.0082771250627784,0.0,8.0,9.0,0.0,16.0,8.0,8.0,8.0
1985,Primary Level,female,482,2.495744404451944,2.3264405912123047,2.6650482176915835,0.0,0.0,7.0,0.0,17.5,0.0,0.0,0.0
1985,Lower Secondary Level,male,950,5.496940960785335,5.350167022650439,5.643714898920232,0.0,8.0,9.0,0.0,20.0,8.0,8.0,8.0
1985,Lower Secondary Level,female,1950,2.057624501006011,1.9801854757776733,2.1350635262343487,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
1985,Upper Secondary Level,male,2821,6.576883708420564,6.492034538967554,6.661732877873574,0.0,9.0,10.0,0.0,20.0,9.0,9.0,9.0
1985,Upper Secondary Level,female,2316,3.3896720548576775,3.3072483725694948,3.4720957371458603,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0
1985,Post-secondary Non-tertiary Level,male,169,5.439655350915053,5.082617128822733,5.7966935730073725,0.0,8.0,10.0,0.0,14.0,8.0,7.0,16.0
1985,Post-secondary Non-tertiary Level,female,103,4.853173378707248,4.44531775608845,5.261029001326046,0.0,6.0,9.0,0.0,12.0,6.0,4.0,12.0
1985,First Stage of Tertiary Education,male,360,7.4356190590043205,7.210600321786055,7.660637796222586,2.417124908805827,9.0,10.0,0.0,16.0,9.0,8.0,9.0
1985,First Stage of Tertiary Education,female,260,3.683563845495102,3.4344895106328197,3.932638180357384,0.0,0.0,8.0,0.0,13.0,0.0,-4.0,0.0
1985,Second Stage of Tertiary Education,male,507,7.589442732737807,7.4165304524722035,7.762355013003411,6.0,9.0,10.0,0.0,16.0,9.0,9.0,9.0
1985,Second Stage of Tertiary Education,female,246,4.792702596769312,4.536335311718679,5.049069881819946,0.0,5.0,9.0,0.0,15.0,5.0,3.0,6.0
1986,Pre-primary Level,male,62,0.4919830882650043,0.2721056221483428,0.7118605543816658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Pre-primary Level,female,31,0.24887090311150956,0.1260542756903374,0.3716875305326817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Primary Level,male,309,6.341925566906929,6.105266077195298,6.578585056618561,0.0,8.008283703947988,9.0,0.0,16.0,8.0,7.0,8.0
1986,Primary Level,female,446,2.7768594913381466,2.5970028647462504,2.9567161179300427,0.0,0.0,8.0,0.0,14.0,0.0,0.0,0.0
1986,Lower Secondary Level,male,925,5.566478716515432,5.417421061983678,5.715536371047186,0.0,8.0,10.0,0.0,18.0,8.0,8.0,8.0
1986,Lower Secondary Level,female,1818,2.186307756792135,2.103094664615399,2.2695208489688707,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
1986,Upper Secondary Level,male,2709,6.646857050537135,6.560066574108418,6.733647526965853,0.0,9.0,10.0,0.0,18.0,9.0,9.0,9.0
1986,Upper Secondary Level,female,2227,3.4430546253684327,3.3576167457201676,3.5284925050166978,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
1986,Post-secondary Non-tertiary Level,male,163,5.502739024247487,5.142198867793319,5.863279180701655,0.0,8.0,10.0,0.0,13.0,8.0,7.0,14.0
1986,Post-secondary Non-tertiary Level,female,111,5.305381049119479,4.89991416203992,5.710847936199038,0.0,7.0845976186928965,10.0,0.0,12.0,7.0,5.974999999999994,12.0
1986,First Stage of Tertiary Education,male,331,7.328769842918501,7.089328432289497,7.568211253547505,0.0,9.0,10.0,0.0,16.0,9.0,8.0,9.0
1986,First Stage of Tertiary Education,female,247,3.484794561649423,3.237487956706407,3.7321011665924386,0.0,0.0,8.0,0.0,12.0,0.0,-3.0,0.0
1986,Second Stage of Tertiary Education,male,505,7.847929186280275,7.6778540057715485,8.018004366789002,8.0,9.0,10.0,5.0,13.0,9.0,8.0,9.0
1986,Second Stage of Tertiary Education,female,243,4.695433178783145,4.435266767828412,4.955599589737878,0.0,5.0,9.0,0.0,13.0,5.0,4.0,7.0
1987,Pre-primary Level,male,62,0.3644561261815212,0.24746858401369687,0.4814436683493455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Pre-primary Level,female,46,0.19716230811390992,0.08191684566664822,0.31240777056117164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Primary Level,male,303,6.265344710234718,6.018947713175745,6.511741707293691,0.0,8.0,9.0,0.0,17.0,8.0,7.0,8.0
1987,Primary Level,female,432,2.859350019782177,2.6764410375659757,3.042259001998378,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
1987,Lower Secondary Level,male,918,5.806336487691386,5.6559130761304335,5.956759899252338,0.0,8.0,10.0,0.0,20.0,8.0,7.0,8.0
1987,Lower Secondary Level,female,1750,2.220093442396172,2.136289888758607,2.303896996033737,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
1987,Upper Secondary Level,male,2699,6.777305005170209,6.691171713743388,6.863438296597031,0.0,9.0,10.0,0.0,24.0,9.0,9.0,9.0
1987,Upper Secondary Level,female,2204,3.536376994281193,3.4495433168292227,3.6232106717331636,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0
1987,Post-secondary Non-tertiary Level,male,156,5.649235710753081,5.291098558987569,6.007372862518594,0.0,8.0,10.0,0.0,16.0,8.0,7.0,14.0
1987,Post-secondary Non-tertiary Level,female,116,5.136055195251022,4.74869797698322,5.523412413518825,0.0,6.335203024251842,9.0,0.0,15.0,6.0,4.0,10.0
1987,First Stage of Tertiary Education,male,317,7.127732784402966,6.881394265096944,7.374071303708988,0.0,9.0,10.0,0.0,16.0,9.0,8.0,9.0
1987,First Stage of Tertiary Education,female,242,3.6505547158932283,3.3960004863336186,3.905108945452838,0.0,0.0,8.0,0.0,12.0,0.0,-4.0,0.0
1987,Second Stage of Tertiary Education,male,494,7.706864995209841,7.527065057793992,7.88666493262569,7.0,9.0,10.0,2.5,14.5,9.0,9.0,9.0
1987,Second Stage of Tertiary Education,female,246,4.658645371667419,4.404648718909171,4.912642024425668,0.0,5.0,8.937566855477371,0.0,12.0,5.0,4.0,6.0
1988,Pre-primary Level,male,44,0.6746076298072763,0.39232918978162096,0.9568860698329316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Pre-primary Level,female,37,0.0607167401494447,0.013005414990626636,0.10842806530826277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Primary Level,male,264,6.355747245425667,6.104202038705443,6.607292452145892,0.0,8.0,9.0,0.0,16.0,8.0,7.0,8.0
1988,Primary Level,female,412,2.395954786717865,2.2192264610182515,2.572683112417479,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0
1988,Lower Secondary Level,male,896,5.816602957901302,5.665156894435323,5.968049021367281,0.0,8.0,10.0,0.0,20.0,8.0,7.0,8.0
1988,Lower Secondary Level,female,1682,2.1067291347670922,2.0228107647264055,2.190647504807779,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
1988,Upper Secondary Level,male,2549,6.657854921100016,6.568553544619089,6.747156297580943,0.0,9.0,10.0,0.0,24.0,9.0,9.0,9.0
1988,Upper Secondary Level,female,2120,3.5069096886051883,3.419183416739684,3.5946359604706926,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
1988,Post-secondary Non-tertiary Level,male,151,5.6626407867370006,5.291772477187232,6.033509096286769,0.0,8.0,10.0,0.0,16.0,8.0,7.0,14.049999999999999
1988,Post-secondary Non-tertiary Level,female,116,5.508313092002507,5.1271330470401715,5.889493136964843,0.0,8.0,9.0,0.0,16.0,8.0,7.0,12.0
1988,First Stage of Tertiary Education,male,310,7.246430025934675,7.001552450228702,7.491307601640648,0.0,9.0,10.0,0.0,18.0,9.0,8.974999999999994,9.0
1988,First Stage of Tertiary Education,female,227,3.751523487259984,3.4840869714132134,4.018960003106755,0.0,0.0,8.0,0.0,13.0,0.0,-4.0,0.0
1988,Second Stage of Tertiary Education,male,469,7.988130289700056,7.810921874990976,8.165338704409136,8.0,9.0,10.0,5.0,13.0,9.0,8.0,9.0
1988,Second Stage of Tertiary Education,female,228,5.060005979854703,4.789510581806562,5.330501377902843,0.0,5.0,9.0,0.0,12.0,5.0,4.0,6.0
1989,Pre-primary Level,male,45,0.8248750627691518,0.5147682071648403,1.1349819183734633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Pre-primary Level,female,42,0.24052004139814764,0.08234489107344523,0.39869519172285006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Primary Level,male,250,6.548513581568669,6.288750463713457,6.80827669942388,0.0,8.0,9.0,0.0,14.0,8.0,7.0,8.0
1989,Primary Level,female,389,2.466889872252181,2.2761429928897408,2.657636751614621,0.0,0.0,6.0,0.0,15.0,0.0,0.0,0.0
1989,Lower Secondary Level,male,856,6.160116009130779,6.009005741978154,6.311226276283405,0.0,8.0,10.0,0.0,19.0,8.0,7.0,8.0
1989,Lower Secondary Level,female,1603,2.2307214121914805,2.142766051983522,2.318676772399439,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
1989,Upper Secondary Level,male,2494,6.686322953244695,6.596637797345251,6.77600810914414,0.0,9.0,10.0,0.0,24.0,9.0,9.0,9.0
1989,Upper Secondary Level,female,2082,3.620274669715602,3.5315534780801126,3.708995861351091,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
1989,Post-secondary Non-tertiary Level,male,152,6.032612138431967,5.657633873697197,6.407590403166736,0.0,9.0,10.0,0.0,16.0,9.0,9.0,12.0
1989,Post-secondary Non-tertiary Level,female,132,5.2727682458457865,4.901324905736494,5.644211585955079,0.0,8.0,9.0,0.0,16.0,8.0,7.0,12.049999999999999
1989,First Stage of Tertiary Education,male,293,7.21917751494797,6.965791978644458,7.472563051251481,0.0,9.0,10.0,0.0,15.0,9.0,8.0,9.0
1989,First Stage of Tertiary Education,female,218,3.9593999838811613,3.6776045327420506,4.241195435020272,0.0,2.0,8.0,0.0,14.0,2.0,-1.0,4.0
1989,Second Stage of Tertiary Education,male,470,7.837268852751642,7.658251927125817,8.016285778377465,7.2271289449598,9.0,10.0,3.0678223623994993,14.159306582560301,9.0,8.0,9.0
1989,Second Stage of Tertiary Education,female,226,5.058735730319319,4.788186960803728,5.329284499834911,0.0,5.361916802257026,9.0,0.0,14.0,6.0,6.0,8.0
1990,Pre-primary Level,male,45,0.6255127618999213,0.39244603596630084,0.8585794878335418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Pre-primary Level,female,44,0.4431538612652928,0.2839242394850505,0.6023834830455351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Primary Level,male,254,0.46578572196775697,0.3644502728153614,0.5671211711201526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Primary Level,female,376,0.06733289825522679,0.03623259313051447,0.0984332033799391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Lower Secondary Level,male,953,1.0508208890435904,0.9636442385872221,1.1379975394999586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Lower Secondary Level,female,1912,0.4898665324517999,0.44866349727913546,0.5310695676244643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Upper Secondary Level,male,3658,1.8085532756779161,1.7508205182023315,1.8662860331535007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Upper Secondary Level,female,3370,1.4755261245616078,1.422310121021936,1.5287421281012796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Post-secondary Non-tertiary Level,male,211,1.3746736088071156,1.1620098112665327,1.5873374063476986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Post-secondary Non-tertiary Level,female,160,1.1912280763402985,0.9637068990257238,1.4187492536548731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,First Stage of Tertiary Education,male,494,2.4740668232358223,2.2884468125425927,2.659686833929052,0.0,0.0,4.475972453992004,0.0,11.189931134980009,0.0,0.0,0.0
1990,First Stage of Tertiary Education,female,270,0.7291961731171379,0.592349578863906,0.8660427673703698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Second Stage of Tertiary Education,male,918,2.7959443257875276,2.6562622574436796,2.9356263941313756,0.0,0.0,6.987635822087684,0.0,15.0,0.0,0.0,0.0
