year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,8606,4.620709420687737,4.572248023596989,4.669170817778484,0.0,4.0,9.0,0.0,22.0,4.0,4.0,5.0
1985,Rural regions,2350,4.283072797352459,4.191946669938987,4.374198924765932,0.0,0.0,9.0,0.0,18.0,0.0,-3.0,0.0
1986,Urban regions,8261,4.692364057698845,4.642537729326922,4.742190386070768,0.0,4.0,9.0,0.0,22.5,4.0,3.0,5.0249999999999995
1986,Rural regions,2232,4.532159090555928,4.437650271143145,4.626667909968711,0.0,3.0,9.0,0.0,16.0,3.0,2.0,6.0
1987,Urban regions,8134,4.778769684562496,4.728669037981183,4.8288703311438095,0.0,5.0,9.0,0.0,20.0,5.0,5.0,6.0
1987,Rural regions,2196,4.690784481101465,4.594585928642675,4.786983033560255,0.0,4.0,9.0,0.0,22.5,4.0,3.0,6.0
1988,Urban regions,7803,4.802447068240074,4.751326238406041,4.853567898074107,0.0,5.0,9.0,0.0,20.0,5.0,5.0,6.0
1988,Rural regions,2049,4.549160929384169,4.449771474136038,4.6485503846323,0.0,3.0,9.0,0.0,22.5,3.0,2.0,5.0
1989,Urban regions,7624,4.8796896688319435,4.828045930478664,4.931333407185223,0.0,5.0,9.0,0.0,20.0,5.0,5.0,6.0
1989,Rural regions,1949,4.623935874230995,4.522246300478381,4.725625447983608,0.0,4.0,9.0,0.0,22.5,4.0,3.0,6.0
1990,Urban regions,8937,0.9409280372803223,0.9133375518604795,0.968518522700165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Rural regions,4805,2.7827677967167426,2.724937790160744,2.840597803272741,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0
1991,Urban regions,8371,5.121982649619158,5.073617970183036,5.1703473290552795,0.0,7.0,9.0,0.0,18.0,7.0,7.0,8.0
1991,Rural regions,4474,4.9989947206251655,4.933278037999751,5.06471140325058,0.0,6.0,9.0,0.0,16.0,6.0,5.0,7.0
1992,Urban regions,8253,5.098424608003717,5.049321830148125,5.147527385859309,0.0,6.0,9.0,0.0,18.0,6.0,5.0,6.0
1992,Rural regions,4356,4.876007956577654,4.80900777310908,4.943008140046228,0.0,6.0,9.0,0.0,16.0,6.0,6.0,7.0
1993,Urban regions,8242,5.077345449541466,5.028424907264888,5.126265991818043,0.0,6.0,9.0,0.0,18.0,6.0,5.0,6.0
1993,Rural regions,4312,4.842562657321424,4.774607554242962,4.910517760399886,0.0,5.0,9.0,0.0,18.0,5.0,4.0,6.0
1994,Urban regions,8132,4.925015274460736,4.875658003784007,4.974372545137465,0.0,5.0,9.0,0.0,18.0,5.0,4.0,5.0
1994,Rural regions,4213,4.791235335113847,4.722999585861221,4.859471084366474,0.0,5.0,9.0,0.0,15.0,5.0,4.0,6.0
1995,Urban regions,8494,4.770173690028261,4.722262537903047,4.818084842153475,0.0,5.0,9.0,0.0,18.0,5.0,5.0,6.0
1995,Rural regions,4437,4.827033481461595,4.759647019720188,4.894419943203002,0.0,5.0,9.0,0.0,22.5,5.0,4.0,6.0
1996,Urban regions,8274,4.7915664735513595,4.742636209925485,4.840496737177234,0.0,5.0,9.0,0.0,18.0,5.0,5.0,6.0
1996,Rural regions,4372,4.7759072774582405,4.708181817087723,4.843632737828758,0.0,5.0,9.0,0.0,16.0,5.0,4.0,6.0
1997,Urban regions,8110,4.694869148368154,4.645865703541525,4.743872593194783,0.0,5.0,9.0,0.0,22.5,5.0,5.0,6.0
1997,Rural regions,4277,4.670729396240172,4.602168008052211,4.739290784428133,0.0,4.0,9.0,0.0,22.5,4.0,3.0,5.0
1998,Urban regions,8737,4.5937913866798485,4.546489540998653,4.641093232361044,0.0,4.0,9.0,0.0,18.0,4.0,4.0,5.0
1998,Rural regions,4691,4.479908479447773,4.414304459944343,4.5455124989512035,0.0,2.0,9.0,0.0,22.5,2.0,0.9749999999999943,4.0
