year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,1st Quintile,,,,,,,,,,,,
1984,0-16 y.,2nd Quintile,,,,,,,,,,,,
1984,0-16 y.,3rd Quintile,,,,,,,,,,,,
1984,0-16 y.,4th Quintile,,,,,,,,,,,,
1984,0-16 y.,5th Quintile,,,,,,,,,,,,
1984,17-29 y.,1st Quintile,547,3.9441433706685407,3.605733012851082,4.282553728486,1.0,2.0,5.0,1.0,11.0,2.0,2.0,2.0
1984,17-29 y.,2nd Quintile,423,3.5524926518683047,3.197380830752441,3.9076044729841684,1.0,2.0,4.0,1.0,8.5,2.0,2.0,2.0
1984,17-29 y.,3rd Quintile,387,3.2083662318470174,2.861778478917875,3.55495398477616,1.0,2.0,4.0,1.0,8.5,2.0,2.0,3.0
1984,17-29 y.,4th Quintile,452,2.723806713285195,2.4696739079396153,2.977939518630775,1.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0
1984,17-29 y.,5th Quintile,350,2.3473350426942314,2.0885820498318486,2.6060880355566143,1.0,2.0,2.0,1.0,3.5,2.0,2.0,3.0
1984,30-45 y.,1st Quintile,594,6.27527928061911,5.934560103270454,6.615998457967765,2.0,6.0,10.0,1.0,18.0,6.0,5.0,7.0
1984,30-45 y.,2nd Quintile,598,5.290566706267934,4.971151077201392,5.609982335334476,2.0,4.0,8.0,1.0,17.0,4.0,3.0,5.0
1984,30-45 y.,3rd Quintile,593,4.891724165854034,4.579019729392308,5.204428602315759,1.4032244879519258,4.0,8.0,1.0,17.89516326807211,4.0,3.0,5.0
1984,30-45 y.,4th Quintile,605,4.249704430096658,3.980084174884544,4.5193246853087725,1.0,3.0,6.0,1.0,13.5,3.0,3.0,3.0
1984,30-45 y.,5th Quintile,603,3.5060408871533766,3.2551265664731988,3.7569552078335544,1.0,2.0,5.0,1.0,11.0,2.0,2.0,2.0
1984,46-65 y.,1st Quintile,398,4.807626948275946,4.511359219018229,5.103894677533662,3.0,4.0,6.0,1.0,10.5,4.0,3.0,4.0
1984,46-65 y.,2nd Quintile,451,4.94592220369253,4.650838425070089,5.241005982314971,2.0,5.0,7.0,1.0,14.5,5.0,5.0,6.0
1984,46-65 y.,3rd Quintile,496,4.932279217671867,4.641796568778863,5.22276186656487,2.0,4.0,7.0,1.0,14.5,4.0,3.0,4.0
1984,46-65 y.,4th Quintile,549,4.584455553885063,4.327063246457232,4.841847861312894,2.0,4.0,6.0,1.0,12.0,4.0,4.0,4.0
1984,46-65 y.,5th Quintile,618,3.7800206009522843,3.557337744843503,4.002703457061066,1.0,3.0,5.0,1.0,11.0,3.0,3.0,3.0
1984,66 and older,1st Quintile,289,4.1327522480070655,3.86121331027833,4.404291185735801,2.0,4.0,5.0,1.0,9.5,4.0,4.0,4.0
1984,66 and older,2nd Quintile,226,4.08360336353247,3.7911467056068577,4.376060021458082,2.0,4.0,6.0,1.0,12.0,4.0,4.0,5.0
1984,66 and older,3rd Quintile,190,4.015206526208345,3.649688644077185,4.380724408339506,2.0,4.0,5.0,1.0,9.5,4.0,4.0,5.0
1984,66 and older,4th Quintile,158,3.890734576488916,3.514166098192226,4.2673030547856055,2.0,3.0,5.0,1.0,9.5,3.0,2.0,3.0
1984,66 and older,5th Quintile,148,3.6727033663576374,3.3366605561642384,4.008746176551036,2.0,3.0,5.0,1.0,9.5,3.0,2.0,3.0
1985,0-16 y.,1st Quintile,,,,,,,,,,,,
1985,0-16 y.,2nd Quintile,,,,,,,,,,,,
1985,0-16 y.,3rd Quintile,,,,,,,,,,,,
1985,0-16 y.,4th Quintile,,,,,,,,,,,,
1985,0-16 y.,5th Quintile,,,,,,,,,,,,
1985,17-29 y.,1st Quintile,715,2.142059168273554,1.969123924796191,2.314994411750917,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0
1985,17-29 y.,2nd Quintile,545,1.9088415407813217,1.7281336011996853,2.089549480362958,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0
1985,17-29 y.,3rd Quintile,615,1.5484066105894692,1.4071360220964595,1.6896771990824788,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1985,17-29 y.,4th Quintile,603,1.4343597319615071,1.3044901113000782,1.564229352622936,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1985,17-29 y.,5th Quintile,460,1.430027774590818,1.3084807991168035,1.5515747500648327,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0
1985,30-45 y.,1st Quintile,643,3.5887982858549607,3.3404614801549304,3.837135091554991,1.0,3.0,6.0,0.0,13.5,3.0,3.0,4.0
1985,30-45 y.,2nd Quintile,696,3.3835714137571777,3.155086996416871,3.6120558310974844,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1985,30-45 y.,3rd Quintile,623,3.1228920432152556,2.9017797166327197,3.3440043697977915,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1985,30-45 y.,4th Quintile,642,2.729879628463113,2.5265506171547947,2.9332086397714314,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1985,30-45 y.,5th Quintile,705,2.261413684945339,2.1038480499006633,2.4189793199900143,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1985,46-65 y.,1st Quintile,507,3.546178614778676,3.299415192234068,3.7929420373232836,1.0,3.0,5.0,0.0,11.0,3.0,2.0,3.0
1985,46-65 y.,2nd Quintile,529,3.5306606244697147,3.28014094741045,3.7811803015289795,1.0,3.0,5.0,0.0,11.0,3.0,2.0,3.0
