year,bula_h,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Schleswig-Holstein,-1,,,,,,,,,,,,
1984,Hamburg,-1,,,,,,,,,,,,
1984,Niedersachsen,-1,,,,,,,,,,,,
1984,Bremen,-1,,,,,,,,,,,,
1984,Nordrhein-Westfalen,-1,,,,,,,,,,,,
1984,Hessen,-1,,,,,,,,,,,,
1984,"Rheinland-Pfalz,Saarland",-1,,,,,,,,,,,,
1984,Baden-Wuerttemberg,-1,,,,,,,,,,,,
1984,Bayern,-1,,,,,,,,,,,,
1984,Berlin,-1,,,,,,,,,,,,
1985,Schleswig-Holstein,Staedtischer Raum,0.890044891859404,0.7214976522299643,1.0585921314888438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
1985,Schleswig-Holstein,Laendlicher Raum,0.7163943267600509,0.5884587147137303,0.8443299388063714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
1985,Hamburg,Staedtischer Raum,0.5212745995393756,0.42283296148046634,0.6197162375982849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
1985,Hamburg,Laendlicher Raum,,,,,,,,,,,,
1985,Niedersachsen,Staedtischer Raum,0.7452376540886001,0.6546942889749638,0.8357810192022364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0
1985,Niedersachsen,Laendlicher Raum,0.8401576745101185,0.7538905135689988,0.9264248354512381,0.0,0.0,0.5393165555664711,0.0,1.3482913889161776,0.0,0.0,0.0,580.0
1985,Bremen,Staedtischer Raum,0.3683075057184309,0.25799420834815556,0.47862080308870625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
1985,Nordrhein-Westfalen,Staedtischer Raum,0.8530411317443469,0.8128281575951672,0.8932541058935266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821.0
1985,Nordrhein-Westfalen,Laendlicher Raum,1.0433247355715183,0.7390050096169942,1.3476444615260423,0.0,0.0,0.48086860272633647,0.0,1.2021715068158412,0.0,0.0,0.0,70.0
1985,Hessen,Staedtischer Raum,0.8473390173503871,0.7770556719985576,0.9176223627022165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0
1985,Hessen,Laendlicher Raum,0.766360223212968,0.558845159469761,0.9738752869561751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
1985,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.7510691242181302,0.6717774738751874,0.830360774561073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0
1985,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.6143630368620765,0.48164002463679817,0.7470860490873548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
1985,Baden-Wuerttemberg,Staedtischer Raum,0.822033334171766,0.7731150019293251,0.870951666414207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696.0
1985,Baden-Wuerttemberg,Laendlicher Raum,0.8482226700951676,0.7368552429674228,0.9595900972229124,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,288.0
1985,Bayern,Staedtischer Raum,0.6240395465188924,0.5690406536781022,0.6790384393596826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0
1985,Bayern,Laendlicher Raum,0.912813924616743,0.8450720674023364,0.9805557818311497,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,893.0
1985,Berlin,Staedtischer Raum,0.6336932346015348,0.5347087741484433,0.7326776950546263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0
1986,Schleswig-Holstein,Staedtischer Raum,0.7021700078860124,0.5182511442460352,0.8860888715259895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
1986,Schleswig-Holstein,Laendlicher Raum,1.0316764923680342,0.8584234956128508,1.2049294891232174,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,165.0
1986,Hamburg,Staedtischer Raum,0.617108366007301,0.49206964006576637,0.7421470919488357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0
1986,Hamburg,Laendlicher Raum,,,,,,,,,,,,
1986,Niedersachsen,Staedtischer Raum,0.6890360929527509,0.6025275847612775,0.7755446011442243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0
1986,Niedersachsen,Laendlicher Raum,0.9115316282805003,0.817801185828596,1.0052620707324047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0
1986,Bremen,Staedtischer Raum,0.30532758939181603,0.19496024440338525,0.41569493438024685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
1986,Nordrhein-Westfalen,Staedtischer Raum,0.8756623375503635,0.8324377891139608,0.9188868859867662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715.0
1986,Nordrhein-Westfalen,Laendlicher Raum,0.9042841139762741,0.6465503217167863,1.1620179062357618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
1986,Hessen,Staedtischer Raum,1.0455268715510313,0.960979229947794,1.1300745131542687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0
1986,Hessen,Laendlicher Raum,0.8061849840827303,0.621915400268944,0.9904545678965166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0
1986,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.846568552392768,0.7667623594429844,0.9263747453425515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0
1986,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.5766084329201394,0.4602105315471949,0.6930063342930839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0
1986,Baden-Wuerttemberg,Staedtischer Raum,0.8776956431254274,0.8244545084480694,0.9309367778027853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.0
1986,Baden-Wuerttemberg,Laendlicher Raum,0.9132819462094567,0.7871515317280092,1.0394123606909043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0
1986,Bayern,Staedtischer Raum,0.6093392087658416,0.5522137048331558,0.6664647126985274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0
1986,Bayern,Laendlicher Raum,1.0169975750743938,0.9417948739673626,1.0922002761814251,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,827.0
1986,Berlin,Staedtischer Raum,0.6800408400821892,0.5705366171430108,0.7895450630213676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0
1987,Schleswig-Holstein,Staedtischer Raum,1.291404198819285,1.0362146348168764,1.5465937628216937,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,148.0
1987,Schleswig-Holstein,Laendlicher Raum,0.9631131169163437,0.7896012779942034,1.136624955838484,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,171.0
1987,Hamburg,Staedtischer Raum,0.5898348633366146,0.4628088761238106,0.7168608505494186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
1987,Hamburg,Laendlicher Raum,,,,,,,,,,,,
1987,Niedersachsen,Staedtischer Raum,0.7813786114611591,0.689413591129098,0.8733436317932202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0
1987,Niedersachsen,Laendlicher Raum,0.9339695347108564,0.8359925430811377,1.0319465263405752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0
1987,Bremen,Staedtischer Raum,0.7211127265628033,0.4662718050665312,0.9759536480590755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1987,Nordrhein-Westfalen,Staedtischer Raum,0.8966734557993228,0.8529884660020342,0.9403584455966114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2689.0
1987,Nordrhein-Westfalen,Laendlicher Raum,1.0502027957462823,0.7367866822322395,1.363618909260325,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,68.0
1987,Hessen,Staedtischer Raum,1.1152266715205983,1.0313409050056632,1.1991124380355334,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,889.0
1987,Hessen,Laendlicher Raum,0.7889725446884912,0.5524877538490917,1.0254573355278906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
1987,"Rheinland-Pfalz,Saarland",Staedtischer Raum,0.8318516716478552,0.7512819204964192,0.9124214227992913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0
1987,"Rheinland-Pfalz,Saarland",Laendlicher Raum,0.8686393940222041,0.6462258779058169,1.0910529101385915,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,144.0
1987,Baden-Wuerttemberg,Staedtischer Raum,1.0077399150920585,0.9482475361965098,1.067232293987607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638.0
1987,Baden-Wuerttemberg,Laendlicher Raum,1.001288128662446,0.8630818696336338,1.1394943876912582,0.0,0.0,0.19663926342094296,0.0,0.4915981585523574,0.0,0.0,0.0,284.0
1987,Bayern,Staedtischer Raum,0.6687822182357631,0.6051936388930975,0.7323707975784287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0
