year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,4255,0.3114244061373595,0.2965702783562887,0.3262785339184303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Urban regions,female,4402,1.1644886186613543,1.1264117690183744,1.2025654683043343,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Rural regions,male,1158,0.31069676615096936,0.28674945589531714,0.3346440764066216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Rural regions,female,1209,1.302660435346693,1.22811494675989,1.3772059239334962,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Urban regions,male,4131,0.3327005444861128,0.3169559210221947,0.3484451679500309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Urban regions,female,4196,1.229639830192106,1.1879493813570796,1.2713302790271326,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Rural regions,male,1100,0.3726628675181115,0.3420647596103129,0.4032609754259101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Rural regions,female,1154,1.4260412952193156,1.3463211849785586,1.5057614054600725,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1987,Urban regions,male,4093,0.36656854055513416,0.34965229392589786,0.38348478718437046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Urban regions,female,4135,1.3360412380967945,1.291646283790548,1.380436192403041,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1987,Rural regions,male,1079,0.35085895973876574,0.32316829206108116,0.3785496274164503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Rural regions,female,1145,1.6050385980709283,1.5082013769908142,1.7018758191510424,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1988,Urban regions,male,3911,0.3550789010503164,0.33870602102112796,0.3714517810795049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Urban regions,female,3977,1.3806783251707047,1.33311745298364,1.4282391973577693,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1988,Rural regions,male,1019,0.41480054462233185,0.38048981349223476,0.44911127575242893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Rural regions,female,1063,1.5219359026769932,1.433247499073888,1.6106243062800985,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1989,Urban regions,male,3783,0.3953703868666464,0.37712514138752934,0.41361563234576343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Urban regions,female,3903,1.4934093879889265,1.4416515972036898,1.5451671787741632,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1989,Rural regions,male,978,0.42429954235767725,0.3886991334562848,0.4598999512590697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Rural regions,female,998,1.5622871248427463,1.4634731622185568,1.6611010874669359,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1990,Urban regions,male,4380,0.4175114492620337,0.40049100200110693,0.4345318965229605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Urban regions,female,4563,1.6658531085631976,1.6143934789889807,1.7173127381374145,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1990,Rural regions,male,2349,0.4478445062260768,0.4239354565006678,0.4717535559514858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Rural regions,female,2482,1.509501503332546,1.4462673202032366,1.5727356864618556,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1991,Urban regions,male,4289,0.3904739540400154,0.3749225818930957,0.4060253261869351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Urban regions,female,4462,1.5139261097702,1.4659054697954759,1.561946749744924,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1991,Rural regions,male,2299,0.39386517175232283,0.37352415349946677,0.4142061900051789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Rural regions,female,2434,1.5253565366587327,1.4628191603233245,1.587893912994141,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1992,Urban regions,male,4207,0.43634556735086943,0.41985184757536553,0.45283928712637334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Urban regions,female,4440,1.6435151591181056,1.590938793421275,1.6960915248149362,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1992,Rural regions,male,2197,0.4351894452501692,0.4137619163840083,0.4566169741163302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Rural regions,female,2347,1.6148703066696595,1.5491218145298764,1.6806187988094425,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1993,Urban regions,male,4186,0.3859594496037986,0.3686032115768052,0.40331568763079195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Urban regions,female,4391,1.6677071599815156,1.6122278919592006,1.7231864280038307,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1993,Rural regions,male,2176,0.39271444029162933,0.37250015736488445,0.4129287232183742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Rural regions,female,2334,1.6163295995693066,1.547168466098144,1.6854907330404691,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1994,Urban regions,male,4081,0.45161204846592595,0.43288646038077455,0.47033763655107735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Urban regions,female,4371,1.6832938371986006,1.6276897535005859,1.7388979208966153,0.0,0.0,1.0777586030951434,0.0,2.694396507737858,0.0,0.0,0.0
1994,Rural regions,male,2131,0.43402174847483066,0.41107466651001817,0.45696883043964315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
