year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,,,,,,,,,,,,
1984,female,,,,,,,,,,,,
1985,male,,,,,,,,,,,,
1985,female,,,,,,,,,,,,
1986,male,,,,,,,,,,,,
1986,female,,,,,,,,,,,,
1987,male,,,,,,,,,,,,
1987,female,,,,,,,,,,,,
1988,male,,,,,,,,,,,,
1988,female,,,,,,,,,,,,
1989,male,,,,,,,,,,,,
1989,female,,,,,,,,,,,,
1990,male,,,,,,,,,,,,
1990,female,,,,,,,,,,,,
1991,male,,,,,,,,,,,,
1991,female,,,,,,,,,,,,
1992,male,,,,,,,,,,,,
1992,female,,,,,,,,,,,,
1993,male,,,,,,,,,,,,
1993,female,,,,,,,,,,,,
1994,male,,,,,,,,,,,,
1994,female,,,,,,,,,,,,
1995,male,,,,,,,,,,,,
1995,female,,,,,,,,,,,,
1996,male,,,,,,,,,,,,
1996,female,,,,,,,,,,,,
1997,male,,,,,,,,,,,,
1997,female,,,,,,,,,,,,
1998,male,,,,,,,,,,,,
1998,female,,,,,,,,,,,,
1999,male,,,,,,,,,,,,
1999,female,,,,,,,,,,,,
2000,male,,,,,,,,,,,,
2000,female,,,,,,,,,,,,
2001,male,10525,0.08335628857151595,0.0700990123748206,0.09664250871924326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,female,11396,0.17124736070448976,0.1522349550501899,0.1928832346810263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,male,11126,0.09379444734153868,0.07712392906450531,0.11300347637348869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,female,11895,0.18396086415719973,0.1563151965811604,0.2074656693527942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,male,10677,0.10129404003105674,0.08252242911949868,0.11965028931187964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,female,11489,0.17607713175910158,0.15402205306303915,0.19782814370412297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,male,10380,0.09777622727466069,0.0800211637287476,0.11216905491365864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,female,11232,0.17598821633192613,0.15258083274099835,0.20043246543422474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,male,9899,0.0918911587990381,0.0749941702739904,0.10966384393024811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,female,10799,0.1705625135811954,0.1486991695431175,0.19190484311563208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,male,10471,0.10608170345960298,0.08532288376549502,0.12721758670573186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,female,11495,0.19671928051110163,0.1656450443301085,0.22734585919147465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,male,9773,0.0998560402264104,0.08178972430313855,0.11498516306637223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,female,10736,0.19987939899024992,0.17499575784206067,0.2215989289773799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,male,9205,0.09799939140391176,0.07968237071792494,0.11470447562504649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,female,10110,0.21684032238789364,0.1824051714718577,0.2523639356223448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,male,8597,0.08070186878063597,0.06611430688126493,0.09421804180750666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,female,9420,0.2095842964550243,0.1728177199309473,0.24306009646991478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,male,10909,0.09790319301765282,0.08009338392621725,0.11583339574700562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,female,13057,0.20414348914722127,0.17108781927691144,0.2342422727184809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
