year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,,,,,,,,,,,,
1984,2nd Quintile,,,,,,,,,,,,
1984,3rd Quintile,,,,,,,,,,,,
1984,4th Quintile,,,,,,,,,,,,
1984,5th Quintile,,,,,,,,,,,,
1985,1st Quintile,,,,,,,,,,,,
1985,2nd Quintile,,,,,,,,,,,,
1985,3rd Quintile,,,,,,,,,,,,
1985,4th Quintile,,,,,,,,,,,,
1985,5th Quintile,,,,,,,,,,,,
1986,1st Quintile,,,,,,,,,,,,
1986,2nd Quintile,,,,,,,,,,,,
1986,3rd Quintile,,,,,,,,,,,,
1986,4th Quintile,,,,,,,,,,,,
1986,5th Quintile,,,,,,,,,,,,
1987,1st Quintile,,,,,,,,,,,,
1987,2nd Quintile,,,,,,,,,,,,
1987,3rd Quintile,,,,,,,,,,,,
1987,4th Quintile,,,,,,,,,,,,
1987,5th Quintile,,,,,,,,,,,,
1988,1st Quintile,,,,,,,,,,,,
1988,2nd Quintile,,,,,,,,,,,,
1988,3rd Quintile,,,,,,,,,,,,
1988,4th Quintile,,,,,,,,,,,,
1988,5th Quintile,,,,,,,,,,,,
1989,1st Quintile,,,,,,,,,,,,
1989,2nd Quintile,,,,,,,,,,,,
1989,3rd Quintile,,,,,,,,,,,,
1989,4th Quintile,,,,,,,,,,,,
1989,5th Quintile,,,,,,,,,,,,
1990,1st Quintile,,,,,,,,,,,,
1990,2nd Quintile,,,,,,,,,,,,
1990,3rd Quintile,,,,,,,,,,,,
1990,4th Quintile,,,,,,,,,,,,
1990,5th Quintile,,,,,,,,,,,,
1991,1st Quintile,1834,0.57715,0.49151,0.66279,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,2nd Quintile,1889,0.53408,0.45258,0.61558,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,3rd Quintile,1876,0.52820,0.44921,0.60719,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,4th Quintile,1940,0.51090,0.43550,0.58630,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,5th Quintile,1843,0.55816,0.48325,0.63307,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,1st Quintile,2754,0.59201,0.51795,0.66608,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,2nd Quintile,2859,0.54208,0.47614,0.60802,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,3rd Quintile,2664,0.62640,0.55628,0.69653,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,4th Quintile,2589,0.51322,0.45049,0.57595,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,5th Quintile,2397,0.55376,0.48880,0.61872,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,1st Quintile,2577,0.58174,0.50730,0.65617,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,2nd Quintile,2822,0.53853,0.47227,0.60480,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,3rd Quintile,2664,0.52029,0.45562,0.58496,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,4th Quintile,2596,0.51260,0.44885,0.57634,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,5th Quintile,2375,0.50871,0.44781,0.56962,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,1st Quintile,2511,0.52126,0.45253,0.58998,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,2nd Quintile,2653,0.53128,0.46317,0.59939,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,3rd Quintile,2703,0.53137,0.46571,0.59703,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,4th Quintile,2531,0.48498,0.42422,0.54575,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,5th Quintile,2417,0.50317,0.44555,0.56079,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,1st Quintile,2513,0.70876,0.62822,0.78929,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,2nd Quintile,2871,0.46724,0.40857,0.52591,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,3rd Quintile,2703,0.49725,0.43402,0.56049,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,4th Quintile,2644,0.46106,0.40155,0.52057,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,5th Quintile,2454,0.51348,0.45304,0.57392,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,1st Quintile,2557,0.66103,0.58503,0.73703,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,2nd Quintile,2616,0.50319,0.43833,0.56805,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,3rd Quintile,2676,0.49589,0.43354,0.55824,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,4th Quintile,2700,0.48054,0.42228,0.53880,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,5th Quintile,2439,0.55346,0.49271,0.61421,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1997,1st Quintile,2368,0.61529,0.53756,0.69302,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1997,2nd Quintile,2715,0.49806,0.43522,0.56089,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1997,3rd Quintile,2602,0.52391,0.45621,0.59160,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1997,4th Quintile,2644,0.52130,0.45816,0.58445,0.00000,0.00000,0.00000,0.00000,0.00000,,,
