year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,-1,maennlich,0.7725595024056444,0.7450230325311845,0.8000959722801043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5760.0
1984,-1,weiblich,0.4783251627958803,0.4563315099268005,0.5003188156649601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6032.0
1985,Staedtischer Raum,maennlich,0.8187001665793381,0.7858552241243312,0.851545109034345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.0
1985,Staedtischer Raum,weiblich,0.5145489820325329,0.48804706053680436,0.5410509035282614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4299.0
1985,Laendlicher Raum,maennlich,0.6864173456254378,0.6285219038196607,0.7443127874312149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0
1985,Laendlicher Raum,weiblich,0.4023541469585729,0.35819445281324197,0.44651384110390385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0
1986,Staedtischer Raum,maennlich,0.8369475906604334,0.8026489256248283,0.8712462556960386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991.0
1986,Staedtischer Raum,weiblich,0.4820463151102666,0.4562507946843988,0.5078418355361344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4086.0
1986,Laendlicher Raum,maennlich,0.8025826840286691,0.7370013013355782,0.8681640667217599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.0
1986,Laendlicher Raum,weiblich,0.42678435762866035,0.3785366312810126,0.4750320839763081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0
1987,Staedtischer Raum,maennlich,0.8342635141765241,0.7997362132886126,0.8687908150644357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3982.0
1987,Staedtischer Raum,weiblich,0.4686288873807859,0.4426611914056196,0.4945965833559522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4034.0
1987,Laendlicher Raum,maennlich,0.6947536472114114,0.6363668351382572,0.7531404592845656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0
1987,Laendlicher Raum,weiblich,0.37769953789310773,0.33378230819665733,0.42161676758955813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0
1988,Staedtischer Raum,maennlich,0.7718669305658985,0.7382582683048375,0.8054755928269595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.0
1988,Staedtischer Raum,weiblich,0.42138472417400696,0.39646384089748404,0.4463056074505299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3890.0
1988,Laendlicher Raum,maennlich,0.6072824498899845,0.5488523375560196,0.6657125622239494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0
1988,Laendlicher Raum,weiblich,0.3786580731705967,0.33433802274569274,0.42297812359550063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0
1989,Staedtischer Raum,maennlich,0.8303394862417433,0.7951943922493033,0.8654845802341832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3715.0
1989,Staedtischer Raum,weiblich,0.42268063181779647,0.3982446451220634,0.4471166185135295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3815.0
1989,Laendlicher Raum,maennlich,0.6463097706151787,0.586920283060962,0.7056992581693954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0
1989,Laendlicher Raum,weiblich,0.3761977160413618,0.32938054993062144,0.4230148821521022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0
1990,-1,maennlich,0.37481269653729543,0.24359452749178626,0.5060308655828046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
1990,-1,weiblich,0.1591546229988772,0.08047832808293223,0.23783091791482217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
1990,Staedtischer Raum,-1,,,,,,,,,,,,
1990,Staedtischer Raum,maennlich,0.3149739838305447,0.29599600679404087,0.33395196086704854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4281.0
1990,Staedtischer Raum,weiblich,0.1588281132045642,0.14671881664359693,0.17093740976553146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0
1990,Laendlicher Raum,maennlich,0.28299047925883175,0.2582548504551273,0.3077261080625362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2299.0
1990,Laendlicher Raum,weiblich,0.1669469930191892,0.1488178296541333,0.1850761563842451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436.0
1991,-1,maennlich,0.5701479892122292,0.3390660980068476,0.8012298804176108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
1991,-1,weiblich,0.3607096753869646,0.18708634485527337,0.5343330059186557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
1991,Staedtischer Raum,maennlich,0.6356947383568857,0.6085863477266281,0.6628031289871433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4209.0
1991,Staedtischer Raum,weiblich,0.3847336814545884,0.3639369600354718,0.405530402873705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4397.0
1991,Laendlicher Raum,maennlich,0.4517310365538716,0.4209542011191699,0.48250787198857326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.0
1991,Laendlicher Raum,weiblich,0.3205641413088433,0.2937253038961045,0.3474029787215821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381.0
1992,-1,maennlich,1.0144266710120813,0.7160887165990075,1.312764625425155,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0,53.0
1992,-1,weiblich,0.6833206531445289,0.44484129210118495,0.9218000141878729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
1992,Staedtischer Raum,maennlich,0.6328319371856952,0.6054471992497583,0.6602166751216321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4118.0
1992,Staedtischer Raum,weiblich,0.41266562392090506,0.3911106463628745,0.4342206014789356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4353.0
1992,Laendlicher Raum,maennlich,0.5583720637552575,0.5228213687983755,0.5939227587121395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2153.0
1992,Laendlicher Raum,weiblich,0.4068618747084857,0.3768711000493175,0.43685264936765394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0
1993,Staedtischer Raum,maennlich,0.584803107251414,0.5585765078219384,0.6110297066808897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097.0
1993,Staedtischer Raum,weiblich,0.38242600070519867,0.36168269754779747,0.40316930386259986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4308.0
1993,Laendlicher Raum,maennlich,0.4866987011606979,0.45352816173513094,0.5198692405862648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0
1993,Laendlicher Raum,weiblich,0.4032518422088763,0.37304689946571734,0.4334567849520352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298.0
1994,Staedtischer Raum,maennlich,0.5923849395462879,0.5657444315449083,0.6190254475476675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4024.0
1994,Staedtischer Raum,weiblich,0.3999862330673835,0.3786782326242995,0.4212942335104675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293.0
1994,Laendlicher Raum,maennlich,0.4905133448576286,0.4596117915113011,0.5214148982039561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093.0
1994,Laendlicher Raum,weiblich,0.2949331190082989,0.27145769628014965,0.3184085417364481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0
1995,Staedtischer Raum,maennlich,0.5359165756638178,0.5114760496965016,0.560357101631134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0
