year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,12063,0.7333775001640592,0.7144876271508962,0.7522673731772223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,West,10967,0.7352389626444543,0.7157869554928242,0.7546909697960844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,West,10528,0.7015704677906016,0.6820272121651646,0.7211137234160386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,West,10412,0.6754699059570246,0.6562149239905369,0.6947248879235123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,West,9942,0.6656932698673055,0.6461601097744165,0.6852264299601944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,West,9643,0.6902463579264353,0.6702341821147823,0.7102585337380883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,West,9428,0.22290579868304383,0.21237873669750135,0.23343286066858632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,East,4413,0.34593466678666074,0.3256205378441508,0.3662487957291707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,West,9421,0.5411254367322966,0.5240212263136097,0.5582296471509836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,East,4129,0.4394787292023888,0.41712581914585256,0.461831639258925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,West,9305,0.5595542606322704,0.5422736318638056,0.5768348894007352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,East,3961,0.585988542176364,0.5580415221552265,0.6139355621975014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,West,9234,0.52945357655856,0.5125949857514666,0.5463121673656534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,East,3802,0.5372990020736972,0.5101251281856617,0.5644728759617327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,West,9067,0.5219027858530965,0.5051482118496499,0.5386573598565431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,East,3755,0.48227995983535105,0.45802852238445146,0.5065313972862506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,West,9520,0.5233873565109934,0.5070917705184251,0.5396829425035617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,East,3669,0.5332099165652819,0.5059157134663385,0.5605041196642254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,West,9327,0.5303179802989915,0.5142290886184634,0.5464068719795195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,East,3667,0.565112854027933,0.5364664241753556,0.5937592838805104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,West,9139,0.5317848880858999,0.5148808239645016,0.5486889522072981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,East,3597,0.5264460975768703,0.4989216715334929,0.5539705236202477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,West,10335,0.48890100704235656,0.47352466443796176,0.5042773496467514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,East,3847,0.3993340390648761,0.37605787652748546,0.4226102016022667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,West,9849,0.5258038139970652,0.5095965812942402,0.5420110466998902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,East,3752,0.5543704253574445,0.5263275301448039,0.5824133205700851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,West,18186,0.5227392179319572,0.5109050154723846,0.5345734203915298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,East,5812,0.5600766570818588,0.5378371419129699,0.5823161722507477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,West,16444,0.5226818279733443,0.50995544207996,0.5354082138667285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,East,5408,0.5901013449828871,0.5660563775497027,0.6141463124160715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,West,17543,0.5190266462427061,0.5069866896788545,0.5310666028065577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,East,5398,0.6309531458678473,0.6057907265885085,0.6561155651471862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,West,16768,0.5351301753411376,0.5225083222537082,0.547752028428567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,East,5317,0.6426489797110343,0.6166534635622782,0.6686444958597904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,West,16343,0.552433928294657,0.5392533047930149,0.565614551796299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,East,5202,0.6578133074502097,0.6316121738029252,0.6840144410974942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,West,15618,0.5814331282088712,0.567485697131056,0.5953805592866863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,East,5013,0.6739758422821628,0.6467888049295705,0.7011628796347551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,West,16651,0.5221629326564222,0.5092744654613344,0.5350513998515101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,East,5257,0.5293915101416921,0.506124450810683,0.5526585694727011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,West,15448,0.4995355790406608,0.48667528518645137,0.5123958728948703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,East,4976,0.5940431882066113,0.5677673409155033,0.6203190354977193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,West,14514,0.5177606741614282,0.5042713110220867,0.5312500373007698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,East,4755,0.5769734200361466,0.5513678875784238,0.6025789524938694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,West,13426,0.5314960386865835,0.517089808216043,0.5459022691571239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,East,4527,0.5588341055600747,0.5324713313908871,0.5851968797292624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,West,18461,0.5891001839056322,0.5765382781526931,0.6016620896585714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,East,5464,0.6233726253467242,0.5981884406476895,0.6485568100457589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,West,21989,0.5361880132599445,0.5249445392827993,0.5474314872370897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,East,6284,0.4979758322766008,0.4773356991774155,0.5186159653757861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,West,21413,0.5524594588493589,0.541007826848004,0.5639110908507138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,East,6159,0.45651971495793353,0.437061693353683,0.47597773656218406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,West,19900,0.5232232466459033,0.5115266386157249,0.5349198546760816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,East,5718,0.42861412296951684,0.4087451910937326,0.4484830548453011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,West,21431,0.5903696063090014,0.5789222843791034,0.6018169282388993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,East,5570,0.44023318558740027,0.4202163538543781,0.4602500173204224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,West,21302,0.5321565946704574,0.5210593207963278,0.543253868544587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,East,5388,0.37428729753103573,0.3561791440304815,0.39239545103158996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,West,21575,0.5319999982236452,0.5208641527251654,0.543135843722125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,East,5517,0.40720770460374134,0.38842699578925044,0.42598841341823224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,West,24212,0.5272739301159074,0.5168068567416522,0.5377410034901626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,East,6158,0.4500607991243079,0.4306411675836388,0.469480430664977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,West,23079,0.48972192877360315,0.4796344305472044,0.4998094270000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,East,5992,0.3969028263782797,0.3785535800552563,0.41525207270130315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,West,22890,0.4604796127794795,0.45040334818639,0.47055587737256904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,East,5981,0.38769148112555013,0.3687536958802584,0.40662926637084185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,West,23385,0.4613632393209264,0.4519787237153934,0.47074775492645937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,East,5788,0.3582639125672679,0.3405798124190684,0.37594801271546746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,West,15059,0.5542899771202952,0.5415053532935853,0.567074600947005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,East,3706,0.48373694037745746,0.45826311490656974,0.5092107658483451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
