year,age_gr,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,Schleswig-Holstein,,,,,,,,,,,,
1984,0-16 y.,Hamburg,,,,,,,,,,,,
1984,0-16 y.,Lower Saxony,,,,,,,,,,,,
1984,0-16 y.,Bremen,,,,,,,,,,,,
1984,0-16 y.,North Rhine-Westphalia,,,,,,,,,,,,
1984,0-16 y.,Hesse,,,,,,,,,,,,
1984,0-16 y.,"Rhineland-Palatinate, Saarland",,,,,,,,,,,,
1984,0-16 y.,Baden-Wuerttemberg,,,,,,,,,,,,
1984,0-16 y.,Bavaria,,,,,,,,,,,,
1984,0-16 y.,Berlin,,,,,,,,,,,,
1984,17-29 y.,Schleswig-Holstein,71,2.8485221666450724,2.248205381119064,3.448838952171081,1.0,2.0,3.0,1.0,6.0,2.0,1.0,2.0
1984,17-29 y.,Hamburg,50,2.0777448770798084,1.782524404395243,2.3729653497643737,1.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0
1984,17-29 y.,Lower Saxony,240,1.991460923913782,1.8393970237213242,2.14352482410624,1.0,2.0,2.0,1.0,3.5,2.0,2.0,2.0
1984,17-29 y.,Bremen,,,,,,,,,,,,
1984,17-29 y.,North Rhine-Westphalia,703,2.2626487394688586,2.1465243872608455,2.3787730916768717,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0
1984,17-29 y.,Hesse,265,2.359509619298483,2.128760316883628,2.5902589217133376,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0
1984,17-29 y.,"Rhineland-Palatinate, Saarland",176,2.0067705936174973,1.8187312009087584,2.1948099863262365,1.0,2.0,2.0,1.0,3.5,2.0,2.0,2.0
1984,17-29 y.,Baden-Wuerttemberg,446,1.977460692181942,1.8549252223941022,2.0999961619697816,1.0,2.0,2.0,1.0,3.5,2.0,2.0,2.0249999999999995
1984,17-29 y.,Bavaria,402,1.9678747649147026,1.834816898047719,2.100932631781686,1.0,2.0,2.0,1.0,3.5,2.0,2.0,3.0
1984,17-29 y.,Berlin,69,2.677546228477207,2.292649083189621,3.062443373764793,2.0,2.0,3.0,1.0,4.5,2.0,1.0,2.0
1984,30-45 y.,Schleswig-Holstein,98,2.275881003651807,1.7615297013842488,2.790232305919365,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0
1984,30-45 y.,Hamburg,68,1.8434930513861527,1.5823673545728114,2.104618748199494,1.0,2.0,2.0,1.0,3.5,2.0,2.0,3.0
1984,30-45 y.,Lower Saxony,199,1.6535349014341316,1.5226980490439836,1.7843717538242796,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0
1984,30-45 y.,Bremen,,,,,,,,,,,,
1984,30-45 y.,North Rhine-Westphalia,662,1.7413041903216273,1.6549801990859663,1.8276281815572883,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0
1984,30-45 y.,Hesse,212,1.6395478973667355,1.5361244896510193,1.7429713050824516,1.0,1.7046824427521032,2.0,1.0,3.5,2.0,2.0,3.0
1984,30-45 y.,"Rhineland-Palatinate, Saarland",135,1.578132213983388,1.429035414028932,1.727229013937844,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0
1984,30-45 y.,Baden-Wuerttemberg,415,1.5269830699671558,1.4378574283139125,1.6161087116203992,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0
1984,30-45 y.,Bavaria,395,1.5254400476253878,1.450694264942304,1.6001858303084715,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0
1984,30-45 y.,Berlin,80,2.017701418087377,1.6769195364988951,2.3584832996758585,1.0,2.0,2.0,1.0,3.5,2.0,2.0,3.0
