"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","Laendlicher Raum","7.12","6.5","6652","6","6","8","8","10","7.09","7.15","2","13","7","7"
"2008","Staedtischer Raum","7.03","6.5","12602","6","6","8","8","10","7.01","7.05","1","18","7","7"
"2009","Laendlicher Raum","7.06","6.5","6333","6","6","8","8","10","7.03","7.09","1","14","7","7"
"2009","Staedtischer Raum","7","6.5","11605","6","6","8","8","10","6.98","7.02","1","16","7","7"
"2010","Laendlicher Raum","6.98","6.5","8345","6","6","8","8","10","6.95","7.01","1","13","7","7"
"2010","Staedtischer Raum","6.96","6.5","15550","6","6","8","8","10","6.94","6.98","1","15","7","7"
"2011","Laendlicher Raum","6.97","6.5","10229","6","6","8","8","10","6.95","6.99","1","14","7","7"
"2011","Staedtischer Raum","6.92","6.5","18094","6","6","8","8","10","6.9","6.94","1","15","7","7"
"2012","Laendlicher Raum","6.96","6.5","10122","6","6","8","8","10","6.94","6.98","1","15","7","7"
"2012","Staedtischer Raum","6.94","6.5","17432","6","6","8","8","10","6.92","6.96","1","16","7","7"
"2013","Laendlicher Raum","6.94","6.5","9384","5","6","8","8","10","6.92","6.96","1","14","7","7"
"2013","Staedtischer Raum","6.89","6.5","16234","5","6","8","8","10","6.87","6.91","1","14","7","7"
"2014","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","6.9","6.5","8857","5","6","8","8","10","6.87","6.93","0","17","7","7"
"2015","Staedtischer Raum","6.89","6.5","16099","5","6","8","8","10","6.87","6.91","0","16","7","7"
"2016","Laendlicher Raum","","","","","","","","","","","","","",""
"2016","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","Laendlicher Raum","6.85","6.5","9408","5","6","8","8","10","6.83","6.87","1","14","7","7"
"2017","Staedtischer Raum","6.84","6.5","17076","5","6","8","8","10","6.82","6.86","1","16","7","7"
"2018","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","6.79","6.5","8849","5","6","8","8","10","6.76","6.82","1","16","7","7"
"2019","Staedtischer Raum","6.79","6.5","16370","5","6","8","8","10","6.77","6.81","1","16","7","7"
"2020","Laendlicher Raum","6.88","6.5","9435","5","6","8","8","10","6.86","6.9","0","16","7","7"
"2020","Staedtischer Raum","6.9","6.5","18980","5","6","8","8","10","6.88","6.92","0","15","7","7"
