year,bula_h,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Schleswig-Holstein,male,256,7.55322,4.30081,10.80564,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Schleswig-Holstein,female,248,6.48312,3.40353,9.56271,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Hamburg,male,192,9.67581,5.46754,13.88409,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Hamburg,female,200,10.35378,6.10565,14.60191,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Lower Saxony,male,782,11.58468,9.33809,13.83127,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Lower Saxony,female,818,14.89187,12.44858,17.33516,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Bremen,male,82,18.57831,10.03254,27.12407,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Bremen,female,83,17.29449,9.03627,25.55271,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,North Rhine-Westphalia,male,2191,12.17081,10.80104,13.54057,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,North Rhine-Westphalia,female,2180,15.30465,13.79247,16.81683,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Hesse,male,828,9.17226,7.20339,11.14112,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Hesse,female,793,12.74757,10.42281,15.07233,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,"Rhineland-Palatinate, Saarland",male,525,11.88889,9.11392,14.66386,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,"Rhineland-Palatinate, Saarland",female,551,15.57305,12.53876,18.60734,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Baden-Wuerttemberg,male,1559,8.56481,7.17461,9.95501,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Baden-Wuerttemberg,female,1541,10.93475,9.37539,12.49411,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Bavaria,male,1317,7.53149,6.10493,8.95806,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Bavaria,female,1396,10.07886,8.49827,11.65944,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Berlin,male,269,5.56344,2.81188,8.31500,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,Berlin,female,264,8.63919,5.23460,12.04379,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Schleswig-Holstein,male,232,9.78669,5.94308,13.63029,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Schleswig-Holstein,female,230,16.80143,11.94388,21.65897,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Hamburg,male,172,13.99325,8.77177,19.21474,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Hamburg,female,177,10.77881,6.17860,15.37902,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Lower Saxony,male,689,10.96146,8.62463,13.29829,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Lower Saxony,female,729,13.69114,11.19163,16.19065,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Bremen,male,70,12.39979,4.54125,20.25833,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Bremen,female,71,13.59574,5.48313,21.70834,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,North Rhine-Westphalia,male,1968,11.57143,10.15729,12.98557,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,North Rhine-Westphalia,female,1960,14.73452,13.16437,16.30468,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Hesse,male,751,10.72192,8.50557,12.93827,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Hesse,female,714,14.42833,11.84661,17.01006,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,"Rhineland-Palatinate, Saarland",male,472,14.60491,11.41073,17.79910,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,"Rhineland-Palatinate, Saarland",female,492,18.17572,14.75967,21.59177,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Baden-Wuerttemberg,male,1399,9.27393,7.75263,10.79522,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Baden-Wuerttemberg,female,1382,12.73271,10.97373,14.49169,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Bavaria,male,1187,8.57170,6.97751,10.16589,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Bavaria,female,1264,10.26129,8.58681,11.93578,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Berlin,male,237,6.83503,3.60577,10.06430,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,Berlin,female,238,12.48541,8.26432,16.70650,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Schleswig-Holstein,male,213,6.14935,2.90462,9.39407,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Schleswig-Holstein,female,207,10.61651,6.39526,14.83776,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Hamburg,male,154,11.00706,6.02453,15.98959,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Hamburg,female,161,10.53025,5.75287,15.30763,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Lower Saxony,male,676,12.26470,9.78745,14.74195,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Lower Saxony,female,718,16.42579,13.71111,19.14047,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Bremen,male,66,25.20428,14.53066,35.87789,0.00000,0.00000,91.38683,0,100,,,
1986,Bremen,female,67,23.28524,12.97602,33.59446,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,North Rhine-Westphalia,male,1888,9.93828,8.58792,11.28865,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,North Rhine-Westphalia,female,1869,13.28239,11.74276,14.82202,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,Hesse,male,693,9.78893,7.57257,12.00528,0.00000,0.00000,0.00000,0.00000,0.00000,,,
