year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,8001,10.00522,9.34761,10.66282,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1984,female,8074,12.74296,12.01551,13.47041,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,male,7177,10.60870,9.89613,11.32127,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1985,female,7257,13.57118,12.78309,14.35928,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,male,6853,9.30629,8.61834,9.99425,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1986,female,6883,12.94675,12.15351,13.74000,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,male,6747,9.51722,8.81688,10.21756,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,female,6746,12.39832,11.61174,13.18489,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,male,6382,8.79096,8.09611,9.48581,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,female,6433,12.05433,11.25853,12.85013,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,male,6152,9.21308,8.49024,9.93591,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,female,6240,12.90141,12.06953,13.73330,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,No answer / don't know,,,,,,,,,,,,
1990,male,6022,8.67515,7.96410,9.38620,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1990,female,6119,11.96916,11.15568,12.78263,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,male,5995,9.03349,8.30770,9.75927,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1991,female,6104,12.88320,12.04260,13.72380,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,male,8527,8.94936,8.34340,9.55533,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1992,female,8820,12.82702,12.12907,13.52498,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,male,8359,9.81289,9.17506,10.45072,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1993,female,8632,13.31109,12.59438,14.02780,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,male,8158,8.75792,8.14442,9.37143,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1994,female,8477,12.35144,11.65092,13.05196,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,male,8463,11.14456,10.47402,11.81510,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1995,female,8779,13.82161,13.09957,14.54366,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,male,8261,9.83843,9.19609,10.48078,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1996,female,8595,12.78370,12.07769,13.48971,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1997,male,8103,9.74094,9.09524,10.38665,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1997,female,8383,12.24158,11.53984,12.94332,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1998,male,7724,9.80642,9.14308,10.46976,0.00000,0.00000,0.00000,0.00000,0.00000,,,
