"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","17-34","4.79","2.5","2901","1","1","7","11","18","4.63","4.95","0","34","3","4"
"1984","35-65","14.6","12.5","4098","3","6","21","29","41","14.31","14.89","0","55","12","12"
"1984","66 +","26.4","24","47","3","5","42","57","59","20.75","32.05","1","59","12","38"
"1985","17-34","4.65","2.5","2597","1","1","7","11","17","4.49","4.81","0","21","3","4"
"1985","35-65","14.59","12.5","3600","2","6","21","29","40","14.29","14.89","0","49","12","13"
"1985","66 +","24.79","21.5","34","5","8","37","43","67","18.58","31","2","67","11","35"
"1986","17-34","2","0.5","677","0","1","1","6","14","1.78","2.22","0","20","1","1"
"1986","35-65","7.2","0.5","228","0","1","13","21","43","6.02","8.38","0","44","1","3"
"1986","66 +","","","","","","","","","","","","","",""
"1987","17-34","1.63","0.5","901","0","1","1","4","12","1.46","1.8","0","18","1","1"
"1987","35-65","5.22","0.5","318","0","1","7","18","36","4.33","6.11","0","41","1","1"
"1987","66 +","","","","","","","","","","","","","",""
"1988","17-34","4.6","2.5","2507","1","1","7","11","17","4.44","4.76","0","22","3","3"
"1988","35-65","14.9","13.5","3243","2","7","22","29","41","14.57","15.23","0","50","13","14"
"1988","66 +","","","","","","","","","","","","","",""
"1989","17-34","","","","","","","","","","","","","",""
"1989","35-65","","","","","","","","","","","","","",""
"1989","66 +","","","","","","","","","","","","","",""
"1990","17-34","4.64","2.5","3731","1","1","7","11","17","4.5","4.78","0","24","3","3"
"1990","35-65","15.26","13.5","5113","2","6","22","30","41","14.98","15.54","0","53","14","15"
"1990","66 +","28.63","33","46","4","13","44","45","54","23.66","33.6","0","54","16","40"
"1991","17-34","4.34","2.5","3655","1","1","6","11","17","4.2","4.48","0","20","3","3"
"1991","35-65","14.39","12.5","4918","1","4","22","30","41","14.1","14.68","0","49","12","13"
"1991","66 +","26.75","20.5","38","1","10","43","53","58","20.69","32.81","0","58","17","41"
"1992","17-34","4.15","2.5","3400","1","1","6","11","17","4.02","4.28","0","22","2","3"
"1992","35-65","13.86","11.5","4660","1","4","22","29","40","13.56","14.16","0","49","11","12"
"1992","66 +","","","","","","","","","","","","","",""
"1993","17-34","4.12","2.5","3329","1","1","6","10","17","3.99","4.25","0","33","2","3"
"1993","35-65","13.5","11.5","4488","1","4","21","28","40","13.2","13.8","0","48","11","12"
"1993","66 +","","","","","","","","","","","","","",""
"1994","17-34","4.35","2.5","3179","1","1","6","10","16","4.22","4.48","0","25","3","3"
"1994","35-65","13.57","11.5","4336","2","4","21","29","40","13.26","13.88","0","47","10","12"
"1994","66 +","","","","","","","","","","","","","",""
"1995","17-34","4.28","2.5","3267","1","1","6","10","16","4.15","4.41","0","19","3","3"
"1995","35-65","13.07","9.5","4518","1","4","21","29","40","12.77","13.37","0","51","8","10"
"1995","66 +","18.47","13","31","1","1","33","43","50","12.18","24.76","0","50","3","31"
"1996","17-34","4.39","2.5","3121","1","1","6","10","16","4.26","4.52","0","19","3","3"
"1996","35-65","12.86","9.5","4470","1","4","21","28","39","12.56","13.16","0","48","8","9"
"1996","66 +","20.53","15","38","5","6","34","42","51","15.3","25.76","0","51","6","26"
"1997","17-34","4.43","2.5","2993","1","1","6","10","17","4.29","4.57","0","19","3","3"
"1997","35-65","13.02","9.5","4336","2","4","21","28","40","12.72","13.32","0","49","8","9"
"1997","66 +","23.18","20","37","5","7","38","42","50","17.61","28.75","1","50","7","35"
