year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,938,7.97610,7.33003,8.62217,1.00000,4.00000,11.77744,0.00000,27.94360,4.00000,3.00000,5.00000
1984,2nd Quintile,1235,9.76223,9.23963,10.28484,2.00000,7.00000,14.00000,0.00000,32.00000,7.00000,6.00000,8.00000
1984,3rd Quintile,1431,10.02553,9.54179,10.50926,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,8.00000
1984,4th Quintile,1679,10.96836,10.50348,11.43324,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,7.00000,9.00000
1984,5th Quintile,1759,12.69747,12.21512,13.17981,4.00000,10.00000,19.00000,0.00000,41.50000,10.00000,10.00000,11.00000
1985,1st Quintile,871,7.26694,6.69216,7.84173,1.00000,4.00000,11.00000,0.00000,26.00000,4.00000,3.00000,4.00000
1985,2nd Quintile,1063,9.11214,8.58026,9.64403,2.00000,6.00000,13.00000,0.00000,29.50000,6.00000,5.00000,7.00000
1985,3rd Quintile,1303,9.98990,9.48390,10.49589,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,8.00000
1985,4th Quintile,1485,10.86155,10.36731,11.35579,3.00000,8.00000,15.00000,0.00000,33.00000,8.00000,7.00000,9.00000
1985,5th Quintile,1509,12.60667,12.10006,13.11328,4.00000,10.00000,19.00000,0.00000,41.50000,10.00000,10.00000,11.00000
1986,1st Quintile,140,1.65485,0.96561,2.34410,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,1.00000,1.00000
1986,2nd Quintile,149,2.40230,1.54388,3.26073,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1986,3rd Quintile,190,3.42099,2.66594,4.17604,1.00000,1.00000,4.00000,0.00000,8.50000,1.00000,1.00000,1.00000
1986,4th Quintile,220,3.67671,2.92978,4.42364,1.00000,1.00000,4.38656,0.00000,9.46640,1.00000,1.00000,1.00000
1986,5th Quintile,206,4.61015,3.58707,5.63324,1.00000,1.00000,6.00000,0.00000,13.50000,1.00000,1.00000,1.00000
1987,1st Quintile,207,0.92222,0.71121,1.13323,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,1.00000,1.00000
1987,2nd Quintile,242,2.01866,1.47975,2.55757,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,1.00000,1.00000
1987,3rd Quintile,249,2.81729,2.09804,3.53654,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1987,4th Quintile,292,2.94155,2.31293,3.57017,1.00000,1.00000,2.00000,0.00000,3.50000,1.00000,1.00000,1.00000
1987,5th Quintile,227,3.93466,3.14559,4.72374,1.00000,1.00000,4.50527,0.00000,9.76319,1.00000,1.00000,1.00000
1988,1st Quintile,724,6.98334,6.35832,7.60836,1.00000,3.00000,10.00000,0.00000,23.50000,3.00000,3.00000,4.00000
1988,2nd Quintile,1033,9.24105,8.70058,9.78152,2.00000,6.00000,15.00000,0.00000,34.50000,6.00000,6.00000,7.00000
1988,3rd Quintile,1230,10.28194,9.73825,10.82562,2.00000,7.00000,16.00000,0.00000,37.00000,7.00000,6.00000,8.00000
