year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,West,930,8.14705,7.49260,8.80149,1.00000,4.00000,12.00000,0.00000,28.50000,4.00000,3.00000,5.00000
1984,2nd Quintile,West,1245,9.72611,9.20772,10.24450,2.00000,7.00000,14.00000,0.00000,32.00000,7.00000,6.00000,8.00000
1984,3rd Quintile,West,1427,10.05222,9.56240,10.54204,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,8.00000
1984,4th Quintile,West,1664,10.82186,10.36352,11.28021,3.00000,8.00000,15.00000,0.00000,33.00000,8.00000,7.00000,9.00000
1984,5th Quintile,West,1776,12.73249,12.24926,13.21573,4.00000,10.00000,19.00000,0.00000,41.50000,10.00000,10.00000,11.00000
1985,1st Quintile,West,874,7.05942,6.50495,7.61389,1.00000,3.04412,11.00000,0.00000,26.00000,3.00000,3.00000,4.00000
1985,2nd Quintile,West,1058,9.04316,8.51688,9.56944,2.00000,6.00000,13.00000,0.00000,29.50000,6.00000,6.00000,7.00000
1985,3rd Quintile,West,1300,10.15054,9.63753,10.66354,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,8.00000
1985,4th Quintile,West,1488,11.01650,10.51473,11.51826,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,7.00000,9.00000
1985,5th Quintile,West,1511,12.44958,11.94712,12.95203,4.00000,10.00000,19.00000,0.00000,41.50000,10.00000,9.00000,11.00000
1986,1st Quintile,West,145,1.63802,0.97129,2.30476,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,1.00000,1.00000
1986,2nd Quintile,West,149,2.55238,1.67470,3.43007,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1986,3rd Quintile,West,187,3.50308,2.73820,4.26796,1.00000,1.00000,4.00000,0.00000,8.50000,1.00000,1.00000,1.00000
1986,4th Quintile,West,217,3.54586,2.79952,4.29220,1.00000,1.00000,4.00000,0.00000,8.50000,1.00000,1.00000,1.00000
1986,5th Quintile,West,207,4.63564,3.61473,5.65656,1.00000,1.00000,6.00000,0.00000,13.50000,1.00000,1.00000,1.00000
1987,1st Quintile,West,212,0.94414,0.73269,1.15558,0.00000,1.00000,1.00000,0.00000,2.50000,1.00000,1.00000,1.00000
